Key,SourceString
PT_TALK_TXT_12_10_2_1,"「なんか　のん気なとこだな。\n　ウデをふるえる場所が　あるのか？"
PT_TALK_TXT_12_10_4_1,"「いい感じですねッ！\n　こういう町には\n　きっと　掘り出し物のガラクタが！"
PT_TALK_TXT_12_10_3_1,"「ここが　オルフェアの町かぁ！\n　なんだか　すっごく楽しそうな町だね！"
PT_TALK_TXT_12_20_2_1,"「{pc}！\n　このまま　ほっとく気はねえんだろ？\n　サーカス団のやつらに　聞きにいこうぜ。"
PT_TALK_TXT_12_20_4_1,"「オチが無いなんて\r\n　なんて　ポンコツな奇術！\r\n　団長さんに　シンパシーですよッ！　"
PT_TALK_TXT_12_20_3_1,"「子供たちが消えちゃったけど　奇術だよね？\n　大丈夫だよね？"
PT_TALK_TXT_12_21_2_1,"「ワケがあろうが　なかろうが\n　ガキ共を誘拐するのは　気に食わねえな。"
PT_TALK_TXT_12_21_4_1,"「あの　パクレとかいうプクリポ...\n　なかなか　いいですねッ！\n　新たな　同志の予感がしますよッ！"
PT_TALK_TXT_12_21_3_1,"「大変なことになったけど\n　みんなは　団長さんを　信じてるみたい。\n　何かワケがあるのかな...？"
PT_TALK_TXT_12_30_Talkedto_2_1,"「他に手がかりもねえし\n　銀の丘って所に　行ってみようぜ。"
PT_TALK_TXT_12_30_Talkedto_4_1,"「どこの馬の骨とも　わからないヤツだなんて\n　そんなことを言われると...\n　テレてしまいますよッ！"
PT_TALK_TXT_12_30_Talkedto_3_1,"「なんで　町長でもある　団長さんが\n　子供たちを　さらったんだろう...？\n　銀の丘に　行ってみようよ！"
PT_TALK_TXT_12_40_2_1,"「もったい付けやがって\n　なんのつもりだ？　あの団長？"
PT_TALK_TXT_12_40_4_1,"「あの扉　意味不明な　たたずまいが\n　ちょっと　そそられますね..."
PT_TALK_TXT_12_40_3_1,"「あの団長さん...\n　やっぱり　何か　ワケがありそう。"
PT_TALK_TXT_12_50_2_1,"「あの魔物から　子供たちを守るために\n　さらって　隠したってわけか？\n　なかなか　アツい町長じゃねえか。"
PT_TALK_TXT_12_50_4_1,"「なーんか　面倒くさいことに\n　なってきやしたねぇ..."
PT_TALK_TXT_12_50_3_1,"「団長さん　やっぱりいい人みたい！\n　{pc}さま！\n　団長さんを　助けてあげようよ！　"
PT_TALK_TXT_12_57_2_1,"「あの悪魔が　元凶だったってわけか。\n　あとはガキ共を　帰してやらねえとな。\n　とっとと行くぞ　{pc}！"
PT_TALK_TXT_12_57_4_1,"「あのザイガスって悪魔\n　１５年も待って　倒されちまうんだから\n　なかなかのポンコツっぷりでしたねぇ。"
PT_TALK_TXT_12_57_3_1,"「団長さん　やっぱりいい人だったね！\n　きっと子供たちも　無事だよ！\n　はやく迎えにいこうよ！"
PT_TALK_TXT_12_60_2_1,"「ちっ　あの団長だか町長だかが\n　最初っから　ワケを話せば\n　良かったんじゃねえか？"
PT_TALK_TXT_12_60_4_1,"「あの扉...　子供たちを守っていたなら\n　ポンコツとは言えないですね。\n　ガッカリですよッ！"
PT_TALK_TXT_12_60_3_1,"「子供たち　みんな無事で良かったね。\n　こわい悪魔も倒せたし\n　めでたしめでたし...かな？"
PT_TALK_TXT_12_100_2_1,"「ふんっ！\n　団長のヤツ　最後まで回りくどいぜ。"
PT_TALK_TXT_12_100_4_1,"「また　キーエンブレム！\n　やめてくだせえッ！\n　わしは　ちーっとも興味ねぇです！"
PT_TALK_TXT_12_100_3_1,"「サーカス　面白かったね！\n　キーエンブレムも　もらえたし\n　本当に良かったね！"
PT_TALK_TXT_12_101_2_2_1,"「ガキ共は　元気みたいだな。"
PT_TALK_TXT_12_101_1_2_1,"「へぇ　ガキが　いっぱいで\n　にぎやかなトコだな。"
PT_TALK_TXT_12_101_2_4_1,"「銀の丘の　あの扉...\n　持って帰れませんかねぇ。"
PT_TALK_TXT_12_101_1_4_1,"「にぎやかなとこですねッ！\n　こういう町には\n　きっと　掘り出し物のガラクタが！"
PT_TALK_TXT_12_101_2_3_1,"「この町は　いつ来ても変わらず\n　すっごく　楽しそうだね！"
PT_TALK_TXT_12_101_1_3_1,"「この町って　ちょっと\r\n　ケキちゃんに　雰囲気が似てるね。\r\n　すっごく　かわいいと思う！"
PT_TALK_TXT_12_101_1_1,"「話には聞いていたけど\n　この町の子供たちが　無事で良かったわ。"
