Key,SourceString
SYSTEXT_QUESTLIST_NAME_AQ_001_1_000,"ツスクルの村で　なにか起きているようだ。\n学びの庭の食堂の　エルフの少年　シシノタとコノタの所へ　行ってみよう。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_005,"ツスクルの村で　ヒメアの従者ヨンジャに\n病気になったヒメアを救うため\n仙者の霊薬を用意してくれ！　と頼まれた。\n作り方は　西の　知恵の社に置いてある　薬学の書に記されているらしい。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_010,"ツスクルの村で　ヒメアの従者ヨンジャに\n病気になったヒメアを救うため\n仙者の霊薬を用意してくれ！　と頼まれた。\n作り方は　西の　知恵の社に置いてある　薬学の書に記されているらしい。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_015,"ツスクルの村で　ヒメアの従者ヨンジャに \n病気になったヒメアを救うため \n仙者の霊薬を用意してくれ！　と頼まれた。 \n作り方は　西の　知恵の社に置いてある　薬学の書に記されているらしい。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_023,"ツスクルの村で　ヒメアの従者　ヨンジャに \n仙者の霊薬を作ってくれ！　と頼まれた。キリカ草原などにいる \n<%sEV_QUE_NAME0>が持つ　おおみみずの化石が　材料になるらしい。 \n入手したら　ツスクルの村の寄宿舎にいる　アカシに渡そう。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_026,"ツスクルの村で　ヒメアの従者　ヨンジャに　仙者の霊薬を作ってくれ！\nと頼まれた。材料となる　おおみみずの化石を手に入れ\nアカシに　仙者の霊薬を調合してもらった。\nヨンジャの所へ　持っていこう。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_030,"ツスクルの村で　ヨンジャに頼まれて　アカシとともに\n仙者の霊薬を用意した。\nその時に　知恵の社で見つけた　不思議な書物を　アカシの部屋で\n読んでみることになった。"
SYSTEXT_QUESTLIST_NAME_AQ_001_1_200,"ツスクルの村で　ヨンジャに頼まれて\nアカシと　ともに　仙者の霊薬を用意した。\nその時に　知恵の社で見つけた　不思議な書物には\n知られざる部屋　神代の間の存在が　記されていた。"
SYSTEXT_QUESTLIST_NAME_AQ_001_2_000,"ツスクルの村の　学びの庭の食堂で　シシノタが　待っているようだ。"
SYSTEXT_QUESTLIST_NAME_AQ_001_2_005,"ツスクルの村の　学びの庭で　シシノタに\n謎の部屋　神代の間を　探してみようぜ！\nと誘われた。"
SYSTEXT_QUESTLIST_NAME_AQ_001_2_010,"ツスクルの村の　学びの庭で　シシノタに\n謎の部屋　神代の間を　探してみようぜ！　と誘われた。\n若葉の探検隊が　結成され　さっそく　聞き込みを命じられた。"
SYSTEXT_QUESTLIST_NAME_AQ_001_2_020,"ツスクルの村の　学びの庭で　シシノタに\n謎の部屋　神代の間を　探してみようぜ！　と誘われた。\nアカシの提案で　ドルワーム王国に住む　建築家一族\nドン家を　訪ねることになった。"
SYSTEXT_QUESTLIST_NAME_AQ_001_2_030,"ツスクルの村で　シシノタに　謎の部屋　神代の間を　探してみようぜ！\nと誘われた。ドルワームの建築家を訪ね　職員宿舎にある　桜の間が\n神代の間へ通じる　地下迷宮の　入り口になっていることが\n明らかになった。学びの庭に戻り　シシノタに報告しよう。"
SYSTEXT_QUESTLIST_NAME_AQ_001_2_200,"ツスクルの村で　シシノタに　謎の部屋\n神代の間を　探してみようぜ！　と誘われた。\nドルワームの建築家を訪ね　職員宿舎にある　桜の間が\n神代の間へ通じる地下迷宮の　入り口になっていることが　明らかになった。"
SYSTEXT_QUESTLIST_NAME_AQ_001_3_000,"ツスクルの村の　学びの庭の　食堂で　シシノタが　待っているようだ。"
SYSTEXT_QUESTLIST_NAME_AQ_001_3_005,"ツスクルの村の　学びの庭で　若葉の探検隊の隊長シシノタに\n謎の部屋　神代の間を目指して　地下探索に行こう！　と誘われた。\nまずは　地下迷宮の入り口になっている　桜の間を目指すらしい。"
SYSTEXT_QUESTLIST_NAME_AQ_001_3_010,"ツスクルの村の　学びの庭で　若葉の探検隊の　隊長シシノタに\n神代の間を目指して　地下探索に行こう！　と誘われた。\n職員宿舎にある　桜の間へ　向かおう。"
SYSTEXT_QUESTLIST_NAME_AQ_001_3_015,"ツスクルの村の　学びの庭で　若葉の探検隊の　隊長シシノタに \n神代の間を目指して　地下探索に行こう！　と誘われた。 \n職員宿舎にある　桜の間へ　向かおう。"
SYSTEXT_QUESTLIST_NAME_AQ_001_3_020,"学びの庭の　職員宿舎の一室　桜の間で\n地下迷宮へ続く　はしごが　見つかった。\nみんなの引率として　ハジカ先生も　地下探検に　加わることになった。"
SYSTEXT_QUESTLIST_NAME_AQ_001_3_200,"ついに到着した　ツスクルの村の　神代の間で\nハジカ先生が　不老の禁術を　ねらっていたことが　明らかになった。\n巫女ヒメアは　神代の間から逃げだした　獣を　追っていった。"
SYSTEXT_QUESTLIST_NAME_AQ_001_4_000,"ツスクルの村の　学びの庭の　寄宿舎で　アカシが　待っているようだ。"
SYSTEXT_QUESTLIST_NAME_AQ_001_4_005,"ツスクルの村の　学びの庭で　アカシに\n巫女ヒメアを探そう！　と言われた。\nヒメアは　神代の間から逃げだした　謎の獣を　追っていったらしい。"
SYSTEXT_QUESTLIST_NAME_AQ_001_4_010,"ツスクルの村の　学びの庭で　アカシに\n巫女ヒメアを探そう！　と言われた。\nヒメアの　お屋敷に行けば　なにか　手がかりが　得られるかもしれない。"
SYSTEXT_QUESTLIST_NAME_AQ_001_4_011,"ツスクルの村の　学びの庭で　アカシに\n巫女ヒメアを探そう！　と言われた。\nヒメアの従者　ヨンジャに　ヒメアの行方を聞くと\n風の町アズランに　向かったようだと教えてくれた。"
