Key, SourceString
MESSAGE_NO_ITEM_HPHEAL,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_HPHEAL_SOMYA,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_HPHEAL_MYSELF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_MPHEAL,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_REVIVE,""
MESSAGE_NO_ITEM_CURE,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_DAMAGE,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_ITEM_DAMAGE_MYSELF,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_ITEM_HPHEAL_WEAPON,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_CURE_WEAPON,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_DEBUFF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_W_BUFF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_W_BUFF_MYSELF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_KOUGEKI,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_JUMON_DAMAGE,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DAMAGE2,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DAMAGE_MYSELF,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DAMAGE_MYSELF2,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DEBUFF,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_BUFF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_BUFF_MYSELF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_DEATH,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_HPHEAL,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_HPHEAL_MYSELF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_CURE_STATUS,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_REVIVE,""
MESSAGE_NO_JUMON_MPABSORB,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MADANTE,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MM_MADANTE,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MEGANTE,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MEGAZARU,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_TRAP,"<%sB_LOG_REACTION>しかし 何も おこらなかった。"
MESSAGE_NO_JUMON_DAMAGE_TRAP_AGT,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
MESSAGE_NO_TRAP_AGT,""
MESSAGE_NO_JUMON_HPHEAL_BEHOMA,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_DAMAGE,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE2,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_NOCAST,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_NOCAST2,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2_NOCAST,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF3_NOCAST,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_MPDAMAGE,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_MPDAMAGE_NOCAST,"<%sB_LOG_REACTION>ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_BUFF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_NOCAST,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF_NOCAST,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF2_NOCAST,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF_TIKARANOTATE,"<%sB_LOG_REACTION>しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_DEBUFF,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
