Key, SourceString
PA_ACTION_NO_I_AMORUNOMIZU,"アモールの水"
PA_ACTION_NO_I_BASHOUSEN,"ばしょうせん"
PA_ACTION_NO_I_BOOK_BABYSATAN,"スカウトの書"
PA_ACTION_NO_I_BOOK_BATTLEREX,"スカウトの書"
PA_ACTION_NO_I_BOOK_BROWNIE,"スカウトの書"
PA_ACTION_NO_I_BOOK_DEVILARMOR,"スカウトの書"
PA_ACTION_NO_I_BOOK_DORAKY,"スカウトの書"
PA_ACTION_NO_I_BOOK_DRAGONKID,"スカウトの書"
PA_ACTION_NO_I_BOOK_ENTASHISUMAN,"スカウトの書"
PA_ACTION_NO_I_BOOK_FONDU,"スカウトの書"
PA_ACTION_NO_I_BOOK_GOLEM,"スカウトの書"
PA_ACTION_NO_I_BOOK_HITOKUISABER,"スカウトの書"
PA_ACTION_NO_I_BOOK_HOIMISLIME,"スカウトの書"
PA_ACTION_NO_I_BOOK_ITAZURAMOGURA,"スカウトの書"
PA_ACTION_NO_I_BOOK_KILLERMACHINE,"スカウトの書"
PA_ACTION_NO_I_BOOK_KILLERPANSER,"スカウトの書"
PA_ACTION_NO_I_BOOK_KIMERA,"スカウトの書"
PA_ACTION_NO_I_BOOK_MAGIKALHAT,"スカウトの書"
PA_ACTION_NO_I_BOOK_METAPPI,"スカウトの書"
PA_ACTION_NO_I_BOOK_MIMIC,"スカウトの書"
PA_ACTION_NO_I_BOOK_MISTERYDOLL,"スカウトの書"
PA_ACTION_NO_I_BOOK_MOMON,"スカウトの書"
PA_ACTION_NO_I_BOOK_NEKOMADOU,"スカウトの書"
PA_ACTION_NO_I_BOOK_NIDORUMAN,"スカウトの書"
PA_ACTION_NO_I_BOOK_ODORUHOUSEKI,"スカウトの書"
PA_ACTION_NO_I_BOOK_PAPETMAN,"スカウトの書"
PA_ACTION_NO_I_BOOK_PRIESTKNIGHT,"スカウトの書"
PA_ACTION_NO_I_BOOK_PURIZUNYAN,"スカウトの書"
PA_ACTION_NO_I_BOOK_RIZARDMAN,"スカウトの書"
PA_ACTION_NO_I_BOOK_SAMAYOUYOROI,"スカウトの書"
PA_ACTION_NO_I_BOOK_SLIME,"スカウトの書"
PA_ACTION_NO_I_BOOK_SLIMEKNIGHT,"スカウトの書"
PA_ACTION_NO_I_BOOK_TAKEYARIHEI,"スカウトの書"
PA_ACTION_NO_I_BOOK_TANSUMIMIC,"スカウトの書"
PA_ACTION_NO_I_BOOK_YAMISHIBARI,"スカウトの書"
PA_ACTION_NO_I_COOK_EAT_DESSERT,"クイックケーキ"
PA_ACTION_NO_I_COOK_EAT_DON,"メガもり丼"
PA_ACTION_NO_I_COOK_EAT_EGG,"みかわしオムレツ"
PA_ACTION_NO_I_COOK_EAT_FISH,"いやしのムニエル"
PA_ACTION_NO_I_COOK_EAT_PASTA,"マナパスタ"
PA_ACTION_NO_I_COOK_EAT_PILAF,"スタミナライス"
PA_ACTION_NO_I_COOK_EAT_SALAD,"ガーディアンサラダ"
PA_ACTION_NO_I_COOK_EAT_SANDWICH,"きようさにくまん"
PA_ACTION_NO_I_COOK_EAT_STEAK,"パワフルステーキ"
PA_ACTION_NO_I_COOK_EAT_STEW_BROWN,"マジックスープ"
PA_ACTION_NO_I_COOK_EAT_STEW_WHITE,"いやしのスープ"
PA_ACTION_NO_I_DOKUGANOKONA,"どくがのこな"
PA_ACTION_NO_I_DOKUKESISOU,"どくけしそう"
PA_ACTION_NO_I_DORAGONNOTSUE,"ドラゴンの杖"
PA_ACTION_NO_I_ERUHUNONOMIGUSURI,"エルフの飲み薬"
PA_ACTION_NO_I_FUKUINNOTSUE,"福音の杖"
PA_ACTION_NO_I_GENKIDAMA,"元気玉"
PA_ACTION_NO_I_HAJYANOTSURUGI,"はじゃのつるぎ"
PA_ACTION_NO_I_HIKARINOTSUE,"ひかりの杖"
PA_ACTION_NO_I_HONOONOTSUME,"ほのおのツメ"
PA_ACTION_NO_I_IKAZUCHINOTSUE,"いかずちの杖"
PA_ACTION_NO_I_IYASISOU,"いやしそう"
PA_ACTION_NO_I_JYOUDOKUKESISOU,"上どくけしそう"
PA_ACTION_NO_I_JYOUYAKUSOU,"上やくそう"
PA_ACTION_NO_I_KEIRONNOYUMI,"ケイロンの弓"
PA_ACTION_NO_I_KENJANO_SEISUI,"けんじゃのせいすい"
PA_ACTION_NO_I_KENJYANOTSUE,"賢者の杖"
PA_ACTION_NO_I_KITUKESOU,"きつけそう"
PA_ACTION_NO_I_KOORINOTSUE,"こおりの杖"
PA_ACTION_NO_I_KOORINOTSUME,"こおりのツメ"
PA_ACTION_NO_I_KOORINOYAIBA,"こおりのやいば"
PA_ACTION_NO_I_KOSUI_KISEKI,"きせきの香水"
PA_ACTION_NO_I_KOSUI_METAL,"メタルな香水"
PA_ACTION_NO_I_MADARAKUMOITO,"まだらくも糸"
PA_ACTION_NO_I_MADOUSHINOTSUE,"まどうしの杖"
PA_ACTION_NO_I_MAGUMANOTSUE,"マグマの杖"
PA_ACTION_NO_I_MAHOUNO_KOBIN,"まほうの小ビン"
PA_ACTION_NO_I_MAHOUNO_KOBIN_4500,"せいれいの霊薬"
PA_ACTION_NO_I_MAHOUNO_SEISUI,"まほうのせいすい"
PA_ACTION_NO_I_MAHUJINOTSUE,"まふうじの杖"
PA_ACTION_NO_I_MANGETUSOU,"まんげつそう"
PA_ACTION_NO_I_MEZAMENOHANA,"めざめの花"
PA_ACTION_NO_I_MP_HEAL_90,"ようせいの霊薬"
PA_ACTION_NO_I_OMOIDENOSUZU_1,"おもいでのすず"
PA_ACTION_NO_I_OTAKARASAGASI_SUZU,"おたからさがしのすず"
PA_ACTION_NO_I_OYABUNNOOOTATE,"おやぶんの大盾"
