Key, SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>たちに ふたたび こうげき力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>たちに ふたたび しゅび力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>たちに ふたたび すばやさダウンの効果！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>たちに ふたたび みりょくダウンの効果！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>たちに ふたたび ブレス耐性ダウンの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>たちに ふたたび 呪文耐性ダウンの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>たちに ふたたび 呪文の威力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>たちに ふたたび 呪文の回復量減少の効果！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>たちに ふたたび しゅび力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>たちに ふたたび こうげき力マイナスの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>たちに ふたたび こうげき力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
