Key, SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび こうげき力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび しゅび力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび すばやさダウンの効果！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび みりょくダウンの効果！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび ブレス耐性ダウンの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび 呪文耐性ダウンの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび 呪文の威力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび 呪文の回復量減少の効果！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび しゅび力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび こうげき力マイナスの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>に ふたたび こうげき力ダウンの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
