Key, SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_LOG_REACTION><%sB_TARGET>の こうげき力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_LOG_REACTION><%sB_TARGET>の しゅび力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_LOG_REACTION><%sB_TARGET>の すばやさが もとにもどった！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_LOG_REACTION><%sB_TARGET>の みりょくが もとにもどった！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_LOG_REACTION><%sB_TARGET>の ブレス耐性が もとにもどった！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_LOG_REACTION><%sB_TARGET>の 呪文の耐性が もとにもどった！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_LOG_REACTION><%sB_TARGET>の 呪文の威力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_LOG_REACTION><%sB_TARGET>の 呪文の回復力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_LOG_REACTION><%sB_TARGET>の しゅび力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_LOG_REACTION><%sB_TARGET>の こうげき力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_LOG_REACTION><%sB_TARGET>の こうげき力が もとにもどった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_LOG_REACTION><%sB_TARGET>の バイシオンとピオラの効果が発動！"
