Key, SourceString
SystemWeaponType000,"素手"
SystemWeaponType001,"片手剣"
SystemWeaponType002,"短剣"
SystemWeaponType003,"ハンマー"
SystemWeaponType004,"ツメ"
SystemWeaponType005,"スティック"
SystemWeaponType006,"ブーメラン"
SystemWeaponType007,"扇"
SystemWeaponType008,"カード"
SystemWeaponType009,"ムチ"
SystemWeaponType010,"棍"
SystemWeaponType011,"槍"
SystemWeaponType012,"杖"
SystemWeaponType013,"両手剣"
SystemWeaponType014,"斧"
SystemWeaponType015,"鎌"
SystemWeaponType016,"弓"
SystemWeaponType017,"矢"
SystemWeaponType018,"弦楽器"
SystemWeaponType019,"管楽器"
SystemWeaponType020,"玉"
SystemWeaponType021,"盾"
SystemWeaponType022,"ガジェット"
SystemWeaponType023,"モンスター用武器"
SystemWeaponType024,"つるはし"
SystemWeaponType025,"草刈りがま"
SystemWeaponType026,"きこりオノ"
SystemWeaponType027,"鍛冶ハンマー"
SystemWeaponType028,"鍛冶金床"
SystemWeaponType029,"木工刀"
SystemWeaponType030,"裁縫針"
SystemWeaponType031,"薬剤鍋"
SystemWeaponType032,"ろくろ"
SystemWeaponType033,"フライパン"
SystemWeaponType034,"錬金ランプ"
SystemWeaponType035,"錬金壺"
SystemWeaponType036,"虫捕りあみ"
SystemWeaponType037,"魚"
SystemWeaponType038,"うき"
SystemWeaponType039,"調理台"
SystemWeaponType040,"木工台"
SystemWeaponType041,"裁縫台"
SystemWeaponType042,"薬剤棒"
SystemWeaponType043,"ガジェット(rootスケール1用)"
SystemWeaponType044,"ガジェット(手スケール1用)"
SystemWeaponType045,"ガジェット(rootアタッチ用)"
SystemWeaponType046,"ドルボード"
SystemWeaponType047,"つりざお"
SystemWeaponType048,"かさ"
SystemWeaponType049,"乗り物キラーパンサー"
SystemWeaponType050,"浮き輪"
SystemWeaponType051,"モーモンブランコ"
SystemWeaponType052,"乗り物ほうき"
SystemWeaponType053,"一輪バイク"
SystemWeaponType054,"しぐさ用イス"
SystemWeaponType055,"二刀流時の扇用(踊り子)"
SystemWeaponType056,"二刀流時の短剣用(踊り子)"
SystemWeaponType057,"二刀流時のスティック用(踊り子)"
SystemWeaponType058,"左腕にダッコちゃん"
SystemWeaponType059,"背中にダッコちゃん"
SystemWeaponType060,"お面(顔につけるもの"
SystemWeaponType061,"空飛ぶベッド"
SystemWeaponType062,"餅つき"
SystemWeaponType063,"腰にダッコちゃん"
SystemWeaponType064,"頭にだっこちゃん"
SystemWeaponType065,"首にだっこちゃん"
SystemWeaponType066,"ドルホッパー専用？"
SystemWeaponType067,"しぐさ用(rootスケール1固定)"
SystemWeaponType068,"しぐさ用(rootスケール可変)"
SystemWeaponType069,"背中にくっつける用"
SystemWeaponType070,"アタッチブックコシ　行動指示書"
SystemWeaponType071,"錬金釜・基本"
SystemWeaponType072,"乗り物UFO"
SystemWeaponType073,"n_haraアタッチ"
SystemWeaponType074,"回転なし腰にだっこちゃん"
SystemWeaponType075,"腰にリボン"
