Key, SourceString
SYSTXT_CHARAMAKE_NAME_FEMALE_00010,"エックス"
SYSTXT_CHARAMAKE_NAME_FEMALE_00020,"テン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00030,"アイリス"
SYSTXT_CHARAMAKE_NAME_FEMALE_00040,"アデーレ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00050,"アリーシャ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00060,"イヴォンヌ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00070,"イチゴ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00080,"ヴィータ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00090,"ヴェロニカ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00100,"エーヴリル"
SYSTXT_CHARAMAKE_NAME_FEMALE_00110,"エポニーヌ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00120,"エマ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00130,"エミリア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00140,"エリカ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00150,"オリヴィア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00160,"オルガ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00170,"カーラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00180,"カサンドラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00190,"カミラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00200,"ギゼラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00210,"キッカ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00220,"キティ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00230,"キャサリン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00240,"キャンディ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00250,"キュリララ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00260,"グラディス"
SYSTXT_CHARAMAKE_NAME_FEMALE_00270,"クラリッサ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00280,"クロエ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00290,"グローリア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00300,"ケイト"
SYSTXT_CHARAMAKE_NAME_FEMALE_00310,"ゲルダ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00320,"コラリー"
SYSTXT_CHARAMAKE_NAME_FEMALE_00330,"サクラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00340,"サマンサ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00350,"サラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00360,"ジェシカ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00370,"ジスモンダ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00380,"ジャスミン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00390,"ジュリア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00400,"スージー"
SYSTXT_CHARAMAKE_NAME_FEMALE_00410,"ステラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00420,"セヴリーヌ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00430,"ゼノビア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00440,"ゾーイ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00450,"ソランジュ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00460,"タバサ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00470,"ダフネ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00480,"テア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00490,"ティティア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00500,"デニス"
SYSTXT_CHARAMAKE_NAME_FEMALE_00510,"テレーズ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00520,"ドナ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00530,"ドロテーア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00540,"ナタリア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00550,"ナナ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00560,"ニコ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00570,"ニノン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00580,"ネリー"
SYSTXT_CHARAMAKE_NAME_FEMALE_00590,"ノエミ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00600,"ノーマ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00610,"パーシス"
SYSTXT_CHARAMAKE_NAME_FEMALE_00620,"ハリエット"
SYSTXT_CHARAMAKE_NAME_FEMALE_00630,"ピネーネ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00640,"ヒメ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00650,"フリーダ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00660,"ブレンダ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00670,"ベアトリス"
SYSTXT_CHARAMAKE_NAME_FEMALE_00680,"ヘルガ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00690,"ヘルルーガ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00700,"ポリーン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00710,"マーゴット"
SYSTXT_CHARAMAKE_NAME_FEMALE_00720,"マイラ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00730,"マデリン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00740,"マリエル"
SYSTXT_CHARAMAKE_NAME_FEMALE_00750,"マルヴィナ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00760,"マルゴ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00770,"マルマル"
SYSTXT_CHARAMAKE_NAME_FEMALE_00780,"ミクル"
SYSTXT_CHARAMAKE_NAME_FEMALE_00790,"ミュリエル"
SYSTXT_CHARAMAKE_NAME_FEMALE_00800,"ミレーヌ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00810,"メリザンド"
SYSTXT_CHARAMAKE_NAME_FEMALE_00820,"モーリーン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00830,"ヨハンナ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00840,"ラヴィニア"
SYSTXT_CHARAMAKE_NAME_FEMALE_00850,"リカルダ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00860,"リリアン"
SYSTXT_CHARAMAKE_NAME_FEMALE_00870,"ルイーゼ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00880,"ルナ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00890,"レーナ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00900,"レジーヌ"
SYSTXT_CHARAMAKE_NAME_FEMALE_00910,"ロザリンド"
SYSTXT_CHARAMAKE_NAME_FEMALE_00920,"ワンダ"
