Key, SourceString
SYSTXT_SYSTEM_BLACKSMITH_00010,"うちなおしの宝珠"
SYSTXT_SYSTEM_BLACKSMITH_00020,"武器"
SYSTXT_SYSTEM_BLACKSMITH_00030,"防具"
SYSTXT_SYSTEM_BLACKSMITH_00040,"服・からだ上"
SYSTXT_SYSTEM_BLACKSMITH_00050,"服・からだ下"
SYSTXT_SYSTEM_BLACKSMITH_00060,"よろい・からだ上"
SYSTXT_SYSTEM_BLACKSMITH_00070,"よろい・からだ下"
SYSTXT_SYSTEM_BLACKSMITH_00080,"何をつくる？"
SYSTXT_SYSTEM_BLACKSMITH_00090,"必要な素材"
SYSTXT_SYSTEM_BLACKSMITH_00100,"必要"
SYSTXT_SYSTEM_BLACKSMITH_00110,"所持"
SYSTXT_SYSTEM_BLACKSMITH_00120,"つくる"
SYSTXT_SYSTEM_BLACKSMITH_00130,"足りない素材を買ってつくる"
SYSTXT_SYSTEM_BLACKSMITH_00140,"必要な宝珠"
SYSTXT_SYSTEM_BLACKSMITH_00150,"買えない素材があります！"
SYSTXT_SYSTEM_BLACKSMITH_00160,"どれを？"
SYSTXT_SYSTEM_BLACKSMITH_00170,"そうびぶくろ中"
SYSTXT_SYSTEM_BLACKSMITH_00180,"どうする？"
SYSTXT_SYSTEM_BLACKSMITH_00190,"素材をみる"
SYSTXT_SYSTEM_BLACKSMITH_00200,"武器をつくる"
SYSTXT_SYSTEM_BLACKSMITH_00210,"防具をつくる"
SYSTXT_SYSTEM_BLACKSMITH_00220,"うちなおし"
SYSTXT_SYSTEM_BLACKSMITH_00230,"新しく覚えた装備をつくる"
SYSTXT_SYSTEM_BLACKSMITH_00240,"うちなおす"
SYSTXT_SYSTEM_BLACKSMITH_00250,"何をうちなおす？"
SYSTXT_SYSTEM_BLACKSMITH_01010,"まだ　レシピを覚えていない！"
SYSTXT_SYSTEM_BLACKSMITH_10010,"たたく"
SYSTXT_SYSTEM_BLACKSMITH_10020,"とくぎ"
SYSTXT_SYSTEM_BLACKSMITH_10030,"くわしくみる"
SYSTXT_SYSTEM_BLACKSMITH_10040,"しあげる"
SYSTXT_SYSTEM_BLACKSMITH_10050,"ひっさつ"
SYSTXT_SYSTEM_BLACKSMITH_10060,"消費集中力"
SYSTXT_SYSTEM_BLACKSMITH_10070,"温度"
SYSTXT_SYSTEM_BLACKSMITH_10080,"℃"
SYSTXT_SYSTEM_BLACKSMITH_11010,"ふつうのチカラで<lf>１マスをたたく"
SYSTXT_SYSTEM_BLACKSMITH_11020,"鍛冶レベルが<lf>上がった時に<lf>覚えた特技を使う"
SYSTXT_SYSTEM_BLACKSMITH_11030,"今つくっている<lf>アイテムの状況を<lf>確認する"
SYSTXT_SYSTEM_BLACKSMITH_11040,"地金を水に入れて<lf>アイテムを<lf>完成させる"
SYSTXT_SYSTEM_BLACKSMITH_11050,"とても強力な<lf>必殺技を使う"
SYSTXT_SYSTEM_BLACKSMITH_20010,"ふしぎな鍛冶セットがある。<lf>ここで　武器や防具などの　装備を作ったり<lf>うちなおして　強化できるようだ。"
SYSTXT_SYSTEM_BLACKSMITH_20020,"どの種類の　{Category_Selected}を作りますか？<lf><break>"
SYSTXT_SYSTEM_BLACKSMITH_20030,"{Item_Selected_Name}を　作ります。<lf>よろしいですか？<lf><yesno><close>"
SYSTXT_SYSTEM_BLACKSMITH_20040,"足りない素材を<lf>{Gold_Need}ゴールドで買って<lf>{Item_Selected_Name}を　作りますか？<lf><yesno><close>"
SYSTXT_SYSTEM_BLACKSMITH_20050,"そのアイテムを作るには<lf>{Item_Need_Reduce_Name_Dekinoyosa}の所持数を<lf>減らす必要があります。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20060,"素材を買ってつくるには<lf>{Gold_Need}ゴールド　必要なので<lf>お金が　足りません。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20070,"{Item_Selected_Name}を　作るには<lf>素材が　足りません。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20080,"{Item_Selected_Name}を　作るには<lf>鍛冶レベルが　足りません。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20090,"どの　{Item_Selected_Name}を<lf>うちなおしますか？<lf><break>"
SYSTXT_SYSTEM_BLACKSMITH_20100,"うちなおしの宝珠を　{Uchinaoshi_Need}個　つかって<lf>{Item_Selected_Name_Dekinoyosa}を　うちなおします。<lf>よろしいですか？<lf><yesno><break>"
SYSTXT_SYSTEM_BLACKSMITH_20110,"{Item_Selected_Name_Dekinoyosa}を　うちなおすのは<lf>やめておいたほうが　よさそうだ。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20120,"うちなおしの宝珠が　足りません。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20130,"このレシピは　いっぱつしあげで<lf>作ることができます。<lf>いっぱつしあげで作りますか？<lf><select><lf>ふつうに作る<lf>いっぱつしあげ<lf><select_end><close>"
SYSTXT_SYSTEM_BLACKSMITH_20140,"{Item_Selected_Name}を　うちなおすには<lf>うちなおしの宝珠が　足りません。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_20150,"{Item_Selected_Name}を　うちなおすには<lf>鍛冶レベルが　足りません。<lf><bw><close>"
SYSTXT_SYSTEM_BLACKSMITH_30010,"これ以上は　たたけない！"
SYSTXT_SYSTEM_BLACKSMITH_30020,"集中力が　足りない！"
SYSTXT_SYSTEM_BLACKSMITH_30030,"とくぎを　まだ　覚えていない。"
SYSTXT_SYSTEM_BLACKSMITH_40010,"{PC}は　いま作っている<lf>{Item_Selected_Name_Dekinoyosa}を　じっくりと眺めた。<lf><br>"
SYSTXT_SYSTEM_BLACKSMITH_40020,"いま　仕上げると<lf>ちょっと　できの悪い<lf>{Item_Selected_Name_Dekinoyosa}に　なりそうだ。<lf><bw_break>"
SYSTXT_SYSTEM_BLACKSMITH_40025,"いま　仕上げると<lf>ふつうの<lf>{Item_Selected_Name_Dekinoyosa}に　なりそうだ。<lf><bw_break>"
SYSTXT_SYSTEM_BLACKSMITH_40030,"いま　仕上げると<lf>ちょっといい　できのよさの<lf>{Item_Selected_Name_Dekinoyosa}に　なりそうだ。<lf><bw_break>"
SYSTXT_SYSTEM_BLACKSMITH_40040,"いま　仕上げると<lf>なかなかいい　できのよさの<lf>{Item_Selected_Name_Dekinoyosa}に　なりそうだ。<lf><bw_break>"
SYSTXT_SYSTEM_BLACKSMITH_40050,"いま　仕上げると<lf>とてもいい　できのよさの<lf>{Item_Selected_Name_Dekinoyosa}に　なりそうだ。<lf><bw_break>"
SYSTXT_SYSTEM_BLACKSMITH_50010,"かいしんの　てごたえ！"
SYSTXT_SYSTEM_BLACKSMITH_50020,"次のひと打ち　威力が２倍！"
SYSTXT_SYSTEM_BLACKSMITH_50030,"次のひと打ち　威力が半減！"
SYSTXT_SYSTEM_BLACKSMITH_50040,"消費集中力が　半分になった！"
SYSTXT_SYSTEM_BLACKSMITH_50050,"消費集中力が　１．５倍で　会心率アップ！"
SYSTXT_SYSTEM_BLACKSMITH_50060,"なんと　地金の鍛え度が　すこし　戻った！"
SYSTXT_SYSTEM_BLACKSMITH_50070,"１つのマスの　威力と会心率がアップ！"
SYSTXT_SYSTEM_BLACKSMITH_60010,"{Item_Selected_Name_Dekinoyosa}を　仕上げます。<lf>よろしいですか？<lf><yesno><close>"
SYSTXT_SYSTEM_BLACKSMITH_60020,"ちょっと　できの悪い<lf>{Item_Selected_Name_Dekinoyosa}が　できた……。"
SYSTXT_SYSTEM_BLACKSMITH_60025,"ふつうの<lf>{Item_Selected_Name_Dekinoyosa}が　できた！"
SYSTXT_SYSTEM_BLACKSMITH_60030,"ちょっといい　できのよさの<lf>{Item_Selected_Name_Dekinoyosa}が　できた！"
SYSTXT_SYSTEM_BLACKSMITH_60040,"なかなかいい　できのよさの<lf>{Item_Selected_Name_Dekinoyosa}が　できた！"
SYSTXT_SYSTEM_BLACKSMITH_60050,"とてもいい　できのよさの<lf>{Item_Selected_Name_Dekinoyosa}が　できた！"
SYSTXT_SYSTEM_BLACKSMITH_60060,"{PC}は　{Exp_Require_Blacksmith}Pの<lf>職人経験値を　かくとく！<lf><bw>"
SYSTXT_SYSTEM_BLACKSMITH_60070,"{PC}の集中力が　{Point_Concentration}に増えた！<lf><bw>"
SYSTXT_SYSTEM_BLACKSMITH_60080,"{PC}は<lf>とくぎ「{Ability_learned_Name_Blacksmith}」を　あみ出した！<lf><bw>"
SYSTXT_SYSTEM_BLACKSMITH_60090,"{Item_Need_Reduce_Name_Dekinoyosa}が　できた！<lf><bw>"
SYSTXT_SYSTEM_BLACKSMITH_60100,"{PC}は　{Item_Need_Reduce_Name_Dekinoyosa}を<lf>そうびぶくろに　入れた。<lf><bw>"
