Key, SourceString
SYSTXT_DUNGEON_MAGIC_NPC_01010,"「魔法の迷宮の主と　戦いたければ<lf>　魔法の迷宮に送ルン！<lf>　コインは　持ってルン？<lf><select_se_off><lf>コインを渡す<lf>説明を聞く<lf><select_end><lf><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01020,"「魔法の迷宮の主と　戦いたければ<lf>　魔法の迷宮に送ルン！<lf><br><lf>「……おや？　ゲストがいるルン。<lf>　ゲストがいる状態では　戦えないので<lf>　用事をすませてから、また来るルン♪<lf><end>"
SYSTXT_DUNGEON_MAGIC_NPC_01030,"「魔法の迷宮の主と　戦いたければ<lf>　魔法の迷宮に送ルン！<lf><br><lf>「……コインを　持ってないルン。	<lf>　コインを見つけたら　持ってくるルン♪	<lf><end>"
SYSTXT_DUNGEON_MAGIC_NPC_01040,"「やめておくルン？<lf>　魔法の迷宮に　行きたくなったら<lf>　また来るルン♪<lf><end>"
SYSTXT_DUNGEON_MAGIC_NPC_01050,"「ちょっと待つルン！<lf><br><lf>「冒険者さんからは　不思議なちからを<lf>　感じるルン！<lf><br><lf>「話を聞いていくルン～♪<lf><br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01060,"「使いたいコインを　選ぶルン！<lf><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01070,"「{Item_Selected_Name}を　使うルン？<lf><yesno><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01080,"「それじゃあ　魔法の迷宮に送るルン♪<lf>　いってらっしゃいルン～♪<lf><end>"
SYSTXT_DUNGEON_MAGIC_NPC_01090,"「どの説明が　聞きたいルン？<lf><select_se_off><lf>魔法の迷宮<lf>コイン<lf>ボスバトル<lf><select_end><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01100,"「魔法の迷宮では　コインを使って<lf>　迷宮の主と　戦うルン！<lf><br><lf>「戦いが終わったら　冒険者さんのことは<lf>　元の世界に戻すから　心配しなくていいルン♪<lf><br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01110,"「コインは　宝箱や景品　ふくびきで<lf>　もらえるルン。<lf><br><lf>「持っている　コインを<lf>　渡してくれたら　迷宮へと　<lf>　送ってあげるルン。<lf><br><lf>「もし　迷宮の主に負けても<lf>　コインは　失われないルン！<lf><br><lf>「だから　どんどん<lf>　迷宮の主に　挑戦して欲しいルン！<lf><br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01120,"「魔法の迷宮の主は　とても強いルン！<lf><br><lf>「倒すといいものを　もらえるから<lf>　がんばるルン♪<lf><br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01130,"「他に聞きたい説明は　あるルン？<lf><select_se_off><lf>魔法の迷宮<lf>コイン<lf>ボスバトル<lf><select_end><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01140,"「おかえりなさいルン♪<lf>　無事に　魔法の迷宮の主を倒せたみたいルン！<lf><br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01150,"「残念だったルン……。<lf><br><lf>　でも　魔法の迷宮の主を　倒すまで<lf>　コインは　失われないから<lf>　また　がんばるルン！<lf><br_break>"
SYSTXT_DUNGEON_MAGIC_NPC_01160,"「まだ続けるルン？<lf><yesno><break>"
SYSTXT_DUNGEON_MAGIC_NPC_01170,"「……あれ？　使えるコインが　ないルン。<lf>　コインを　みつけたら　またくるルン♪<lf><end>"
