Key, SourceString
SYSTXT_FACILITY_BAR_00010,"自分をとうろく"
SYSTXT_FACILITY_BAR_00020,"いま持っている依頼書"
SYSTXT_FACILITY_BAR_10010,"フレンドのじゅもんを　いれてください"
SYSTXT_FACILITY_BAR_11010,"まえへ"
SYSTXT_FACILITY_BAR_11020,"つぎへ"
SYSTXT_FACILITY_BAR_11030,"うえへ"
SYSTXT_FACILITY_BAR_11040,"したへ"
SYSTXT_FACILITY_BAR_11050,"けってい"
SYSTXT_FACILITY_BAR_11060,"フレンドをとうろく"
SYSTXT_FACILITY_BAR_11070,"まえのじょうたい"
SYSTXT_FACILITY_BAR_11080,"いまのじょうたい"
SYSTXT_FACILITY_BAR_20010,"フレンドを見る"
SYSTXT_FACILITY_BAR_30010,"{pc}は　{Friend_registered_Name}と<cf>フレンドになった！<cf><bw_break>"
SYSTXT_FACILITY_BAR_30020,"{pc}は<lf>『{Request_Form_Name}の依頼書』を<lf>手に入れた！<lf><se_nots system Item><bw_break>"
SYSTXT_FACILITY_BAR_30030,"{pc}は　{Friend_registered_Name}の情報を<cf>更新した！<cf><bw_break>"
SYSTXT_FACILITY_BAR_30040,"『{Request_Form_Name}の依頼書』は<cf>モンスター討伐隊に依頼中のため<cf>捨てられない！<cf><bw_break>"
