Key, SourceString
STT_PT_INOUT_GUEST_MAIYU,"「あら　ずいぶん遠くに行くのね。<lf>　それじゃ　私は　ここで待ってるわ。"
STT_PT_INOUT_GUEST_ORDIS,"「他に用事があったのか　すまないな。<lf>　では　僕は　ここで待つとしよう。"
STT_PT_INOUT_GUEST_DWURA,"「私は　まだ　この国を離れるわけには……。<lf>　ここで待ちます。お早いお帰りを！"
STT_PT_INOUT_GUEST_RUNANA,"「はぁ？　どこ行く気ッ！？<lf>　あたしは　行かないからね！<lf>　ここで　待たせてもらうわ！"
STT_PT_INOUT_GUEST_KYUUSUKE,"「おいおい！<lf>　どこ行こうってんだ！？<lf>　オレは　ここで待たせてもらうぜ？"
STT_PT_INOUT_GUEST_RAGUASU,"「別の大陸に　ご用事ですか？<lf>　それでは　ぼくは<lf>　ここで待ってますね。"
STT_PT_INOUT_GUEST_FOSUTEIRU,"「よその大陸に　行くのかい？<lf>　ふむ　それなら　ぼくは<lf>　ここで　待たせてもらうよ。"
STT_PT_INOUT_GUEST_EIDOS,"「ふむ　別の大陸に諸用か？<lf>　わしは　ここで待たせてもらおう。"
STT_PT_INOUT_GUEST_HYUZA,"「なんだよ　えらく遠出するんだな。<lf>　じゃ　オレは　ここで待ってるぜ。"
STT_PT_INOUT_GUEST_SOMYA,"「私も　ヒューザ兄ちゃんと<lf>　いっしょにいる……。"
STT_PT_INOUT_GUEST_KINNER,"「ほう！　よその大陸に　行かれるのですな！<lf>　それでは　私は　ここで<lf>　お帰りを　お待ちすることにしましょう！"
STT_PT_INOUT_GUEST_FUURA,"「あれ？　いっちゃうの？<lf>　うーん　私　ここで待ってようかな。"
STT_PT_INOUT_GUEST_POIKKURINN,"「私は　この大陸を<lf>　離れるわけに　いかないから……。<lf>　ここで　待ってるね！"
STT_PT_INOUT_GUEST_DASUTON,"「は？　ここで　よその大陸に？<lf>　パスパス！　わしはパスですよッ！！<lf>　ここで　待たせて　もらいますッ！！"
STT_PT_INOUT_GUEST_POTSUKONNICHIGOU,"「あ　ダストンさまが　残るなら<lf>　ボクも残ります。"
STT_PT_INOUT_GUEST_RASUKA,"「あれ　あんた　どっかに行っちゃうのか？<lf>　……しょうがねぇなぁ。<lf>　オレは　ここで待ってるから　早く戻れよ。"
STT_PT_INOUT_GUEST_FIIRO,"「なにか　他に　ご用事が？<lf>　僕は　リズを放っておけません。<lf>　ここで　待っています。"
STT_PT_INOUT_GUEST_SERAFI,"「え？　しばらく　どこか行っちゃうの？<lf>　私は　ベルムド王と格闘場が　気になるから<lf>　ここで　待ってるよ。"
STT_PT_INOUT_GUEST_MISHUA,"「まぁ　この地を　離れるのですね？<lf>　では　私は　ここでお待ちしています。"
