Key, SourceString
SYSTEXT_QUESTLIST_SERIES_AQ_001,"遠い約束"
SYSTEXT_QUESTLIST_SERIES_AQ_002,"人形たちのラグナロク"
SYSTEXT_QUESTLIST_SERIES_AQ_003,"暗黒大樹の守り人"
SYSTEXT_QUESTLIST_SERIES_AQ_004,"少女探偵ルベカちゃん"
SYSTEXT_QUESTLIST_SERIES_AQ_005,"ゆるしてほしいのニャ"
SYSTEXT_QUESTLIST_SERIES_AQ_006,"それは誰がために"
SYSTEXT_QUESTLIST_SERIES_AQ_007,"笑いの祭典！"
SYSTEXT_QUESTLIST_SERIES_AQ_008,"愉快なオルフェアっ子たち"
SYSTEXT_QUESTLIST_SERIES_AQ_009,"栄光に隠された闇"
SYSTEXT_QUESTLIST_SERIES_AQ_010,"ランガーオ村の王者"
SYSTEXT_QUESTLIST_SERIES_AQ_011,"なげきの妖剣士"
SYSTEXT_QUESTLIST_SERIES_AQ_012,"ガズバランの牙"
SYSTEXT_QUESTLIST_SERIES_AQ_013,"賢者の杖は かく語りき"
SYSTEXT_QUESTLIST_SERIES_AQ_014,"動き出した時間"
SYSTEXT_QUESTLIST_SERIES_AQ_015,"ある孤児が見た空"
SYSTEXT_QUESTLIST_SERIES_AQ_016,"英雄と魔女のフィナーレ"
SYSTEXT_QUESTLIST_SERIES_AQ_017,"魂がつまびく音色"
SYSTEXT_QUESTLIST_SERIES_AQ_018,"砂漠の渇きを癒す者"
SYSTEXT_QUESTLIST_SERIES_AQ_019,"よみがえる王国"
SYSTEXT_QUESTLIST_SERIES_JQ_001,"戦士たちの門"
SYSTEXT_QUESTLIST_SERIES_JQ_002,"大僧侶の選択"
SYSTEXT_QUESTLIST_SERIES_JQ_003,"魔法使いに会いたい"
SYSTEXT_QUESTLIST_SERIES_JQ_004,"偉大なる武闘家の足跡"
SYSTEXT_QUESTLIST_SERIES_JQ_005,"盗賊王の誇り"
SYSTEXT_QUESTLIST_SERIES_JQ_006,"伝説の旅芸人への道"
SYSTEXT_QUESTLIST_SERIES_JQ_007,"仮面のバトルマスター"
SYSTEXT_QUESTLIST_SERIES_JQ_008,"真のパラディンとは"
SYSTEXT_QUESTLIST_SERIES_JQ_009,"華麗なる魔法戦士団"
SYSTEXT_QUESTLIST_SERIES_JQ_010,"大森林のレンジャー"
SYSTEXT_QUESTLIST_SERIES_JQ_011,"賢者と愚者"
SYSTEXT_QUESTLIST_SERIES_JQ_012,"世界一のスーパースター"
SYSTEXT_QUESTLIST_SERIES_JQ_013,"まもの使いの証明"
SYSTEXT_QUESTLIST_SERIES_JQ_014,"ロード・オブ・どうぐ使い"
SYSTEXT_QUESTLIST_SERIES_JQ_015,"よみがえる踊り子の伝説"
SYSTEXT_QUESTLIST_SERIES_JQ_016,"夢見る占い師たち"
SYSTEXT_QUESTLIST_SERIES_JQ_017,"天地雷鳴士の式"
SYSTEXT_QUESTLIST_SERIES_JQ_018,"遊び人のライフワーク"
SYSTEXT_QUESTLIST_SERIES_KQ_001,"愛と信頼のゴールド銀行"
SYSTEXT_QUESTLIST_SERIES_KQ_002,"ウワサのどうぐかばん工房"
SYSTEXT_QUESTLIST_SERIES_KQ_008,"教えて！　ミラクル整理術"
SYSTEXT_QUESTLIST_SERIES_KQ_020,"カギ師たちの挑戦状"
SYSTEXT_QUESTLIST_SERIES_KQ_025,"ドルボードのささやき"
SYSTEXT_QUESTLIST_SERIES_KQ_028,"幸運を呼ぶサロン"
SYSTEXT_QUESTLIST_SERIES_KQ_111,"万物を教え導く者"
SYSTEXT_QUESTLIST_SERIES_KQ_112,"はるかなる釣り道"
SYSTEXT_QUESTLIST_SERIES_KQ_138,"スペシャルな石をアナタに"
SYSTEXT_QUESTLIST_SERIES_KQ_161,"天地雷鳴士の高みへ"
SYSTEXT_QUESTLIST_SERIES_MQ_001,"英雄と少女の物語"
SYSTEXT_QUESTLIST_SERIES_MQ_002,"生と死の重なるとき"
SYSTEXT_QUESTLIST_SERIES_MQ_003,"アラハギーロの夜明け"
SYSTEXT_QUESTLIST_SERIES_MQ_012,"転職と天職"
SYSTEXT_QUESTLIST_SERIES_MQ_025,"時を超えた再開"
