Key, SourceString
MESSAGE_NO_ITEM_HPHEAL,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_HPHEAL_SOMYA,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_HPHEAL_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_MPHEAL,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_REVIVE,""
MESSAGE_NO_ITEM_CURE,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_DAMAGE,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_ITEM_DAMAGE_MYSELF,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_ITEM_HPHEAL_WEAPON,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_CURE_WEAPON,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_DEBUFF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_W_BUFF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_ITEM_W_BUFF_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_KOUGEKI,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_JUMON_DAMAGE,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DAMAGE2,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DAMAGE_MYSELF,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DAMAGE_MYSELF2,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_DEBUFF,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_BUFF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_BUFF_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_DEATH,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_HPHEAL,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_HPHEAL_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_CURE_STATUS,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_REVIVE,""
MESSAGE_NO_JUMON_MPABSORB,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MADANTE,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MM_MADANTE,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MEGANTE,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_JUMON_MEGAZARU,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_TRAP,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_JUMON_DAMAGE_TRAP_AGT,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_TRAP_AGT,""
MESSAGE_NO_JUMON_HPHEAL_BEHOMA,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_DAMAGE,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE2,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_NOCAST,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_NOCAST2,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF2_NOCAST,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_DAMAGE_MYSELF3_NOCAST,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_MPDAMAGE,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_MPDAMAGE_NOCAST,"ミス！ <%sB_TARGET>に ダメージを あたえられない！"
MESSAGE_NO_SKILL_BUFF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_NOCAST,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF_NOCAST,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF2_NOCAST,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_BUFF_MYSELF_TIKARANOTATE,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_DEBUFF,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_DEBUFF2,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_DEBUFF_NOCAST,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_DEBUFF_MYSELF,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_DEBUFF_MYSELF_NOCAST,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_DEBUFF2_MYSELF_NOCAST,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_CURE_STATUS_MYSELF_NOCAST,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_HPHEAL_TUE,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_MPHEAL_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_MPHEAL_MYSELF_NOCAST,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_HPHEAL_MYSELF,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_HPHEAL_NOCAST,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_REVIVE,""
MESSAGE_NO_SKILL_REVIVE_MYSELF,""
MESSAGE_NO_SKILL_BUFF_GENMAKAIHOU,""
MESSAGE_NO_SKILL_TENSION_NOCAST,""
MESSAGE_NO_SKILL_MEISOU,"しかし <%sB_TARGET>には 何も おこらなかった！"
MESSAGE_NO_SKILL_OTAKEBI,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_OTAKEBI_NOCAST,"<%sB_TARGET>には きかなかった！"
MESSAGE_NO_SKILL_MAHOUJIN,""
MESSAGE_NO_SKILL_HANAFUBUKI,"<%sB_TARGET>には きかなかった！"
