Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET>たちは カウンターが しやすくなった！"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET>たちは カウンターが しやすくなった！"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET>たちは カウンターが しやすくなった！"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"<%sB_TARGET>たちは からだが シビれた！"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_TARGET>たちは からだが シビれた！"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET>たちは 金縛りにあった！"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET>たちは ねむってしまった！"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_TARGET>たちは ねむってしまった！"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET>たちの アタマは こんらんした！"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET>たちは すっころんだ！"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_TARGET>たちは ビックリした！"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET>たちは すっころんだ！"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET>たちは ショックを うけた！"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_TARGET>たちは 大ウケした！"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET>たちは 失笑した！"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET>たちは こおりついた！"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_TARGET>たちは こおりついた！"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET>たちは とりはだがたった！"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_TARGET>たちは コワモテに 恐れをなした！"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET>たちは つられて おどってしまった！"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>たちは おびえて しゅび力が0になった！"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET>たちは すっころんだ！"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET>たちは 糸に からめとられた！"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET>たちは 服に からめとられた！"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET>たちは ふしぎなたまに とじこめられた！"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET>たちは すいこまれた！"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET>たちは うっとりしている！"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_TARGET>たちは 足をとられて ころんだ！"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_ACTOR>たちは <%sB_TARGET>に みとれている！"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_ACTOR>たちは <%sB_TARGET>に みとれて シビれた！"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_ACTOR>たちは <%sB_TARGET>に みとれて こんらんした！"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_ACTOR>たちは <%sB_TARGET>に みとれて 魅了されてしまった！"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR>たちは <%sB_TARGET>に 恐怖した！"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"<%sB_TARGET>たちは まぼろしに つつまれた！"
ODDMESSAGE_NO_GENWAKU_KURAMU,"<%sB_TARGET>たちは 目が くらんだ！"
ODDMESSAGE_NO_GENWAKU_SUNA,"<%sB_TARGET>たちの 目に すなが はいった！"
ODDMESSAGE_NO_GENWAKU_SUMI,"<%sB_TARGET>たちの 目に スミが はいった！"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET>たちは 呪文を ふうじこめられた！"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>たちの前に 光のカベが あらわれた！"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>たちは おいかぜを まとった！"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET>たちは 身を守っている。"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET>たちは こうげきにそなえ 身を守った。"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET>たちは やいばのぼうぎょで 身を守った。"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET>たちは うけるダメージが 少なくなった！"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET>たちは うけるダメージが 少なくなった！"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET>たちは うけるダメージが 少なくなった！"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET>たちは うけるダメージと 与えるダメージが 少なくなった！"
