Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,"<%sB_LOG_REACTION><%sB_TARGET>は ひらりと 身をかわした！"
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,"<%sB_LOG_REACTION><%sB_TARGET>は 盾で こうげきを はじきかえした！"
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,"<%sB_LOG_REACTION><%sB_TARGET>は 武器で こうげきを はじきかえした！"
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,"<%sB_LOG_REACTION><%sB_TARGET>に さわって しびれた！"
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,"<%sB_LOG_REACTION><%sB_TARGET>は 盾で こうげきを はじきかえした！"
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_LOG_REACTION><%sB_TARGET>の カウンター！"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_LOG_REACTION><%sB_TARGET>の カウンター！"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_LOG_REACTION><%sB_TARGET>の カウンター！"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,""
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,""
ODDMESSAGE_NO_NEMURI,""
ODDMESSAGE_NO_NEMURI_ENEMY,""
ODDMESSAGE_NO_KONRAN,""
ODDMESSAGE_NO_YASUMI_KOKERU,""
ODDMESSAGE_NO_YASUMI_BIKKURI,""
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_WARAI,""
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_KORI2,""
ODDMESSAGE_NO_YASUMI_MIBURUI,""
ODDMESSAGE_NO_YASUMI_OYABUN,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,""
ODDMESSAGE_NO_YASUMI_TUKITOBASI,""
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,""
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,""
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,""
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_TANSU,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_YASUMI_HOLE,""
ODDMESSAGE_NO_YASUMI_PAHUPAHU,""
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
