Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET>は カウンターが しやすくなった！"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET>は カウンターが しやすくなった！"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET>は カウンターが しやすくなった！"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"<%sB_TARGET>を シビれさせた！"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_TARGET>を シビれさせた！"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET>は 金縛りにあった！"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET>を ねむらせた！"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_TARGET>を ねむらせた！"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET>を こんらんさせた！"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET>は すっころんだ！"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_TARGET>を ビックリさせた！"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET>を すっころばせた！"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET>に ショックを あたえた！"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_TARGET>を わらわせた！"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET>を わらわせた！"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET>を こおりつかせた！"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_TARGET>を こおりつかせた！"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET>に とりはだをたたせた！"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_TARGET>を おびえさせた！"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET>を おどらせた！"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>は おびえて しゅび力が0になった！"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET>は すっころんだ！"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET>は バナナですべって すっころんだ！"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_TARGET>は クモノに かかった！"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET>は 落とし穴に はまった！"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET>を 糸で からめとった！"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET>を 服で からめとった！"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET>を ふしぎなたまに とじこめた！"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET>は すいこまれた！"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET>は うっとりしている！"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_TARGET>は 足をとられて ころんだ！"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_ACTOR>は <%sB_TARGET>に みとれている！"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_ACTOR>は <%sB_TARGET>に みとれて シビれた！"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_ACTOR>は <%sB_TARGET>に みとれて こんらんした！"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_ACTOR>は <%sB_TARGET>に みとれて 魅了されてしまった！"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR>は <%sB_TARGET>に 恐怖した！"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"<%sB_TARGET>を まぼろしに つつんだ！"
ODDMESSAGE_NO_GENWAKU_KURAMU,"<%sB_TARGET>の 目を くらませた！"
ODDMESSAGE_NO_GENWAKU_SUNA,"すなで <%sB_TARGET>の 目を くらませた！"
ODDMESSAGE_NO_GENWAKU_SUMI,"スミで <%sB_TARGET>の 目を くらませた！"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET>の 呪文を ふうじこめた！"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>の前に 光のカベが あらわれた！"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>は おいかぜを まとった！"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET>は 身を守っている。"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET>は こうげきにそなえ 守った。"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET>は やいばのぼうぎょで 守った。"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET>は うけるダメージが 少なくなった！"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET>は うけるダメージが 少なくなった！"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET>は うけるダメージが 少なくなった！"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET>は うけるダメージと 与えるダメージが 少なくなった！"
