Key, SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,"身をかわした！"
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,"盾ガード！"
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,"武器ガード！"
ODDMESSAGE_NO_SYSTEM_COUNTER,"カウンター！"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_MAHI,""
ODDMESSAGE_NO_NEMURI,""
ODDMESSAGE_NO_KONRAN,""
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,""
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_FUIN_JUMON,""
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"呪文をはねかえした！"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"やいばのぼうぎょ！"
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DOKU_MOUDOKU,""
ODDMESSAGE_NO_DOKU,""
ODDMESSAGE_NO_TENSIONBURN,""
ODDMESSAGE_NO_MIGAWARI_KABAU,"<%sB_BASE_TARGET>を<lf>かばった！"
ODDMESSAGE_NO_MUKO_MAHOSUTE,"呪文をかきけした"
ODDMESSAGE_NO_DMCUT_CRTGUARD,"会心ガード！"
ODDMESSAGE_NO_DOT_SEISIN,""
ODDMESSAGE_NO_DOT_RIHOIMI,""
ODDMESSAGE_NO_BADST_MAMORINOTATE,""
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,""
ODDMESSAGE_NO_RATE_MIKAWASI,""
ODDMESSAGE_NO_RATE_ACROBAT,""
ODDMESSAGE_NO_RATE_TATEGUARD,""
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,""
ODDMESSAGE_NO_RATE_GUARDMASTER,""
ODDMESSAGE_NO_OMOSA_UP,""
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,""
ODDMESSAGE_NO_MIRYO,""
ODDMESSAGE_NO_NOROI,""
ODDMESSAGE_NO_NOROI_HPDOWN,""
ODDMESSAGE_NO_NOROI_HPDOT,""
ODDMESSAGE_NO_NOROI_HPMPDOT,""
ODDMESSAGE_NO_ADDITIONAL_DAMAGE,""
ODDMESSAGE_NO_ABSORB_MP,""
ODDMESSAGE_NO_ABSORB_MP_STK,""
ODDMESSAGE_NO_ABSORB_HP,""
ODDMESSAGE_NO_DAMAGE_HPHEAL,""
ODDMESSAGE_NO_ITETUKUHADO,""
ODDMESSAGE_NO_YAMABIKO,"<%sB_TARGET>の 呪文が こだまする！"
ODDMESSAGE_NO_CRT_UP,""
ODDMESSAGE_NO_HIKARINOHADO,""
ODDMESSAGE_NO_ABSORB_MP_GUARD,""
ODDMESSAGE_NO_ASSASSIN,""
ODDMESSAGE_NO_FREE_MPCOST,"ＭＰ消費しなかった！"
ODDMESSAGE_NO_MUKOU_PASSIVE,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KOORI,""
