Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_LOG_ABILITY_UP><%sB_TARGET>は ふたたび カウンターが しやすくなった！"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_LOG_ABILITY_UP><%sB_TARGET>は ふたたび カウンターが しやすくなった！"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_LOG_ABILITY_UP><%sB_TARGET>は ふたたび カウンターが しやすくなった！"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_LOG_REACTION><%sB_ACTOR>は <%sB_TARGET>に 怒った！"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_LOG_REACTION><%sB_ACTOR>は <%sB_TARGET>に 激怒した！"
ODDMESSAGE_NO_MAHI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび からだが シビれた！"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび シビれた！"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび 金縛りにあった！"
ODDMESSAGE_NO_NEMURI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は さらに 深く ねむってしまった！"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は さらに 深く ねむってしまった！"
ODDMESSAGE_NO_KONRAN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ますます こんらんした！"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび すっころんだ！"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は またまた ビックリして すっころんだ！"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび すっころんだ！"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび ショックを うけた！"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は またまた 大ウケした！"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は またまた シュールなダジャレで 失笑した！"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび こおりついた！"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび こおりついた！"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび とりはだが たってしまった！"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび コワモテに 恐れをなした！"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は またまた つられて おどってしまった！"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび おびえて しゅび力が0になった！"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび すっころんだ！"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は またまた バナナですべって すっころんだ！"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび クモノに かかった！"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび 落とし穴に はまった！"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび 糸に からめとられた！"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび 服に からめとられた！"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび ふしぎなたまに とじこめられた！"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび すいこまれた！"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は またまた うっとりしている！"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_LOG_ABILITY_DOWN><%sB_TARGET>は ふたたび 足をとられて ころんだ！"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR>は <%sB_TARGET>に ふたたび みとれている！"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR>は <%sB_TARGET>に ふたたび みとれて シビれた！"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_LOG_ABILITY_DOWN><%sB_ACTOR>は <%sB_TARGET>に ふたたび みとれて こんらんした！"
