Key, SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,""
ODDMESSAGE_NO_COUNTER_TENTI,""
ODDMESSAGE_NO_COUNTER_UP,""
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_MAHI_BIRIBIRI,""
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_TARGET>は わらえなかった！"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET>に ダジャレは 通じなかった！"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET>は つられなかった！"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>は へいきだった！"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_TEISI,""
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET>は バナナで ころばなかった！"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_TARGET>には クモノは きかなかった！"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET>は 落とし穴を かわした！"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,""
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,""
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,""
ODDMESSAGE_NO_SYSTEM_FEAR,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_GENWAKU_KURAMU,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_GENWAKU_SUNA,"<%sB_TARGET>は すなをふりはらった！"
ODDMESSAGE_NO_GENWAKU_SUMI,"<%sB_TARGET>は すばやく スミをかわした！"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,""
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT_EIGIS,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT_SEXTUKOU,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DAMAGE_0,"<%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_DMUP,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMUP_BUSSITU,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMDOWN,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMUP2,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_DMCUT,"<%sB_TARGET>には 効果がなかった！"
ODDMESSAGE_NO_SYUBI_0,"<%sB_TARGET>には きかなかった！"
