Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_ACTOR>は こうげきに そなえている！"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_ACTOR>は こうげきに そなえている！"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_ACTOR>は こうげきに そなえている！"
ODDMESSAGE_NO_SYSTEM_MARK,""
ODDMESSAGE_NO_SYSTEM_MARK2,""
ODDMESSAGE_NO_MAHI,"<%sB_ACTOR>は からだがシビれて うごけない！"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_ACTOR>は からだがシビれて うごけない！"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_ACTOR>は 金縛りで うごけない！"
ODDMESSAGE_NO_NEMURI,"<%sB_ACTOR>は ねむっている！"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_ACTOR>は ねむっている！"
ODDMESSAGE_NO_KONRAN,"<%sB_ACTOR>は こんらんしている！"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_ACTOR>は ショックを うけている！"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_ACTOR>は はらをかかえて わらっている！"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_ACTOR>は ダジャレがシュールすぎて 失笑している！"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_ACTOR>は こおりついて うごけない！"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_ACTOR>は こおりついて うごけない！"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_ACTOR>は 身ぶるいしている！"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_ACTOR>は おびえている！"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_ACTOR>は つられて おどっている！"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_ACTOR>は ふるえあがっている！"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_TEISI,"<%sB_ACTOR>は 停止している！"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_ACTOR>は 糸がからんで うごけない！"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_ACTOR>は 服がからんで うごけない！"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_ACTOR>は とじこめられて うごけない！"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_ACTOR>は とじこめられて うごけない！"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_ACTOR>は うっとりしている！"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_ACTOR>は まだ たちあがれない！"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_ACTOR>は みとれて うごけない！"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_ACTOR>は シビれて うごけない！"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_ACTOR>は こんらんしている！"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_ACTOR>は 魅了されている！"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_ACTOR>は 恐怖して うごけない！"
ODDMESSAGE_NO_GENWAKU_MABOROSI,""
ODDMESSAGE_NO_GENWAKU_KURAMU,""
ODDMESSAGE_NO_GENWAKU_SUNA,""
ODDMESSAGE_NO_GENWAKU_SUMI,""
ODDMESSAGE_NO_FUIN_JUMON,"しかし、<%sB_ACTOR>の 呪文は ふうじこまれている！"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,""
ODDMESSAGE_NO_HANSYA_OIKAZE,""
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_ACTOR>は 身を守っている。"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_ACTOR>は こうげきに そなえ 身がまえている！"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_ACTOR>は やいばのぼうぎょで 守っている！"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,""
ODDMESSAGE_NO_DMCUT_SUPERARMOR,""
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,""
ODDMESSAGE_NO_DMCUT_PHALANX,""
ODDMESSAGE_NO_DMCUT_EIGIS,""
ODDMESSAGE_NO_DMCUT_SEXTUKOU,""
ODDMESSAGE_NO_DAMAGE_0,""
ODDMESSAGE_NO_DMUP,""
ODDMESSAGE_NO_DMUP_SUKOSI,""
ODDMESSAGE_NO_DMUP_SUPER,""
ODDMESSAGE_NO_DMUP_BUSSITU,""
ODDMESSAGE_NO_DMDOWN,""
ODDMESSAGE_NO_DMUP2,""
ODDMESSAGE_NO_DMCUT,""
