Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_GUARD_SPIKE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BIRIBIRI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,"<%sB_TARGET>の カウンター率が もとにもどった！"
ODDMESSAGE_NO_COUNTER_TENTI,"<%sB_TARGET>の 天地のかまえが とけた！"
ODDMESSAGE_NO_COUNTER_UP,"<%sB_TARGET>の シールドカウンターが とけた！"
ODDMESSAGE_NO_SYSTEM_MARK,"<%sB_TARGET>の 怒りがしずまった"
ODDMESSAGE_NO_SYSTEM_MARK2,"<%sB_TARGET>の 怒りがしずまった"
ODDMESSAGE_NO_MAHI,"<%sB_TARGET>の シビれが きえた！"
ODDMESSAGE_NO_MAHI_BIRIBIRI,"<%sB_TARGET>の シビれが きえた！"
ODDMESSAGE_NO_MAHI_ASB_KANASIBARI,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_NEMURI,"<%sB_TARGET>は 目を さました！"
ODDMESSAGE_NO_NEMURI_ENEMY,"<%sB_TARGET>は 目を さました！"
ODDMESSAGE_NO_KONRAN,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_YASUMI_KOKERU,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_BIKKURI,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_KOROBI,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_OBIE,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_WARAI,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_YASUMI_WARAI_DAJARE,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_YASUMI_KORI,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_KORI2,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_MIBURUI,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_OYABUN,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_ODORI,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_YASUMI_HYAKURETU,"<%sB_TARGET>の しゅび力が もとにもどった！"
ODDMESSAGE_NO_YASUMI_TUKITOBASI,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_TEISI,"<%sB_TARGET>の しゅび力が もとにもどった！"
ODDMESSAGE_NO_YASUMI_KOROBI_BANANA,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_KOROBI_KUMONO,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_KOROBI_OTOSIANA,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_YASUMI_ITO,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_TANSU,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_BALL,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_HOLE,"<%sB_TARGET>は うごけるようになった！"
ODDMESSAGE_NO_YASUMI_PAHUPAHU,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_YASUMI_KOROBI_ASITORARE,"<%sB_TARGET>は たちあがった！"
ODDMESSAGE_NO_SYSTEM_MITORE,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_SYSTEM_MITORE_MAHI,"<%sB_TARGET>の シビれが きえた！"
ODDMESSAGE_NO_SYSTEM_MITORE_KONRAN,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_SYSTEM_MITORE_MIRYO,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_SYSTEM_FEAR,"<%sB_TARGET>は われにかえった！"
ODDMESSAGE_NO_GENWAKU_MABOROSI,"<%sB_TARGET>の 幻惑が とけた！"
ODDMESSAGE_NO_GENWAKU_KURAMU,"<%sB_TARGET>の 幻惑が とけた！"
ODDMESSAGE_NO_GENWAKU_SUNA,"<%sB_TARGET>の 目のすなが とれた！"
ODDMESSAGE_NO_GENWAKU_SUMI,"<%sB_TARGET>の 幻惑が とけた！"
ODDMESSAGE_NO_FUIN_JUMON,"<%sB_TARGET>の 呪文封印が とけた！"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"<%sB_TARGET>の マホカンタが 消えた！"
ODDMESSAGE_NO_HANSYA_OIKAZE,"<%sB_TARGET>の おいかぜが とけた！"
ODDMESSAGE_NO_DMCUT_BOUGYO,"<%sB_TARGET>は 守りのかまえを といた！"
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,"<%sB_TARGET>は 守りのかまえを といた！"
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,"<%sB_TARGET>は 守りのかまえを といた！"
ODDMESSAGE_NO_DMCUT_DAMAGEBARRIER,"<%sB_TARGET>の ダメージバリアの効果が きえた！"
ODDMESSAGE_NO_DMCUT_SUPERARMOR,"<%sB_TARGET>の スーパーアーマーの効果が きえた！"
ODDMESSAGE_NO_DMCUT_TEPPEKINOMAMORI,"<%sB_TARGET>の 鉄壁の守りの効果が きえた！"
ODDMESSAGE_NO_DMCUT_PHALANX,"<%sB_TARGET>の ファランクスの効果が きえた！"
ODDMESSAGE_NO_DMCUT_EIGIS,"<%sB_TARGET>の うけるダメージが もとにもどった！"
