Key,SourceString
ODDMESSAGE_NO_SYSTEM_NOMSG,""
ODDMESSAGE_NO_SYSTEM_MIKAWASI,""
ODDMESSAGE_NO_SYSTEM_GUARD_TATE,""
ODDMESSAGE_NO_SYSTEM_GUARD_BUKI,""
ODDMESSAGE_NO_SYSTEM_COUNTER,""
ODDMESSAGE_NO_SYSTEM_MARK,"怒りがしずまった"
ODDMESSAGE_NO_MAHI,"シビれが消えた！"
ODDMESSAGE_NO_NEMURI,"目をさました！"
ODDMESSAGE_NO_KONRAN,"われにかえった！"
ODDMESSAGE_NO_YASUMI_KOROBI,""
ODDMESSAGE_NO_YASUMI_OBIE,""
ODDMESSAGE_NO_YASUMI_KORI,""
ODDMESSAGE_NO_YASUMI_ODORI,""
ODDMESSAGE_NO_YASUMI_HYAKURETU,"しゅび力がもとにもどった"
ODDMESSAGE_NO_YASUMI_ITO,""
ODDMESSAGE_NO_YASUMI_BALL,""
ODDMESSAGE_NO_SYSTEM_MITORE,""
ODDMESSAGE_NO_GENWAKU_MABOROSI,"幻惑がとけた！"
ODDMESSAGE_NO_GENWAKU_KURAMU,"幻惑がとけた！"
ODDMESSAGE_NO_FUIN_JUMON,"マホトーンがとけた！"
ODDMESSAGE_NO_HANSYA_MAHOKANTA,"マホカンタが消えた！"
ODDMESSAGE_NO_DMCUT_BOUGYO,""
ODDMESSAGE_NO_DMCUT_DAIBOUGYO,""
ODDMESSAGE_NO_DMCUT_YAIBABOUGYO,""
ODDMESSAGE_NO_DMUP,"ダメージアップ効果がきえた！"
ODDMESSAGE_NO_DOKU_MOUDOKU,"どくがきえた！"
ODDMESSAGE_NO_DOKU,"どくがきえた！"
ODDMESSAGE_NO_TENSIONBURN,"テンションバーンがきえた！"
ODDMESSAGE_NO_MIGAWARI_KABAU,""
ODDMESSAGE_NO_MUKO_MAHOSUTE,"マホステがきえた！"
ODDMESSAGE_NO_DMCUT_CRTGUARD,"会心ガードがきえた！"
ODDMESSAGE_NO_DOT_SEISIN,"魔力の息吹がきえた！"
ODDMESSAGE_NO_DOT_RIHOIMI,"リホイミがきえた！"
ODDMESSAGE_NO_BADST_MAMORINOTATE,"まもりのたてがきえた！"
ODDMESSAGE_NO_MPCOST_MIRACLEZONE,"ミラクルゾーンがとけた！"
ODDMESSAGE_NO_RATE_MIKAWASI,"身かわし率がもどった！"
ODDMESSAGE_NO_RATE_ACROBAT,"アクロバットスターがとけた！"
ODDMESSAGE_NO_RATE_TATEGUARD,"盾ガード率がもどった！"
ODDMESSAGE_NO_RATE_BUKIGUARD_TSW,"武器ガード率がもどった！"
ODDMESSAGE_NO_RATE_GUARDMASTER,"ガード率がもどった！"
ODDMESSAGE_NO_OMOSA_UP,"重さがもどった！"
ODDMESSAGE_NO_CASTSPEED_HAYAYOMI,"早読みの杖がきえた！"
ODDMESSAGE_NO_MIRYO,"魅了がとけた！"
ODDMESSAGE_NO_NOROI,"呪いがとけた！"
ODDMESSAGE_NO_NOROI_HPDOWN,"呪いがとけた！"
ODDMESSAGE_NO_NOROI_HPDOT,"呪いがとけた！"
ODDMESSAGE_NO_NOROI_HPMPDOT,"呪いがとけた！"
ODDMESSAGE_NO_ADDITIONAL_DAMAGE,""
ODDMESSAGE_NO_ABSORB_MP,""
ODDMESSAGE_NO_ABSORB_MP_STK,""
ODDMESSAGE_NO_ABSORB_HP,""
ODDMESSAGE_NO_DAMAGE_HPHEAL,"ダメージでＨＰ回復がきえた！"
ODDMESSAGE_NO_ITETUKUHADO,""
ODDMESSAGE_NO_YAMABIKO,"いい効果がかきけされた！"
ODDMESSAGE_NO_CRT_UP,"呪文暴走率がもどった！"
ODDMESSAGE_NO_HIKARINOHADO,"悪い効果がかきけされた！"
ODDMESSAGE_NO_ABSORB_MP_GUARD,""
ODDMESSAGE_NO_ASSASSIN,""
ODDMESSAGE_NO_FREE_MPCOST,""
ODDMESSAGE_NO_MUKOU_PASSIVE,""
ODDMESSAGE_NO_BREAK_ATTRIBUTE_KOORI,"氷耐性がもどった！"
