Key,SourceString
ID_MONSTER_NAME_00100,"スライム"
ID_MONSTER_NAME_00101,"スライムベス"
ID_MONSTER_NAME_00102,"メタルスライム"
ID_MONSTER_NAME_00107,"メタルーキー"
ID_MONSTER_NAME_00200,"ドラキー"
ID_MONSTER_NAME_00201,"タホドラキー"
ID_MONSTER_NAME_00202,"ドラキーマ"
ID_MONSTER_NAME_00203,"メイジドラキー"
ID_MONSTER_NAME_00300,"ナスビナーラ"
ID_MONSTER_NAME_00301,"メランザーナ"
ID_MONSTER_NAME_00302,"ブルベリーノ"
ID_MONSTER_NAME_00304,"大ナスビナーラ"
ID_MONSTER_NAME_00400,"バブルスライム"
ID_MONSTER_NAME_00401,"はぐれメタル"
ID_MONSTER_NAME_00500,"しましまキャット"
ID_MONSTER_NAME_00501,"プリズニャン"
ID_MONSTER_NAME_00502,"ベロニャーゴ"
ID_MONSTER_NAME_00506,"ニューラ"
ID_MONSTER_NAME_00507,"マーブルン"
ID_MONSTER_NAME_00600,"オニオーン"
ID_MONSTER_NAME_00601,"たまねぎマン"
ID_MONSTER_NAME_00602,"じごくのたまねぎ"
ID_MONSTER_NAME_00603,"おばけトマト"
ID_MONSTER_NAME_00700,"いっかくウサギ"
ID_MONSTER_NAME_00701,"アルミラージ"
ID_MONSTER_NAME_00702,"ゴールデンコーン"
ID_MONSTER_NAME_00800,"スライムつむり"
ID_MONSTER_NAME_00801,"マリンスライム"
ID_MONSTER_NAME_00802,"つららスライム"
ID_MONSTER_NAME_00804,"つむりんママ"
ID_MONSTER_NAME_00806,"ツンドラキー"
ID_MONSTER_NAME_00900,"ファーラット"
ID_MONSTER_NAME_00901,"モコモコじゅう"
ID_MONSTER_NAME_00902,"ケダモン"
ID_MONSTER_NAME_00903,"ピンクボンボン"
ID_MONSTER_NAME_01000,"メラゴースト"
ID_MONSTER_NAME_01001,"さまようたましい"
ID_MONSTER_NAME_01007,"殺意の怨霊"
ID_MONSTER_NAME_01100,"いたずらもぐら"
ID_MONSTER_NAME_01101,"キラースコップ"
ID_MONSTER_NAME_01102,"キラーピッケル"
ID_MONSTER_NAME_01104,"モグラの子分"
ID_MONSTER_NAME_01105,"モグラのエリート"
ID_MONSTER_NAME_01200,"プチアーノン"
ID_MONSTER_NAME_01201,"だいおうキッズ"
ID_MONSTER_NAME_01202,"タコメット"
ID_MONSTER_NAME_01205,"テンタコルス"
ID_MONSTER_NAME_01300,"おばけヒトデ"
ID_MONSTER_NAME_01301,"マージスター"
ID_MONSTER_NAME_01302,"チャンプスター"
ID_MONSTER_NAME_01400,"ゴースト"
ID_MONSTER_NAME_01401,"メトロゴースト"
ID_MONSTER_NAME_01402,"ヘルゴースト"
ID_MONSTER_NAME_01404,"キョンシーゴースト"
ID_MONSTER_NAME_01500,"ホイミスライム"
ID_MONSTER_NAME_01501,"しびれくらげ"
ID_MONSTER_NAME_01502,"ベホマスライム"
ID_MONSTER_NAME_01503,"ベホイムスライム"
ID_MONSTER_NAME_01504,"ベホイミスライム"
ID_MONSTER_NAME_01508,"メタルホイミン"
ID_MONSTER_NAME_01600,"わらいぶくろ"
ID_MONSTER_NAME_01601,"おどるほうせき"
ID_MONSTER_NAME_01602,"スウィートバッグ"
ID_MONSTER_NAME_01800,"クックルー"
ID_MONSTER_NAME_01801,"デスパロット"
ID_MONSTER_NAME_01802,"ピッキー"
ID_MONSTER_NAME_01900,"バブリン"
ID_MONSTER_NAME_01901,"プヨンターゲット"
ID_MONSTER_NAME_01902,"ポムポムボム"
ID_MONSTER_NAME_01903,"リュウイーソー"
ID_MONSTER_NAME_01904,"呪いの影"
ID_MONSTER_NAME_01905,"ポムボム"
ID_MONSTER_NAME_01906,"ポムボム改"
ID_MONSTER_NAME_02100,"ぐんたいガニ"
ID_MONSTER_NAME_02101,"じごくのハサミ"
ID_MONSTER_NAME_02102,"ガニラス"
ID_MONSTER_NAME_02103,"キラークラブ"
ID_MONSTER_NAME_02104,"商品ナンバー７"
ID_MONSTER_NAME_02200,"ねこまどう"
ID_MONSTER_NAME_02201,"ジャガーメイジ"
ID_MONSTER_NAME_02202,"ベンガルクーン"
ID_MONSTER_NAME_02203,"ダークペルシャ"
ID_MONSTER_NAME_02204,"ミュベス"
ID_MONSTER_NAME_02205,"モミャー"
ID_MONSTER_NAME_02206,"ニョラバルト"
ID_MONSTER_NAME_02207,"ミャルザール"
ID_MONSTER_NAME_02208,"ニャンデミト"
ID_MONSTER_NAME_02300,"ふゆうじゅ"
ID_MONSTER_NAME_02301,"ウッディアイ"
ID_MONSTER_NAME_02302,"マザーウッド"
ID_MONSTER_NAME_02303,"きせいじゅ"
ID_MONSTER_NAME_02307,"ミケまどう"
ID_MONSTER_NAME_02400,"マドハンド"
ID_MONSTER_NAME_02401,"ブラッドハンド"
ID_MONSTER_NAME_02500,"メタッピー"
ID_MONSTER_NAME_02501,"ガチャコッコ"
ID_MONSTER_NAME_02502,"アイアンクック"
ID_MONSTER_NAME_02503,"ファイアボール"
ID_MONSTER_NAME_02700,"タップペンギー"
ID_MONSTER_NAME_02701,"岩とびあくま"
ID_MONSTER_NAME_02702,"こうていタップ"
ID_MONSTER_NAME_02800,"さそりばち"
ID_MONSTER_NAME_02801,"キラービー"
ID_MONSTER_NAME_02802,"ハンターフライ"
ID_MONSTER_NAME_02900,"キャットフライ"
ID_MONSTER_NAME_02901,"キャットバット"
ID_MONSTER_NAME_02902,"ナイトキャット"
ID_MONSTER_NAME_02903,"セクシーキャット"
ID_MONSTER_NAME_02904,"プリティフライ"
ID_MONSTER_NAME_03000,"キャタピラー"
ID_MONSTER_NAME_03001,"どくイモムシ"
ID_MONSTER_NAME_03002,"かえんムカデ"
ID_MONSTER_NAME_03100,"どくやずきん"
ID_MONSTER_NAME_03101,"リリパット"
ID_MONSTER_NAME_03102,"アローインプ"
ID_MONSTER_NAME_03103,"レッドアーチャー"
ID_MONSTER_NAME_03200,"メーダ"
ID_MONSTER_NAME_03201,"メーダロード"
ID_MONSTER_NAME_03202,"メーダクイン"
ID_MONSTER_NAME_03203,"メーダプリンス"
ID_MONSTER_NAME_03300,"おおきづち"
ID_MONSTER_NAME_03301,"ブラウニー"
ID_MONSTER_NAME_03302,"とげこんぼう"
ID_MONSTER_NAME_03400,"さんぞくウルフ"
ID_MONSTER_NAME_03401,"シードッグ"
ID_MONSTER_NAME_03402,"サマーウルフ"
ID_MONSTER_NAME_03403,"サードンの手下"
ID_MONSTER_NAME_03500,"おにこぞう"
ID_MONSTER_NAME_03501,"ピクシー"
ID_MONSTER_NAME_03502,"バアラック"
ID_MONSTER_NAME_03600,"ギズモ"
ID_MONSTER_NAME_03601,"ヒートギズモ"
ID_MONSTER_NAME_03602,"フロストギズモ"
ID_MONSTER_NAME_03603,"ましょうぐも"
ID_MONSTER_NAME_03700,"どくろあらい"
ID_MONSTER_NAME_03701,"スカルガルー"
ID_MONSTER_NAME_03702,"ホタテワラビー"
ID_MONSTER_NAME_03703,"聖銀のどくろあらい"
ID_MONSTER_NAME_03800,"グレムリン"
ID_MONSTER_NAME_03801,"ベビル"
