Key,SourceString
MESSAGE_NO_ENCOUNT_ALL_MON,"<%sB_LOG_BATTLE_START>まもののむれと 戦闘開始！"
MESSAGE_NO_ENCOUNT_GROUP_MON,"<%sB_LOG_BATTLE_START><%sB_TARGET>たちと 戦闘開始！"
MESSAGE_NO_ENCOUNT_SINGLE_MON,"<%sB_LOG_BATTLE_START><%sB_TARGET>と 戦闘開始！"
MESSAGE_NO_ENCOUNT_CREW,"<%sB_LOG_BATTLE_START><%sB_TARGET>と 戦闘開始！"
MESSAGE_NO_PC_FIRST_ATTACK,"<%sB_LOG_BATTLE_START><%sB_ACTOR>たちの 先制攻撃！"
MESSAGE_NO_PC_FIRST_ATTACK_SINGLE,"<%sB_LOG_BATTLE_START><%sB_ACTOR>の 先制攻撃！"
MESSAGE_NO_MON_FIRST_ATTACK,"<%sB_LOG_BATTLE_START><%sB_ACTOR>たちは 不意をつかれた！"
MESSAGE_NO_MON_FIRST_ATTACK_SINGLE,"<%sB_LOG_BATTLE_START><%sB_ACTOR>は 不意をつかれた！"
MESSAGE_NO_KEIKEN,"<%sB_LOG_BATTLE_END><%dB_VALUE>ポイントの経験値を かくとく！"
MESSAGE_NO_GOLD,"<%sB_LOG_BATTLE_END><%dB_VALUE>ゴールドを 手に入れた！"
MESSAGE_NO_ADD_GOLD,"<%sB_LOG_BATTLE_END><%dB_VALUE>ゴールドを 盗みとっていた！"
MESSAGE_NO_WIN_ALL_MON,"<%sB_LOG_BATTLE_END>まもののむれを やっつけた！"
MESSAGE_NO_WIN_GROUP_MON,"<%sB_LOG_BATTLE_END><%sB_TARGET>たちを やっつけた！"
MESSAGE_NO_WIN_SINGLE_MON,"<%sB_LOG_BATTLE_END><%sB_TARGET>を やっつけた！"
MESSAGE_NO_WIN_CREW_MON,"<%sB_LOG_BATTLE_END><%sB_TARGET>を やっつけた！"
MESSAGE_NO_DISAPPEAR_ALL_MON,"<%sB_LOG_BATTLE_END>まもののむれは いなくなった！"
MESSAGE_NO_DISAPPEAR_GROUP_MON,"<%sB_LOG_BATTLE_END><%sB_TARGET>たちは いなくなった！"
MESSAGE_NO_DISAPPEAR_SINGLE_MON,"<%sB_LOG_BATTLE_END><%sB_TARGET>は いなくなった！"
MESSAGE_NO_DISAPPEAR_CREW_MON,"<%sB_LOG_BATTLE_END><%sB_TARGET>は いなくなった！"
MESSAGE_NO_LOAD,""
MESSAGE_NO_LOSE,"<%sB_LOG_BATTLE_END><%sB_ACTOR>たちは ぜんめつした。"
MESSAGE_NO_LOSE_SINGLE,"<%sB_LOG_BATTLE_END><%sB_ACTOR>は ちからつきた。"
MESSAGE_NO_DROP_ALL_MON,"まもののむれは 宝箱を 落としていった！"
MESSAGE_NO_DROP_GROUP_MON,"<%sB_TARGET>たちは 宝箱を 落としていった！"
MESSAGE_NO_DROP_SINGLE_MON,"<%sB_TARGET>は 宝箱を 落としていった！"
MESSAGE_NO_DROP_CREW_MON,"<%sB_TARGET>は 宝箱を 落としていった！"
MESSAGE_NO_CANT_GET_ITEM,""
MESSAGE_NO_CANT_GET_ARMS,""
MESSAGE_NO_CANT_GET_ALL,""
MESSAGE_NO_TREASURE_GIVEUP,""
MESSAGE_NO_TREASURE_GOODBYE,""
MESSAGE_NO_TREASURE_GOODBYE_SINGLE,""
MESSAGE_NO_LACKMANA,""
SYSTXT_BATTLE_COMMAND_02010,""
SYSTXT_BATTLE_COMMAND_02020,""
SYSTXT_BATTLE_COMMAND_02030,""
MESSAGE_NO_CANT_EQUIP,""
SYSTXT_BATTLE_COMMAND_22170,""
SYSTXT_BATTLE_COMMAND_22180,""
SYSTXT_BATTLE_COMMAND_41150,""
SYSTXT_BATTLE_COMMAND_63010,""
SYSTXT_BATTLE_COMMAND_72010,""
MESSAGE_NO_LEVELUP,"<%sB_LOG_BATTLE_END><%sB_ACTOR>は レベルアップ！"
MESSAGE_NO_LEVELUP_SKILLPANEL,""
MESSAGE_NO_ESCAPE_CHECK,""
MESSAGE_NO_ESCAPE_NO,""
MESSAGE_NO_ESCAPE_START,"<%sB_ACTOR>たちは にげだした！"
MESSAGE_NO_ESCAPE_START_SINGLE,"<%sB_ACTOR>は にげだした！"
MESSAGE_NO_ESCAPE_FAILED,"<%sB_LOG_REACTION>しかし まわりこまれてしまった。"
MESSAGE_NO_MASTERY,""
MESSAGE_NO_STOP_BATTLE,"<%sB_LOG_BATTLE_END><%sB_ACTOR>は 戦いを やめた。"
MESSAGE_NO_DISAPPEAR_BODYGUARD,"<%sB_LOG_REACTION><%sB_TARGET>は さっていった！"
MESSAGE_NO_FUUIN_TOKUGI,"<%sB_LOG_REACTION><%sB_TARGET>は 特技が ふうじこめられている！"
MESSAGE_NO_FUUIN_TOKUGI_COMMAND,""
MESSAGE_NO_SCOUT_FAILED,"<%sB_LOG_REACTION><%sB_ACTOR>は スカウトに 失敗した。"
MESSAGE_NO_SCOUT_SUCCESS,"<%sB_LOG_REACTION><%sB_ACTOR>は スカウトに 成功した。"
MESSAGE_NO_FUUIN_BRESS,"<%sB_LOG_REACTION><%sB_TARGET>は ブレスが ふうじこめられている！"
MESSAGE_NO_FUUIN_BRESS_COMMAND,""
MESSAGE_NO_FUUIN_TAROT_COMMAND,""
MESSAGE_NO_FREE_TAROT,""
MESSAGE_NO_LACKGOLD,""
MESSAGE_NO_FUUIN_JUMON,"<%sB_LOG_REACTION><%sB_TARGET>は 呪文が ふうじこめられている！"
MESSAGE_NO_FUUIN_JUMON_COMMAND,""
MESSAGE_NO_TARGET_NOT_FOUND,""
MESSAGE_NO_REQUIRE_EMPTY_HAND,""
MESSAGE_NO_LACKMANA_SIMPLE,"<%sB_LOG_REACTION>しかし、<%sB_TARGET>は MPが 足りない！"
MESSAGE_NO_LEARN_JUMON,""
MESSAGE_NO_LEARN_TOKUGI,""
MESSAGE_NO_LEARN_HISSATSU,""
MESSAGE_NO_CANT_SCOUTATTACK,""
MESSAGE_NO_CANT_SCOUTATTACK_AGAIN,""
MESSAGE_NO_CANT_SCOUTATTACK_REQUIRE_BOOK,""
MESSAGE_NO_CANT_SCOUTATTACK_MONSTER_FULL,""
MESSAGE_NO_SCOUT_SELECT,""
MESSAGE_NO_SCOUT_SELECT_YES,""
MESSAGE_NO_SCOUT_SELECT_NO,""
MESSAGE_NO_SCOUT_GOODBYE,""
MESSAGE_NO_SCOUT_NAMING,""
MESSAGE_NO_SCOUT_COMPLETED,""
MESSAGE_NO_SCOUT_ONLY_ONE,""
MESSAGE_NO_SCOUT_ONLY_ONE_SELECT,""
MESSAGE_NO_SCOUT_SELECT_ONE,""
MESSAGE_NO_SCOUT_SEND_MONSTER,""
