Key,SourceString
CONDMESSAGE_NAME_NO_NONE,"（なし）"
CONDMESSAGE_NAME_NO_ABSORBHP_PER_UP_BUFF,"攻撃時ＨＰ回復"
CONDMESSAGE_NAME_NO_ABSORBMP_PER_UP,"攻撃時ＭＰ吸収"
CONDMESSAGE_NAME_NO_CASTTIME_CUT,"たまに２回呪文"
CONDMESSAGE_NAME_NO_CASTTIME_CUT_SET,"たまに２回呪文"
CONDMESSAGE_NAME_NO_CONSUMEMP_CUT,"ＭＰ消費しない"
CONDMESSAGE_NAME_NO_CONV_DM_TO_HP_IYASI,"ダメージでＨＰ回復"
CONDMESSAGE_NAME_NO_CONV_DM_TO_MP_KOROMO,"ダメージでＭＰ回復"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_4,"ブレスダメージ軽減"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_3,"ブレスダメージ軽減"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_2,"ブレスダメージ増加"
CONDMESSAGE_NAME_NO_DMCUT_BREATH_1,"ブレスダメージ増加"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_4,"呪文ダメージ軽減"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_3,"呪文ダメージ軽減"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_2,"呪文ダメージ増加"
CONDMESSAGE_NAME_NO_DMCUT_MAGIC_1,"呪文ダメージ増加"
CONDMESSAGE_NAME_NO_DMCUT_BOUGYO_MAHOZIN,"ダメージ軽減"
CONDMESSAGE_NAME_NO_DEFENCE_DMCUT_PHALANX,"ダメージ軽減"
CONDMESSAGE_NAME_NO_DEFENCE_DMCUT_NIOUDATI,"ダメージ軽減"
CONDMESSAGE_NAME_NO_DEFENCE_DM_CHANGE_PER,"ダメージ増加"
CONDMESSAGE_NAME_NO_RESIST_JOUTAIIJOU,"状態異常耐性アップ"
CONDMESSAGE_NAME_NO_DEFFECNE_ODD_RATEDOWN,"状態異常耐性ダウン"
CONDMESSAGE_NAME_NO_DOT_DOKU,"どく"
CONDMESSAGE_NAME_NO_CURSE_DOT_HP,"徐々にＨＰ減少"
CONDMESSAGE_NAME_NO_DOT_TAIDEN,"帯電"
CONDMESSAGE_NAME_NO_RERAISE,"死亡時生き返り"
CONDMESSAGE_NAME_NO_FOOD_KAIFUKUMARYOKU_PLUS,"かいふく魔力アップ"
CONDMESSAGE_NAME_NO_ODD_KAIFUKUMARYOKU_PLUS,"かいふく魔力アップ"
CONDMESSAGE_NAME_NO_DMCUT_KAISIN,"会心ダメージ軽減"
CONDMESSAGE_NAME_NO_FOOD_KIYOUSA_PLUS,"きようさアップ"
