Key,SourceString
CATEGORY_SOUBIHIN,"そうびひん"
NAME_ID_ITEM_EQUIP_HELM_KAWANOBOUSHI,"皮のぼうし"
NAME_ID_ITEM_EQUIP_HELM_ASANOBOUSHI,"麻のぼうし"
NAME_ID_ITEM_EQUIP_HELM_DOWAHUSAGYOUBOUSHI,"ドワーフ作業ぼうし"
NAME_ID_ITEM_EQUIP_HELM_PUKURIPOZUKIN,"プクリポずきん"
NAME_ID_ITEM_EQUIP_HELM_UROKONOKABUTO,"うろこのかぶと"
NAME_ID_ITEM_EQUIP_HELM_IYASHINOBOUSHI,"いやしのぼうし"
NAME_ID_ITEM_EQUIP_HELM_SEIDOUNOKABUTO,"せいどうのかぶと"
NAME_ID_ITEM_EQUIP_HELM_SHASHUNOBOUSHI,"射手のぼうし"
NAME_ID_ITEM_EQUIP_HELM_NUSUTTOZUKIN,"ぬすっとずきん"
NAME_ID_ITEM_EQUIP_HELM_KINUNOBOUSHI,"きぬのぼうし"
NAME_ID_ITEM_EQUIP_HELM_SHUURENYOUBANDO,"しゅうれん用バンド"
NAME_ID_ITEM_EQUIP_HELM_TETSUNOHACHIGANE,"てつのはちがね"
NAME_ID_ITEM_EQUIP_HELM_SAFURANHATTO,"サフランハット"
NAME_ID_ITEM_EQUIP_HELM_KUSUSHINOBOUSHI,"くすしのぼうし"
NAME_ID_ITEM_EQUIP_HELM_SHOKYUUMAHOUSENSHIBERE,"初級魔法戦士ベレー"
NAME_ID_ITEM_EQUIP_HELM_KUSARINOHACHIGANE,"くさりのはちがね"
NAME_ID_ITEM_EQUIP_HELM_TETSUKABUTO,"てつかぶと"
NAME_ID_ITEM_EQUIP_HELM_GINNOHACHIGANE,"ぎんのはちがね"
NAME_ID_ITEM_EQUIP_HELM_SHINPEISHIKYUUKABUTO,"新兵支給かぶと"
NAME_ID_ITEM_EQUIP_HELM_MIKAWASHINOBOUSI,"みかわしのぼうし"
NAME_ID_ITEM_EQUIP_HELM_HAYATENOBANDANA,"はやてのバンダナ"
NAME_ID_ITEM_EQUIP_HELM_GAKUSYANOBOUSHI,"学者のぼうし"
NAME_ID_ITEM_EQUIP_HELM_HAGANENOKABUTO,"はがねのかぶと"
NAME_ID_ITEM_EQUIP_HELM_MATADORUBANDO,"マタドールバンド"
NAME_ID_ITEM_EQUIP_HELM_MAMORINOBOUSHI,"まもりのぼうし"
NAME_ID_ITEM_EQUIP_HELM_MAJINAISHITABAN,"まじないしターバン"
NAME_ID_ITEM_EQUIP_HELM_SENSHINOKABUTO,"戦士のかぶと"
NAME_ID_ITEM_EQUIP_HELM_MAHOUTSUKAINOBOUSHI,"魔法使いのぼうし"
NAME_ID_ITEM_EQUIP_HELM_SOURYONOKAROTTO,"僧侶のカロット"
NAME_ID_ITEM_EQUIP_HELM_TABIGEININNOHEABANDO,"旅芸人のヘアバンド"
NAME_ID_ITEM_EQUIP_HELM_BATOMASUHEDDO,"バトマスヘッド"
NAME_ID_ITEM_EQUIP_HELM_MAHOUSENSHIDANHATTO,"魔法戦士団ハット"
NAME_ID_ITEM_EQUIP_HELM_RENJYASHAPUKA,"レンジャーシャプカ"
NAME_ID_ITEM_EQUIP_HELM_DOUGUTSUKAINOBOUSHI,"どうぐ使いのぼうし"
NAME_ID_ITEM_EQUIP_HELM_TOUZOKUNOTABAN,"盗賊のターバン"
NAME_ID_ITEM_EQUIP_HELM_KENJANOBOUSHI,"賢者のぼうし"
NAME_ID_ITEM_EQUIP_HELM_MAMONOTSUKAIZUKIN,"まもの使いずきん"
NAME_ID_ITEM_EQUIP_HELM_SUTASHIRUKUHATTO,"スターシルクハット"
NAME_ID_ITEM_EQUIP_HELM_ODORIKONOGAKUKAN,"踊り子の額飾り"
