Key, SourceString
NAME_MONSTER_TAROT_ARCANA_JUSTICE,"正義"
NAME_MONSTER_TAROT_ARCANA_CHARIOT,"戦車"
NAME_MONSTER_TAROT_ARCANA_DEATH,"死神"
NAME_MONSTER_TAROT_ARCANA_TOWER,"塔"
NAME_MONSTER_TAROT_ARCANA_HANGEDMAN,"罪人"
NAME_MONSTER_TAROT_ARCANA_HERMIT,"隠者"
NAME_MONSTER_TAROT_ARCANA_STRENGTH,"力"
NAME_MONSTER_TAROT_ARCANA_MAGICIAN,"魔術師"
NAME_MONSTER_TAROT_ARCANA_LOVERS,"恋人"
NAME_MONSTER_TAROT_ARCANA_DEVIL,"悪魔"
NAME_MONSTER_TAROT_ARCANA_EMPEROR,"皇帝"
NAME_MONSTER_TAROT_ARCANA_WORLD,"世界"
NAME_MONSTER_TAROT_ARCANA_HIEROPHANT,"教皇"
NAME_MONSTER_TAROT_ARCANA_PRIESTESS,"女教皇"
NAME_MONSTER_TAROT_ARCANA_TEMPERANCE,"節制"
NAME_MONSTER_TAROT_ARCANA_SUN,"太陽"
NAME_MONSTER_TAROT_ARCANA_JUDGEMENT,"審判"
NAME_MONSTER_TAROT_ARCANA_FORTUNE,"運命"
NAME_MONSTER_TAROT_ARCANA_MOON,"月"
NAME_MONSTER_TAROT_ARCANA_STAR,"星"
NAME_MONSTER_TAROT_ARCANA_FOOL,"愚者"
NAME_MONSTER_TAROT_ARCANA_EMPRESS,"女帝"
RUBY_MONSTER_TAROT_ARCANA_JUSTICE,"せいぎ"
RUBY_MONSTER_TAROT_ARCANA_CHARIOT,"せんしゃ"
RUBY_MONSTER_TAROT_ARCANA_DEATH,"しにがみ"
RUBY_MONSTER_TAROT_ARCANA_TOWER,"とう"
RUBY_MONSTER_TAROT_ARCANA_HANGEDMAN,"ざいにん"
RUBY_MONSTER_TAROT_ARCANA_HERMIT,"いんじゃ"
RUBY_MONSTER_TAROT_ARCANA_STRENGTH,"ちから"
RUBY_MONSTER_TAROT_ARCANA_MAGICIAN,"まじゅつし"
RUBY_MONSTER_TAROT_ARCANA_LOVERS,"こいびと"
RUBY_MONSTER_TAROT_ARCANA_DEVIL,"あくま"
RUBY_MONSTER_TAROT_ARCANA_EMPEROR,"こうてい"
RUBY_MONSTER_TAROT_ARCANA_WORLD,"せかい"
RUBY_MONSTER_TAROT_ARCANA_HIEROPHANT,"きょうこう"
RUBY_MONSTER_TAROT_ARCANA_PRIESTESS,"おんなきょうこう"
