Key, SourceString
NAME_MONSTER_TAROT_MONSTER_01,"スライム"
NAME_MONSTER_TAROT_MONSTER_02,"スライムベス"
NAME_MONSTER_TAROT_MONSTER_03,"スライムタワー"
NAME_MONSTER_TAROT_MONSTER_04,"メタルスライム"
NAME_MONSTER_TAROT_MONSTER_05,"いっかくウサギ"
NAME_MONSTER_TAROT_MONSTER_06,"アルミラージ"
NAME_MONSTER_TAROT_MONSTER_07,"ブラバニクイーン"
NAME_MONSTER_TAROT_MONSTER_08,"ゴールデンコーン"
NAME_MONSTER_TAROT_MONSTER_09,"スライムつむり"
NAME_MONSTER_TAROT_MONSTER_10,"マリンスライム"
NAME_MONSTER_TAROT_MONSTER_11,"つららスライム"
NAME_MONSTER_TAROT_MONSTER_12,"つむりんママ"
NAME_MONSTER_TAROT_MONSTER_13,"ホイミスライム"
NAME_MONSTER_TAROT_MONSTER_14,"ベホイムスライム"
NAME_MONSTER_TAROT_MONSTER_15,"ベホマスライム"
NAME_MONSTER_TAROT_MONSTER_16,"メタルホイミン"
NAME_MONSTER_TAROT_MONSTER_17,"ドラキー"
NAME_MONSTER_TAROT_MONSTER_18,"メイジドラキー"
NAME_MONSTER_TAROT_MONSTER_19,"ドラキーマ"
NAME_MONSTER_TAROT_MONSTER_20,"ツンドラキー"
NAME_MONSTER_TAROT_MONSTER_21,"じんめんじゅ"
NAME_MONSTER_TAROT_MONSTER_22,"ウドラー"
NAME_MONSTER_TAROT_MONSTER_23,"エビルトレント"
NAME_MONSTER_TAROT_MONSTER_24,"ちょうろうじゅ"
NAME_MONSTER_TAROT_MONSTER_25,"つかいま"
NAME_MONSTER_TAROT_MONSTER_26,"ベビーサタン"
NAME_MONSTER_TAROT_MONSTER_27,"ミニデーモン"
NAME_MONSTER_TAROT_MONSTER_28,"ベビンゴサタン"
NAME_MONSTER_TAROT_MONSTER_29,"くさった死体"
NAME_MONSTER_TAROT_MONSTER_30,"リビングデッド"
NAME_MONSTER_TAROT_MONSTER_31,"マッドスミス"
NAME_MONSTER_TAROT_MONSTER_32,"ベンガルクーン"
NAME_MONSTER_TAROT_MONSTER_33,"ダークペルシャ"
NAME_MONSTER_TAROT_MONSTER_34,"ミケまどう"
NAME_MONSTER_TAROT_MONSTER_35,"メイジキメラ"
NAME_MONSTER_TAROT_MONSTER_36,"スターキメラ"
NAME_MONSTER_TAROT_MONSTER_37,"ムーンキメラ"
NAME_MONSTER_TAROT_MONSTER_38,"キラースコップ"
NAME_MONSTER_TAROT_MONSTER_39,"ブランマトック"
NAME_MONSTER_TAROT_MONSTER_40,"キラーピッケル"
NAME_MONSTER_TAROT_MONSTER_42,"トロルキング"
NAME_MONSTER_TAROT_MONSTER_43,"スイーツトロル"
NAME_MONSTER_TAROT_MONSTER_44,"くろカビこぞう"
NAME_MONSTER_TAROT_MONSTER_45,"モッツァレーラ"
NAME_MONSTER_TAROT_MONSTER_46,"ファーラット"
NAME_MONSTER_TAROT_MONSTER_47,"ピンクボンボン"
NAME_MONSTER_TAROT_MONSTER_48,"おどるほうせき"
NAME_MONSTER_TAROT_MONSTER_49,"スウィートバッグ"
NAME_MONSTER_TAROT_MONSTER_50,"ガーゴイル"
NAME_MONSTER_TAROT_MONSTER_51,"死のカラステング"
NAME_MONSTER_TAROT_MONSTER_52,"キラーマシン"
NAME_MONSTER_TAROT_MONSTER_53,"タイプＧ"
NAME_MONSTER_TAROT_MONSTER_54,"キングスライム"
NAME_MONSTER_TAROT_MONSTER_55,"クイーンスライム"
NAME_MONSTER_TAROT_MONSTER_56,"メタルキング"
NAME_MONSTER_TAROT_MONSTER_57,"セルゲイナス"
NAME_MONSTER_TAROT_MONSTER_58,"エメラルドーン"
NAME_MONSTER_TAROT_MONSTER_59,"アスタロト"
NAME_MONSTER_TAROT_MONSTER_60,"ガネーシャエビル"
NAME_MONSTER_TAROT_MONSTER_61,"キングエレファント"
NAME_MONSTER_TAROT_MONSTER_71,"エンゼルスライム"
NAME_MONSTER_TAROT_MONSTER_72,"わたぼう"
NAME_MONSTER_TAROT_MONSTER_73,"プラチナキング"
NAME_MONSTER_TAROT_MONSTER_74,"キラーマジンガ"
NAME_MONSTER_TAROT_MONSTER_75,"ヘルバトラー"
NAME_MONSTER_TAROT_MONSTER_76,"メカバーン"
NAME_MONSTER_TAROT_MONSTER_77,"ネクロバルサ"
NAME_MONSTER_TAROT_MONSTER_78,"レジェンドホース"
NAME_MONSTER_TAROT_MONSTER_79,"わるぼう"
NAME_MONSTER_TAROT_MONSTER_80,"アトラス"
NAME_MONSTER_TAROT_MONSTER_81,"バズズ"
NAME_MONSTER_TAROT_MONSTER_82,"ベリアル"
NAME_MONSTER_TAROT_MONSTER_83,"バラモスゾンビ"
NAME_MONSTER_TAROT_MONSTER_84,"バラモスブロス"
NAME_MONSTER_TAROT_MONSTER_85,"キングヒドラ"
NAME_MONSTER_TAROT_MONSTER_86,"アクバー"
NAME_MONSTER_TAROT_MONSTER_87,"デュラン"
NAME_MONSTER_TAROT_MONSTER_88,"ジャミラス"
NAME_MONSTER_TAROT_MONSTER_89,"グラコス"
RUBY_MONSTER_TAROT_MONSTER_01,"すらいむ"
RUBY_MONSTER_TAROT_MONSTER_02,"すらいむべす"
RUBY_MONSTER_TAROT_MONSTER_03,"すらいむたわー"
RUBY_MONSTER_TAROT_MONSTER_04,"めたるすらいむ"
RUBY_MONSTER_TAROT_MONSTER_05,"いっかくうさぎ"
RUBY_MONSTER_TAROT_MONSTER_06,"あるみらーじ"
RUBY_MONSTER_TAROT_MONSTER_07,"ぶらばにくいーん"
RUBY_MONSTER_TAROT_MONSTER_08,"ごーるでんこーん"
RUBY_MONSTER_TAROT_MONSTER_09,"すらいむつむり"
RUBY_MONSTER_TAROT_MONSTER_10,"まりんすらいむ"
RUBY_MONSTER_TAROT_MONSTER_11,"つららすらいむ"
RUBY_MONSTER_TAROT_MONSTER_12,"つむりんまま"
RUBY_MONSTER_TAROT_MONSTER_13,"ほいみすらいむ"
RUBY_MONSTER_TAROT_MONSTER_14,"べほいむすらいむ"
RUBY_MONSTER_TAROT_MONSTER_15,"べほますらいむ"
RUBY_MONSTER_TAROT_MONSTER_16,"めたるほいみん"
RUBY_MONSTER_TAROT_MONSTER_17,"どらきー"
RUBY_MONSTER_TAROT_MONSTER_18,"めいじどらきー"
RUBY_MONSTER_TAROT_MONSTER_19,"どらきーま"
RUBY_MONSTER_TAROT_MONSTER_20,"つんどらきー"
RUBY_MONSTER_TAROT_MONSTER_21,"じんめんじゅ"
RUBY_MONSTER_TAROT_MONSTER_22,"うどらー"
RUBY_MONSTER_TAROT_MONSTER_23,"えびるとれんと"
RUBY_MONSTER_TAROT_MONSTER_24,"ちょうろうじゅ"
RUBY_MONSTER_TAROT_MONSTER_25,"つかいま"
RUBY_MONSTER_TAROT_MONSTER_26,"べびーさたん"
RUBY_MONSTER_TAROT_MONSTER_27,"みにでーもん"
RUBY_MONSTER_TAROT_MONSTER_28,"べびんごさたん"
RUBY_MONSTER_TAROT_MONSTER_29,"くさったしたい"
RUBY_MONSTER_TAROT_MONSTER_30,"りびんぐでっど"
RUBY_MONSTER_TAROT_MONSTER_31,"まっどすみす"
RUBY_MONSTER_TAROT_MONSTER_32,"べんがるくーん"
RUBY_MONSTER_TAROT_MONSTER_33,"だーくぺるしゃ"
RUBY_MONSTER_TAROT_MONSTER_34,"みけまどう"
RUBY_MONSTER_TAROT_MONSTER_35,"めいじきめら"
RUBY_MONSTER_TAROT_MONSTER_36,"すたーきめら"
RUBY_MONSTER_TAROT_MONSTER_37,"むーんきめら"
RUBY_MONSTER_TAROT_MONSTER_38,"きらーすこっぷ"
RUBY_MONSTER_TAROT_MONSTER_39,"ぶらんまとっく"
RUBY_MONSTER_TAROT_MONSTER_40,"きらーぴっける"
RUBY_MONSTER_TAROT_MONSTER_42,"とろるきんぐ"
RUBY_MONSTER_TAROT_MONSTER_43,"すいーつとろる"
RUBY_MONSTER_TAROT_MONSTER_44,"くろかびこぞう"
RUBY_MONSTER_TAROT_MONSTER_45,"もっつぁれーら"
RUBY_MONSTER_TAROT_MONSTER_46,"ふぁーらっと"
RUBY_MONSTER_TAROT_MONSTER_47,"ぴんくぼんぼん"
