Key,SourceString
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_DOUNOTSURUGI,"どうのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_ETENENOKEN,"エテーネの剣"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_SHOSHINSHAYOUNOKATATEKEN,"初心者用の片手剣"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_REIPIA,"レイピア"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_SEIDOUNOTSURUGI,"せいどうのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_TETSUNOTSURUGI,"てつのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_SANZOKUNOSABERU,"さんぞくのサーベル"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_BASUTADOSODO,"バスタードソード"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_GINNOREIPIA,"ぎんのレイピア"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_HAGANENOTSURUGI,"はがねのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_ULESUTANREIPIA,"ウェスタンレイピア"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_HAJYANOTSURUGI,"はじゃのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_SENSHINOKEN,"戦士の剣"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_HAYABUSANOKEN,"はやぶさの剣"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_MAKENSHINOREIPIA,"まけんしのレイピア"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_DORAGONKIRA,"ドラゴンキラー"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_PURACHINASODO,"プラチナソード"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_ZONBIKIRA,"ゾンビキラー"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_HONOONOTSURUGI,"ほのおのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_KISEKINOTSURUGI,"きせきのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_METASURANOKEN,"メタスラの剣"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_ONIKISUNOMAKEN,"オニキスの魔剣"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_HOSHIKUZUNOTSURUGI,"ほしくずのつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_SEIOUNOTSURUGI,"聖王のつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_RAITONINGUSODO,"ライトニングソード"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_MEITOUZANTETSUMARU,"名刀　斬鉄丸"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_TENMEINOTSURUGI,"天命のつるぎ"
NAME_ID_ITEM_EQUIP_ONEHANDEDSWORD_ROTONOTSURUGI,"ロトのつるぎ"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_DOUNOTAIKEN,"どうの大剣"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_SHOSHINSHAYOUNORYOUTEKEN,"初心者用の両手剣"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_BIGGUBUREDO,"ビッグブレード"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_SEIDOUNOTAIKEN,"せいどうの大剣"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_TETSUNOTAIKEN,"てつの大剣"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_BIGGUBUREDOTWO,"ビッグブレードⅡ"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_SHADOUEJJI,"シャドウエッジ"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_OOBASAMI,"おおばさみ"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_HAGANENOTAIKEN,"はがねの大剣"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_TAIMANOTACHI,"退魔の太刀"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_BURADDOEJJI,"ブラッドエッジ"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_KURESENTOEJJI,"クレセントエッジ"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_ZANYANOTACHI,"斬夜の太刀"
NAME_ID_ITEM_EQUIP_TWOHANDEDSWORD_PURACHINABUREDO,"プラチナブレード"
