Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>たちに ふたたび こうげき力アップの効果！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>たちに ふたたび しゅび力アップの効果！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>たちに ふたたび すばやさアップの効果！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>たちに ふたたび みりょくアップの効果！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>たちに ふたたび ブレス耐性アップの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>たちに ふたたび 呪文耐性アップの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>たちに ふたたび 呪文の威力アップの効果！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>たちに ふたたび 呪文の回復量増加の効果！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>たちに ふたたび しゅび力アップの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>たちに ふたたび こうげき力プラスの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>たちに ふたたび こうげき力アップの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_TARGET>たちに ふたたび バイシオンとピオラの効果が発動！"
