Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_TARGET>の こうげき力が 少し さがった！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_TARGET>の しゅび力が 少し さがった！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_TARGET>の すばやさが 少し さがった！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_TARGET>の みりょくが 少し さがった！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_TARGET>の ブレス耐性が 少し さがった！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_TARGET>の 呪文耐性が 少し さがった！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_TARGET>の 呪文の威力が 少し さがった！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_TARGET>の 呪文の回復力が 少し さがった！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_TARGET>の しゅび力が 少し さがった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_TARGET>の こうげき力が 少し へった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_TARGET>の こうげき力が 少し さがった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,""
