Key, SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_LOG_REACTION><%sB_TARGET>には きかなかった！"
