Key,SourceString
ODDMESSAGE_NO_SLIDE_KOUGEKI,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび こうげき力アップの効果！"
ODDMESSAGE_NO_SLIDE_SYUBI,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび しゅび力アップの効果！"
ODDMESSAGE_NO_SLIDE_KOUDOUJIKAN,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび すばやさアップの効果！"
ODDMESSAGE_NO_SLIDE_MIRYOKU,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび みりょくアップの効果！"
ODDMESSAGE_NO_SLIDE_BREATH,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび ブレス耐性アップの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび 呪文耐性アップの効果！"
ODDMESSAGE_NO_SLIDE_MAGIC_DAMAGE,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび 呪文の威力アップの効果！"
ODDMESSAGE_NO_SLIDE_HEAL,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび 呪文の回復量増加の効果！"
ODDMESSAGE_NO_SLIDE_SYUBI2,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび しゅび力アップの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PLUS,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび こうげき力プラスの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_BTR,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび こうげき力アップの効果！"
ODDMESSAGE_NO_SLIDE_KOUGEKI_PIORA,"<%sB_LOG_ABILITY_UP><%sB_TARGET>に ふたたび バイシオンとピオラの効果が発動！"
