Key,SourceString
SYSTXT_LOCATION_STAGE_Dwf_d1000,"アグラニ"
SYSTXT_LOCATION_STAGE_Dwf_d1004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Dwf_d1200,"ラニアッカ断層帯"
SYSTXT_LOCATION_STAGE_Dwf_d1210,"ザグバン Hill"
SYSTXT_LOCATION_STAGE_Dwf_d1211,"ザアグ Cave門"
SYSTXT_LOCATION_STAGE_Dwf_d1212,"ザグビナ Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d1600,"アクロニア鉱 Mountain"
SYSTXT_LOCATION_STAGE_Dwf_d1601,"戒めの地"
SYSTXT_LOCATION_STAGE_Dwf_d1602,"Delcroix Laboratory"
SYSTXT_LOCATION_STAGE_Dwf_d1610,"ラニ大 Cavern"
SYSTXT_LOCATION_STAGE_Dwf_d1611,"魔獣のナワ張り"
SYSTXT_LOCATION_STAGE_Dwf_d2000,"岳都ガタラ"
SYSTXT_LOCATION_STAGE_Dwf_d2001,"岳都ガタラ Station"
SYSTXT_LOCATION_STAGE_Dwf_d2002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Dwf_d2004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Dwf_d2200,"モガリム Highway"
SYSTXT_LOCATION_STAGE_Dwf_d2201,"モガレ修道院"
SYSTXT_LOCATION_STAGE_Dwf_d2210,"ガタラ原野"
SYSTXT_LOCATION_STAGE_Dwf_d2220,"Chaldea Mountain Pass"
SYSTXT_LOCATION_STAGE_Dwf_d2230,"サーマリ Plateau"
SYSTXT_LOCATION_STAGE_Dwf_d2240,"エゼソル Ravine Valley"
SYSTXT_LOCATION_STAGE_Dwf_d2250,"ダラズ Mine"
SYSTXT_LOCATION_STAGE_Dwf_d2251,"防砂ダム展望台"
SYSTXT_LOCATION_STAGE_Dwf_d2252,"流砂の Ruins・ガレキ Realm"
SYSTXT_LOCATION_STAGE_Dwf_d2600,"ウルベア Underground  Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d2601,"亡都の Underground 堂"
SYSTXT_LOCATION_STAGE_Dwf_d2602,"亡都の広間"
SYSTXT_LOCATION_STAGE_Dwf_d2603,"亡都の霊堂"
SYSTXT_LOCATION_STAGE_Dwf_d2604,"亡都の Underground 堂"
SYSTXT_LOCATION_STAGE_Dwf_d2610,"Chaldea Cavern"
SYSTXT_LOCATION_STAGE_Dwf_d2620,"モガレ Cave"
SYSTXT_LOCATION_STAGE_Dwf_d2621,"モガレの広間"
SYSTXT_LOCATION_STAGE_Dwf_d2630,"グルグ Underground 道"
SYSTXT_LOCATION_STAGE_Dwf_d2631,"Demonの棲みか"
SYSTXT_LOCATION_STAGE_Dwf_d2640,"ダラリア砂岩 Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d2641,"崩れゆく虚 Room"
SYSTXT_LOCATION_STAGE_Dwf_d2650,"Chaldea Mountain Pass の横穴"
SYSTXT_LOCATION_STAGE_Dwf_d2651,"Chaldea Mountain Pass Group's Hideout"
SYSTXT_LOCATION_STAGE_Dwf_d3000,"Dolworm Kingdom"
SYSTXT_LOCATION_STAGE_Dwf_d3002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Dwf_d3004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Dwf_d3005,"Inside The Well"
SYSTXT_LOCATION_STAGE_Dwf_d3010,"Dolworm Crystal Palace"
SYSTXT_LOCATION_STAGE_Dwf_d3011,"Dolworm Crystal Palace Upper"
SYSTXT_LOCATION_STAGE_Dwf_d3012,"Dolworm Kingdom Station"
SYSTXT_LOCATION_STAGE_Dwf_d3200,"ゴブル Desert East"
SYSTXT_LOCATION_STAGE_Dwf_d3201,"流砂の隠れ家"
SYSTXT_LOCATION_STAGE_Dwf_d3202,"熱砂 Cave"
SYSTXT_LOCATION_STAGE_Dwf_d3210,"ゴブル Desert West"
SYSTXT_LOCATION_STAGE_Dwf_d3211,"王者の座"
SYSTXT_LOCATION_STAGE_Dwf_d3220,"ボロヌス溶岩流"
SYSTXT_LOCATION_STAGE_Dwf_d3221,"ヘドロの沼地"
SYSTXT_LOCATION_STAGE_Dwf_d3230,"デマトード高地"
SYSTXT_LOCATION_STAGE_Dwf_d3231,"魂のありか"
SYSTXT_LOCATION_STAGE_Dwf_d3600,"カルサドラ火 Mountain"
SYSTXT_LOCATION_STAGE_Dwf_d3601,"カルサドラ溶岩 Cave"
SYSTXT_LOCATION_STAGE_Dwf_d3602,"カルサドラ大空 Cave"
SYSTXT_LOCATION_STAGE_Dwf_d3603,"カルサドラの風穴"
SYSTXT_LOCATION_STAGE_Dwf_d3604,"？？？？"
SYSTXT_LOCATION_STAGE_Dwf_d3610,"ボロヌスの穴"
SYSTXT_LOCATION_STAGE_Dwf_d3611,"海底のPrison"
SYSTXT_LOCATION_STAGE_Dwf_d3612,"海底のPrison"
SYSTXT_LOCATION_STAGE_Dwf_d3620,"砂岩 Cave"
SYSTXT_LOCATION_STAGE_Dwf_d3621,"砂だまり Realm"
SYSTXT_LOCATION_STAGE_Dwf_d3630,"最果ての Underground  Ruins"
SYSTXT_LOCATION_STAGE_Dwf_d3631,"Forgotten King Realm"
SYSTXT_LOCATION_STAGE_Elf_e1000,"ツスクル Village"
SYSTXT_LOCATION_STAGE_Elf_e1004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Elf_e1200,"ツスクル平野"
SYSTXT_LOCATION_STAGE_Elf_e1600,"久遠の森"
SYSTXT_LOCATION_STAGE_Elf_e1601,"世界樹 Hill"
SYSTXT_LOCATION_STAGE_Elf_e1602,"森の Well"
SYSTXT_LOCATION_STAGE_Elf_e1603,"世界樹の頂"
SYSTXT_LOCATION_STAGE_Elf_e1610,"Mysterious Underground Labyrinth"
SYSTXT_LOCATION_STAGE_Elf_e1611,"神代 Realm"
SYSTXT_LOCATION_STAGE_Elf_e2000,"風 Azlan"
SYSTXT_LOCATION_STAGE_Elf_e2001,"Azlan Station"
SYSTXT_LOCATION_STAGE_Elf_e2002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Elf_e2004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Elf_e2005,"チヒロ (タバネ姉) 's Room"
SYSTXT_LOCATION_STAGE_Elf_e2200,"キリカ Meadow"
SYSTXT_LOCATION_STAGE_Elf_e2201,"怪鳥の Nest"
SYSTXT_LOCATION_STAGE_Elf_e2210,"Azlan Region"
SYSTXT_LOCATION_STAGE_Elf_e2220,"イナミノ Highway"
SYSTXT_LOCATION_STAGE_Elf_e2230,"スイゼン湿原"
SYSTXT_LOCATION_STAGE_Elf_e2231,"スイゼン湿原"
SYSTXT_LOCATION_STAGE_Elf_e2240,"風泣き岬"
SYSTXT_LOCATION_STAGE_Elf_e2250,"モリナラ大森林"
SYSTXT_LOCATION_STAGE_Elf_e2251,"モリナラ Square"
SYSTXT_LOCATION_STAGE_Elf_e2252,"森外れ Cave"
SYSTXT_LOCATION_STAGE_Elf_e2253,"緑の聖域"
SYSTXT_LOCATION_STAGE_Elf_e2254,"神話の Ruins"
SYSTXT_LOCATION_STAGE_Elf_e2600,"スイ Tower"
SYSTXT_LOCATION_STAGE_Elf_e2601,"天ツ風 Realm"
SYSTXT_LOCATION_STAGE_Elf_e2602,"天ツ風 Realm"
SYSTXT_LOCATION_STAGE_Elf_e2610,"モリナラ Underground  Cave"
SYSTXT_LOCATION_STAGE_Elf_e2611,"モリナラ Underground  Cave・深淵"
SYSTXT_LOCATION_STAGE_Elf_e2620,"スイのやしろ"
SYSTXT_LOCATION_STAGE_Elf_e2621,"スイのやしろ"
SYSTXT_LOCATION_STAGE_Elf_e3000,"王都Kamiharumui South"
SYSTXT_LOCATION_STAGE_Elf_e3001,"王都Kamiharumui Station"
SYSTXT_LOCATION_STAGE_Elf_e3002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Elf_e3004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Elf_e3005,"Inside The Well"
SYSTXT_LOCATION_STAGE_Elf_e3006,"王都Kamiharumui North"
SYSTXT_LOCATION_STAGE_Elf_e3007,"陽衆の隠れ家"
SYSTXT_LOCATION_STAGE_Elf_e3010,"Kamiharumui Castle"
SYSTXT_LOCATION_STAGE_Elf_e3200,"KamiharumuiSouth"
SYSTXT_LOCATION_STAGE_Elf_e3201,"ナギリ Cave"
SYSTXT_LOCATION_STAGE_Elf_e3210,"KamiharumuiNorth"
SYSTXT_LOCATION_STAGE_Elf_e3211,"イムイ Underground 空 Cave"
SYSTXT_LOCATION_STAGE_Elf_e3212,"カムイラの穴"
SYSTXT_LOCATION_STAGE_Elf_e3220,"Forest of Dreams"
SYSTXT_LOCATION_STAGE_Elf_e3221,"オウマ Research Institute"
SYSTXT_LOCATION_STAGE_Elf_e3230,"落陽の Meadow"
SYSTXT_LOCATION_STAGE_Elf_e3240,"呪われた大地"
SYSTXT_LOCATION_STAGE_Elf_e3241,"暗黒大樹のふもと"
SYSTXT_LOCATION_STAGE_Elf_e3250,"テテリ Valley"
SYSTXT_LOCATION_STAGE_Elf_e3600,"捨てられた Castle"
SYSTXT_LOCATION_STAGE_Elf_e3601,"エルトナの聖地"
SYSTXT_LOCATION_STAGE_Elf_e3602,"エルトナの聖地"
SYSTXT_LOCATION_STAGE_Gen_g1000,"Port Town Lendor North"
SYSTXT_LOCATION_STAGE_Gen_g1010,"Port Town Lendor South"
SYSTXT_LOCATION_STAGE_Gen_g1020,"Port Town Lendor Station"
SYSTXT_LOCATION_STAGE_Gen_g1021,"シガールMayor's Office"
SYSTXT_LOCATION_STAGE_Gen_g1022,"Port Town Lendor"
SYSTXT_LOCATION_STAGE_Gen_g1030,"Entertainment Island Luckland"
SYSTXT_LOCATION_STAGE_Gen_g1031,"Entertainment Island Luckland Station"
SYSTXT_LOCATION_STAGE_Gen_g1040,"メダル王の Castle"
SYSTXT_LOCATION_STAGE_Gen_g1073,"大地の箱舟"
SYSTXT_LOCATION_STAGE_Gen_g1600,"冥王の心臓"
SYSTXT_LOCATION_STAGE_Gen_g1601,"Netherlord's Throne"
SYSTXT_LOCATION_STAGE_Gen_g1602,"強戦士の聖域・闘場"
SYSTXT_LOCATION_STAGE_Gen_g1603,"冥王の心臓"
SYSTXT_LOCATION_STAGE_Gen_g2000,"グランドタイタス号"
SYSTXT_LOCATION_STAGE_Gen_g2001,"グランドタイタス号"
SYSTXT_LOCATION_STAGE_Gen_g2003,"グランドタイタス号"
SYSTXT_LOCATION_STAGE_Gen_g2600,"強戦士の聖域・闘場"
SYSTXT_LOCATION_STAGE_Gen_g2610,"？？？？"
SYSTXT_LOCATION_STAGE_Gen_g2620,"強戦士の聖域・前 Room"
SYSTXT_LOCATION_STAGE_Gen_g2621,"強戦士の聖域・闘場"
SYSTXT_LOCATION_STAGE_Gen_g2622,"強戦士の聖域・闘場"
SYSTXT_LOCATION_STAGE_Gen_g2623,"詩人の舞台・控 Room"
SYSTXT_LOCATION_STAGE_Gen_g3050,"恵みの園"
SYSTXT_LOCATION_STAGE_Gen_g3060,"Inside The Well"
SYSTXT_LOCATION_STAGE_Gen_g3061,"博士の実験空間"
SYSTXT_LOCATION_STAGE_Gen_g3070,"額縁Monster"
SYSTXT_LOCATION_STAGE_Gen_g3071,"終着の星域"
SYSTXT_LOCATION_STAGE_Gen_g3080,"四重の封空"
SYSTXT_LOCATION_STAGE_Gen_g3090,"神鏡 Realm"
SYSTXT_LOCATION_STAGE_Gen_g3100,"Glen  Castle"
SYSTXT_LOCATION_STAGE_Gen_g3101,"大会控え Room"
SYSTXT_LOCATION_STAGE_Gen_g3110,"Kamiharumui Castle"
SYSTXT_LOCATION_STAGE_Gen_g3120,"Glittering Giant Windmill Tower"
SYSTXT_LOCATION_STAGE_Gen_g3600,"竜鱗のまゆ"
SYSTXT_LOCATION_STAGE_Gen_g3602,"Shrine の祭祀場・氷"
SYSTXT_LOCATION_STAGE_Gen_g3603,"Shrine の祭祀場・水"
SYSTXT_LOCATION_STAGE_Gen_g3604,"海冥の彼岸"
SYSTXT_LOCATION_STAGE_Gen_g3605,"Shrine の祭祀場・炎"
SYSTXT_LOCATION_STAGE_Gen_g3606,"Shrine の祭祀場・闇"
SYSTXT_LOCATION_STAGE_Gen_g3607,"Shrine の祭祀場・嵐"
SYSTXT_LOCATION_STAGE_Gen_g4000,"クイーンディオーレ号"
SYSTXT_LOCATION_STAGE_Gen_g4010,"ゲルト海峡"
SYSTXT_LOCATION_STAGE_Gen_g4020,"荒廃したレンダーヒルズ"
SYSTXT_LOCATION_STAGE_Gen_g4021,"欲望の大浴場"
SYSTXT_LOCATION_STAGE_Gen_g4030,"滝の裏 Cave"
SYSTXT_LOCATION_STAGE_Gen_g4040,"灯Group's Hideout"
SYSTXT_LOCATION_STAGE_Gen_g4050,"創生の樹の根元"
SYSTXT_LOCATION_STAGE_Gen_g4051,"創生の樹の頂"
SYSTXT_LOCATION_STAGE_Gen_g4060,"風 Azlan"
SYSTXT_LOCATION_STAGE_Gen_g4070,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Gen_g4080,"職人の聖地"
SYSTXT_LOCATION_STAGE_Gen_g4090,"プクレット Village"
SYSTXT_LOCATION_STAGE_Gen_g4200,"霊獣の古戦場"
SYSTXT_LOCATION_STAGE_Gen_g4210,"閃Light Temple"
SYSTXT_LOCATION_STAGE_Gen_g4600,"千夜嵐の目"
SYSTXT_LOCATION_STAGE_Gen_g4601,"魑魅魍魎 Cave"
SYSTXT_LOCATION_STAGE_Gen_g4610,"Link's Workshop"
SYSTXT_LOCATION_STAGE_Gen_g4620,"摩天の聖廟"
SYSTXT_LOCATION_STAGE_Gen_g4621,"摩天の聖廟"
SYSTXT_LOCATION_STAGE_Gen_g4622,"聖護の結界・紫"
SYSTXT_LOCATION_STAGE_Gen_g4623,"聖護の結界・紅"
SYSTXT_LOCATION_STAGE_Gen_g4624,"聖護の結界・翠"
SYSTXT_LOCATION_STAGE_Gen_g4900,"Lionsgate"
SYSTXT_LOCATION_STAGE_Gen_g4910,"ツスクル Village"
SYSTXT_LOCATION_STAGE_Gen_g4920,"チョッピ Wasteland"
SYSTXT_LOCATION_STAGE_Gen_g4930,"Julet"
SYSTXT_LOCATION_STAGE_Gen_g5200,"潜水艦脱出"
SYSTXT_LOCATION_STAGE_Gen_g5600,"魔界亜空間"
SYSTXT_LOCATION_STAGE_Gen_g9000,"星の大樹 Square"
SYSTXT_LOCATION_STAGE_Gen_g9010,"ショコラフォンテヌ Castle"
SYSTXT_LOCATION_STAGE_Gen_g9020,"妖精の国"
SYSTXT_LOCATION_STAGE_Gen_g9021,"雪の女King Cave"
SYSTXT_LOCATION_STAGE_Gen_g9030,"七夕の里"
SYSTXT_LOCATION_STAGE_Gen_g9040,"キュララナビーチ"
SYSTXT_LOCATION_STAGE_Gen_g9050,"スウィ～ツランド"
SYSTXT_LOCATION_STAGE_Gen_g9051,"ガラシ Tower"
SYSTXT_LOCATION_STAGE_Gen_g9060,"Sweets Zone控え Room"
SYSTXT_LOCATION_STAGE_Gen_g9061,"Sweets Zone"
SYSTXT_LOCATION_STAGE_Gen_g9062,"ショコラフォンテヌ Castle"
SYSTXT_LOCATION_STAGE_Gen_g9070,"Sweets Zone控え Room"
SYSTXT_LOCATION_STAGE_Gen_g9071,"Sweets Zone"
SYSTXT_LOCATION_STAGE_Gen_g9072,"ホワイトショコラ Castle"
SYSTXT_LOCATION_STAGE_Gen_g9080,"キュララナビーチ"
SYSTXT_LOCATION_STAGE_Gen_g9081,"キュララナビーチ"
SYSTXT_LOCATION_STAGE_Gen_g9090,"スウィ～ツランド"
SYSTXT_LOCATION_STAGE_Gen_g9100,"聖夜のエントランス"
SYSTXT_LOCATION_STAGE_Gen_g9101,"聖夜の Great Hall"
SYSTXT_LOCATION_STAGE_Gen_g9110,"ブルーマリッジ島"
SYSTXT_LOCATION_STAGE_Gen_g9120,"キュララナビーチ"
SYSTXT_LOCATION_STAGE_Gen_g9130,"ムーンキャロットKingdom"
SYSTXT_LOCATION_STAGE_Gen_g9131,"クレーター地帯"
SYSTXT_LOCATION_STAGE_Gen_g9161,"キュララナビーチ"
SYSTXT_LOCATION_STAGE_Gen_g9170,"スウィ～ツランド"
SYSTXT_LOCATION_STAGE_Gen_g9171,"アシッドテンプル"
SYSTXT_LOCATION_STAGE_Gen_g9180,"迎春 Realm"
SYSTXT_LOCATION_STAGE_Gen_g9190,"？？？？"
SYSTXT_LOCATION_STAGE_Gen_g9191,"星の大樹 Square"
SYSTXT_LOCATION_STAGE_Gen_g9192,"星の大樹 Square"
SYSTXT_LOCATION_STAGE_Gen_g9193,"星の大樹 Square"
SYSTXT_LOCATION_STAGE_Gen_g9200,"ショコラフォンテヌ Castle"
SYSTXT_LOCATION_STAGE_Gen_g9201,"Sweets Zone"
SYSTXT_LOCATION_STAGE_Gen_g9210,"ホワイトショコラ Castle"
SYSTXT_LOCATION_STAGE_Gen_g9211,"Sweets Zone"
SYSTXT_LOCATION_STAGE_Gen_g9220,"カーニバル Square"
SYSTXT_LOCATION_STAGE_Gen_g9230,"七夕の里　捨てられた Castle"
SYSTXT_LOCATION_STAGE_Gen_g9500,"紅玉館"
SYSTXT_LOCATION_STAGE_Gen_g9510,"Moon"
SYSTXT_LOCATION_STAGE_Gen_g9511,"Moon City"
SYSTXT_LOCATION_STAGE_Gen_g9512,"Moon ・ Royal Palace"
SYSTXT_LOCATION_STAGE_Gen_g9513,"宇宙船 Interior"
SYSTXT_LOCATION_STAGE_Gen_g9520,"妖精図書館"
SYSTXT_LOCATION_STAGE_Gen_g9530,"Jyra Jungle"
SYSTXT_LOCATION_STAGE_Gen_g9531,"夜の Temple"
SYSTXT_LOCATION_STAGE_Gen_g9532,"夜の Temple"
SYSTXT_LOCATION_STAGE_Gen_g9533,"夜の Temple"
SYSTXT_LOCATION_STAGE_Gen_g9540,"レモンハルト劇場"
SYSTXT_LOCATION_STAGE_Gen_g9541,"黄昏の詩人の舞台"
SYSTXT_LOCATION_STAGE_Gen_g9550,"ショコラフォンテヌ Castle"
SYSTXT_LOCATION_STAGE_Gen_g9560,"PuffPuff Paradise"
SYSTXT_LOCATION_STAGE_Hsg_h0100000,"Orphea住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100001,"Orphea住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100002,"Orphea住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100004,"Orphea住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100006,"Glen 住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100007,"Glen 住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100008,"Glen 住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100012,"Azlan住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100013,"Azlan住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100014,"Azlan住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100018,"Julet住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100019,"Julet住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100020,"Julet住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100024,"ガタラ住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100025,"ガタラ住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100026,"ガタラ住宅村"
SYSTXT_LOCATION_STAGE_Hsg_h0100030,"レンダーヒルズ"
SYSTXT_LOCATION_STAGE_Hsg_h0100040,"マイタウン Mountain Range Village"
SYSTXT_LOCATION_STAGE_Hsg_h0100041,"マイタウン 海辺 Village"
SYSTXT_LOCATION_STAGE_Rack Island_l2000,"コロシアム"
SYSTXT_LOCATION_STAGE_Rack Island_l2001,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Rack Island_l2002,"闘士 Realm"
SYSTXT_LOCATION_STAGE_Rack Island_l2003,"闘士 Realm"
SYSTXT_LOCATION_STAGE_Rack Island_l2004,"闘士 Realm"
SYSTXT_LOCATION_STAGE_Rack Island_l3000,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3001,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3002,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3003,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3010,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3011,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3020,"Casinoフロア"
SYSTXT_LOCATION_STAGE_Rack Island_l3030,"幻の海トラシュカ"
SYSTXT_LOCATION_STAGE_Rack Island_l3040,"バトエンコロシアム"
SYSTXT_LOCATION_STAGE_Ogr_o1000,"ランガーオ村"
SYSTXT_LOCATION_STAGE_Ogr_o1001,"村の武闘場"
SYSTXT_LOCATION_STAGE_Ogr_o1002,"ランガーオ村"
SYSTXT_LOCATION_STAGE_Ogr_o1010,"Lionsgate"
SYSTXT_LOCATION_STAGE_Ogr_o1200,"Rangao Mountains"
SYSTXT_LOCATION_STAGE_Ogr_o1201,"雪原の廃墟"
SYSTXT_LOCATION_STAGE_Ogr_o1210,"ラギ雪原"
SYSTXT_LOCATION_STAGE_Ogr_o1600,"Ronda Ice Cavern"
SYSTXT_LOCATION_STAGE_Ogr_o1601,"Ronda Cape"
SYSTXT_LOCATION_STAGE_Ogr_o1602,"ガラガの穴"
SYSTXT_LOCATION_STAGE_Ogr_o1610,"ナグア Cave"
SYSTXT_LOCATION_STAGE_Ogr_o1611,"？？？？"
SYSTXT_LOCATION_STAGE_Ogr_o1620,"ダズの Cavern"
SYSTXT_LOCATION_STAGE_Ogr_o1621,"ダズの Cavern ・大空 Cave"
SYSTXT_LOCATION_STAGE_Ogr_o2000,"Glen  Castle Downtown"
SYSTXT_LOCATION_STAGE_Ogr_o2001,"Glen  Castle Downtown Station"
SYSTXT_LOCATION_STAGE_Ogr_o2002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Ogr_o2004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Ogr_o2010,"Glen  Castle"
SYSTXT_LOCATION_STAGE_Ogr_o2012,"選王の儀礼場"
SYSTXT_LOCATION_STAGE_Ogr_o2020,"バブトル集落"
SYSTXT_LOCATION_STAGE_Ogr_o2030,"デズリン 's House"
SYSTXT_LOCATION_STAGE_Ogr_o2031,"黄昏の園"
SYSTXT_LOCATION_STAGE_Ogr_o2200,"Glen Region東"
SYSTXT_LOCATION_STAGE_Ogr_o2201,"野獣の Nest"
SYSTXT_LOCATION_STAGE_Ogr_o2210,"Glen West"
SYSTXT_LOCATION_STAGE_Ogr_o2211,"グレゴール Cave"
SYSTXT_LOCATION_STAGE_Ogr_o2220,"ゲルト海峡"
SYSTXT_LOCATION_STAGE_Ogr_o2221,"？？？？"
SYSTXT_LOCATION_STAGE_Ogr_o2222,"ガミルゴの盾島"
SYSTXT_LOCATION_STAGE_Ogr_o2230,"Landon Foot"
SYSTXT_LOCATION_STAGE_Ogr_o2231,"忘れられた書庫"
SYSTXT_LOCATION_STAGE_Ogr_o2240,"トリットアーチズ"
SYSTXT_LOCATION_STAGE_Ogr_o2250,"オルセコ高地"
SYSTXT_LOCATION_STAGE_Ogr_o2251,"漆黒 Realm"
SYSTXT_LOCATION_STAGE_Ogr_o2252,"竜 Nest"
SYSTXT_LOCATION_STAGE_Ogr_o2260,"Zama Pass"
SYSTXT_LOCATION_STAGE_Ogr_o2261,"？？？？"
SYSTXT_LOCATION_STAGE_Ogr_o2600,"Landon Mountain Range"
SYSTXT_LOCATION_STAGE_Ogr_o2601,"雲上 Lake"
SYSTXT_LOCATION_STAGE_Ogr_o2602,"Landon Mountain Range Summit 付近"
SYSTXT_LOCATION_STAGE_Ogr_o2605,"雲上 Lake"
SYSTXT_LOCATION_STAGE_Ogr_o2606,"Evil God's Palace"
SYSTXT_LOCATION_STAGE_Ogr_o2607,"雲上 Lake"
SYSTXT_LOCATION_STAGE_Ogr_o2610,"ベコン Valley"
SYSTXT_LOCATION_STAGE_Ogr_o2611,"妖剣士の塚"
SYSTXT_LOCATION_STAGE_Ogr_o2612,"？？？？"
SYSTXT_LOCATION_STAGE_Ogr_o2640,"ゴズ Valley"
SYSTXT_LOCATION_STAGE_Ogr_o3000,"Gartlant  Castle Downtown"
SYSTXT_LOCATION_STAGE_Ogr_o3001,"Gartlant  Castle Station"
SYSTXT_LOCATION_STAGE_Ogr_o3002,"Monster Tavern"
SYSTXT_LOCATION_STAGE_Ogr_o3004,"Inside The Well"
SYSTXT_LOCATION_STAGE_Ogr_o3005,"Inside The Well"
SYSTXT_LOCATION_STAGE_Ogr_o3006,"バットエンド司令部"
SYSTXT_LOCATION_STAGE_Ogr_o3010,"Gartlant  Castle"
