Key,SourceString
SYSTXT_BATTLEROAD_00010,"バトルロード受付"
SYSTXT_BATTLEROAD_00020,"バトルエントリー"
SYSTXT_BATTLEROAD_00030,"パーティの準備"
SYSTXT_BATTLEROAD_00040,"説明を聞く"
SYSTXT_BATTLEROAD_00050,"登録された<lf>パーティで<lf>バトルへ参加"
SYSTXT_BATTLEROAD_00060,"パーティの登録や<lf>装備変更などの<lf>準備をします"
SYSTXT_BATTLEROAD_00070,"バトルロードの<lf>システムについて<lf>説明します"
SYSTXT_BATTLEROAD_00080,"現在のランク："
SYSTXT_BATTLEROAD_00090,"ランク"
SYSTXT_BATTLEROAD_00100,"現在のBP："
SYSTXT_BATTLEROAD_00110,"次のランクまで："
SYSTXT_BATTLEROAD_00120,"S"
SYSTXT_BATTLEROAD_00130,"A"
SYSTXT_BATTLEROAD_00140,"B"
SYSTXT_BATTLEROAD_00150,"C"
SYSTXT_BATTLEROAD_00160,"D"
SYSTXT_BATTLEROAD_00170,"E"
SYSTXT_BATTLEROAD_00180,"F"
SYSTXT_BATTLEROAD_00190,"G"
SYSTXT_BATTLEROAD_01010,"バトルロード説明"
SYSTXT_BATTLEROAD_01020,"バトルについて"
SYSTXT_BATTLEROAD_01030,"パーティについて"
SYSTXT_BATTLEROAD_01040,"バッジについて"
SYSTXT_BATTLEROAD_02010,"ランク選択"
SYSTXT_BATTLEROAD_02020,"Sランク"
SYSTXT_BATTLEROAD_02030,"Aランク"
SYSTXT_BATTLEROAD_02040,"Bランク"
SYSTXT_BATTLEROAD_02050,"Cランク"
SYSTXT_BATTLEROAD_02060,"Dランク"
SYSTXT_BATTLEROAD_02070,"Eランク"
SYSTXT_BATTLEROAD_02080,"Fランク"
SYSTXT_BATTLEROAD_02090,"Gランク"
SYSTXT_BATTLEROAD_03010,"の対戦パーティ　一覧"
SYSTXT_BATTLEROAD_03020,"BP："
SYSTXT_BATTLEROAD_03030,"コイン："
SYSTXT_BATTLEROAD_03040,"次のランク："
SYSTXT_BATTLEROAD_04010,"バトル結果"
SYSTXT_BATTLEROAD_04020,"バトルロードポイント"
SYSTXT_BATTLEROAD_04030,"バトルロードコイン"
SYSTXT_BATTLEROAD_04040,"次のランクアップ試験まで　あと"
SYSTXT_BATTLEROAD_04050,"ポイント"
SYSTXT_BATTLEROAD_04060,"への試験が受けられるようになった！"
SYSTXT_BATTLEROAD_05010,"パーティを作成"
SYSTXT_BATTLEROAD_05020,"バトルに参加する<lf>パーティを<lf>登録します"
SYSTXT_BATTLEROAD_05030,"手に入れた<lf>バッジの装備や<lf>閲覧ができます"
SYSTXT_BATTLEROAD_05040,"さくせん変更や<lf>使用特技の<lf>設定ができます"
SYSTXT_BATTLEROAD_05050,"モンスターの<lf>つよさを<lf>確認します"
SYSTXT_BATTLEROAD_06010,"（なかまモンスターを選択）"
SYSTXT_BATTLEROAD_06020,"[おとも中]"
SYSTXT_BATTLEROAD_07010,"さくせんがえ"
SYSTXT_BATTLEROAD_08010,"ランク制限"
SYSTXT_BATTLEROAD_09010,"バッジ引き取り"
SYSTXT_BATTLEROAD_10010,"バッジ交換"
