Key,SourceString
SYSTXT_CAREER_STORY_ATH1_001,"ある日　<pc>が　目を覚ますと\n{Brother_Name}が　錬金術に失敗して\n大事なハツラツ豆を灰にしてしまったと\n騒ぎになっていた。\n家に上がってきた　村人に　{Zokugara}の代わりに\nAbba に謝ってこい！　と言われた。\nAbba's House は　橋向こうの高台にあるらしい。"
SYSTXT_CAREER_STORY_ATH1_002,"Abba's House に　謝りにいくと　Abbaは\n部屋に閉じこもっており　応対したのは\nAbba's grandson Shini だった。\nShini は　灰になったハツラツ豆の代わりに\nフカフカのもみガラと　干しどくけし草を\n持ってきてほしい！　と頼んできた。\nAbbaは　最近　ふさぎ込んでいるらしい。"
SYSTXT_CAREER_STORY_ATH1_003,"Abba's grandson　Shini に頼まれて\nフカフカのもみガラと　干しどくけし草を\n探してくることになった。\nフカフカのもみガラは　ネイから　もらい\n干しどくけし草は　ノーラから　もらった。\nふたつとも　 obtainedので\nAbba's House に戻り　Shini 's room に届けよう。"
SYSTXT_CAREER_STORY_ATH1_004,"Shini に頼まれて　手に入れてきた\nフカフカのもみガラと　干しどくけし草を\n渡すと　Shini は　アッという間に\n安眠まくらを　完成させてしまった。\nAbbaが　ぐっすり眠れるようになれば\n気持ちも晴れると　思ったらしい。\nまくらを届けに　Abba's room へ向かおう。"
SYSTXT_CAREER_STORY_ATH1_005,"部屋にこもっていた　Abbaは　ハツラツ豆が\n灰になったことに　ショックを受けつつも\n今は　それどころではない！　と言って\n<pc>に　{Brother_Name}を\n呼んでくるように　言い渡した。\nふたりが　そろっているときに\n話したいことが　あるらしい。"
SYSTXT_CAREER_STORY_ATH1_006,"部屋にこもっていた　Abbaは　ハツラツ豆が\n灰になったことに　ショックを受けつつも\n今は　それどころではない！　と言って\n<pc>に　{Brother_Name}を\n呼んでくるように　言い渡した。\nふたりが　そろっているときに\n話したいことが　あるらしい。"
SYSTXT_CAREER_STORY_ATH1_007,"村の北東にある　いしずえの森に向かい\n{Brother_Name}を見つけた　<pc>。　\n{Brother_Name}は　Abbaが呼んでいると知ると\nついに　自分の錬金術が必要とされるときが\n来たのだと　はりきりだした。\nエテーネの村に戻って　{Brother_Name}を\n連れてきたことを　Abbaに報告しよう。"
SYSTXT_CAREER_STORY_ATH1_008,"{Brother_Name}を連れて　Abba's House に戻ると\nAbbaは　村人を集め　間もなく起こるという\n大いなる災厄の　お告げの内容を語った。\nエテーネの民が　死に絶えるという災厄を\n回避するには　育みの大地より　はるか北の\n清き水の洞くつに咲く　テンスの花が\n必要らしい。Shini と　{Brother_Name}と共に\nテンスの花を　採りにいくことになった。\n"
SYSTXT_CAREER_STORY_ATH1_009,"{Brother_Name}を連れて　Abba's House に戻ると\nAbbaは　村人を集め　間もなく起こるという\n大いなる災厄の　お告げの内容を語った。\nエテーネの民が　死に絶えるという災厄を\n回避するには　育みの大地より　はるか北の\n清き水の洞くつに咲く　テンスの花が\n必要らしい。Shini と　{Brother_Name}と共に\nテンスの花を　採りにいくことになった。\n"
SYSTXT_CAREER_STORY_ATH1_010,"{Brother_Name}を連れて　Abba's House に戻ると\nAbbaは　村人を集め　間もなく起こるという\n大いなる災厄の　お告げの内容を語った。\nエテーネの民が　死に絶えるという災厄を\n回避するには　育みの大地より　はるか北の\n清き水の洞くつに咲く　テンスの花が\n必要らしい。Shini と　{Brother_Name}と共に\nテンスの花を　採りにいくことになった。\n"
SYSTXT_CAREER_STORY_ATH1_011,"テンスの花を採るため　清き水の洞くつに\n向かった　<pc>たちの前に\n魔導鬼ベドラーと名乗る魔物が　現れた。\nベドラーは　時を超えるチカラを持つ\nエテーネの民に　テンスの花を渡すわけには\nいかない！　と襲いかかってきた。\n<pc>は　ベドラーと戦ったが\n負けてしまった。"
SYSTXT_CAREER_STORY_ATH1_012,"魔導鬼ベドラーを倒した　<pc>。\nべドラーは　最後のチカラで　テンスの花を\nすべて　焼き払ってしまうが\n{Brother_Name}の活躍で　ただ一輪\n焼け残った花を　見つけることができた。\nエテーネの村に戻って　テンスの花を\nAbbaのもとへ届けよう。"
SYSTXT_CAREER_STORY_ATH1_013,"魔導鬼ベドラーを倒した　<pc>。\nべドラーは　最後のチカラで　テンスの花を\nすべて　焼き払ってしまうが\n{Brother_Name}の活躍で　ただ一輪\n焼け残った花を　見つけることができた。\n名もなき草原を進んでいたとき　村の方角に\nカミナリが落ち　火の手が上がった。\n一刻も早く　村まで戻ろう。"
SYSTXT_CAREER_STORY_ATH1_014,"テンスの花を手に入れて　村に戻ると\nそこは　魔物に襲われ　荒らされていた。\n<pc>は　冥王ネルゲルの手にかかり\n命を落としてしまう。\n<pc>の魂は　謎の神殿に導かれ\n不思議な声に　神の像の前にゆき\n生まれ変わる姿を選べ！　と言われた。"
SYSTXT_CAREER_STORY_WED1_002,"冥王ネルゲルによって　炎に焼かれ\n命を落とした　<pc>だったが\n謎の声に導かれて　レーンの村に住む\nウェディの若者として　生まれ変わった。\n<pc>は　結婚を控えた友人の\nアーシクに　花嫁に贈る貝がらを探すため\n村の北西にある慰霊の浜に　一緒に\n行ってほしい！　と頼まれた。"
SYSTXT_CAREER_STORY_WED1_003,"冥王ネルゲルによって　炎に焼かれ\n命を落とした　<pc>だったが\n謎の声に導かれて　レーンの村に住む\nウェディの若者として　生まれ変わった。\n<pc>は　結婚を控えた友人の\nアーシクに　花嫁に贈る貝がらを探すため\n村の北西にある慰霊の浜に　一緒に\n行ってほしい！　と頼まれた。"
SYSTXT_CAREER_STORY_WED1_004,"浜にある慰霊碑は　かつて　結婚を控えて\n命を落とした若者を　まつったものだという。\nしかし　供えもののキレイな貝がらを\nアーシクは　自分の物にして　去ってしまう。\n<pc>は　レーンの村の Village Chief に呼ばれて\n村へと戻った。"
SYSTXT_CAREER_STORY_WED1_005,"<pc>は　アーシクのシェルナーに\nなるため　友人のヒューザとともに\nセトリー Village Chief の出す試験を　受けた。\n村の北の洞くつにある　地底湖の水を汲んで\n太陽と月が　ひと巡りする前に　先に帰って\nきたほうが　シェルナーに　なれるようだ。\n<pc>は　セトリー Village Chief から\nガラスの小ビンを受け取った。"
SYSTXT_CAREER_STORY_WED1_006,"<pc>は　アーシクのシェルナーに\nなるため　友人のヒューザとともに\nセトリー Village Chief の出す試験を　受けた。\n村の北の洞くつにある　地底湖の水を汲んで\n太陽と月が　ひと巡りする前に　先に帰って\nきたほうが　シェルナーに　なれるようだ。\n<pc>は　セトリー Village Chief から\nガラスの小ビンを受け取った。"
SYSTXT_CAREER_STORY_WED1_007,"<pc>は　レーンの村の北にある\n洞くつに行き　その奥の地底湖の水を\nガラスの小ビンに　汲んだ。\n遅れてヒューザも現れ　地底湖の水を汲んで\n村へと　帰っていった。\nヒューザよりも早く　レーンの村に帰り\nセトリー Village Chief に　ガラスの小ビンを\n届けなくてはならない。"
SYSTXT_CAREER_STORY_WED1_008,"<pc>は　レーンの村の北にある\n洞くつに行き　その奥の地底湖の水を\nガラスの小ビンに　汲んだ。\nセトリー Village Chief に届けたが　そのとき\nすでに　太陽と月が　ひと巡りしてしまい\n地底湖の水は　にごってしまっていた。\nセトリー Village Chief から　もう一度　行ってこいと\n言われ　ガラスの小ビンを受け取った。"
SYSTXT_CAREER_STORY_WED1_009,"<pc>は　レーンの村の北にある\n洞くつに行き　その奥の地底湖の水を\nガラスの小ビンに　汲んだ。\nしかし　すでに　太陽と月が\nひと巡りしてしまい　地底湖の水が\nにごってしまったようだ。\nレーンの村の　セトリー Village Chief に\nいったん　報告しなければならない。"
SYSTXT_CAREER_STORY_WED1_010,"<pc>は　地底湖で汲んだ水を\nヒューザよりも早く　セトリー Village Chief に届けて\nシェルナーとなり　その証として\nルーラストーンを受け取った。アーシクから\n村を出て　道なりの小川沿いを北に進み\nレーナム緑野にある　祈りの宿まで行って\n花嫁のキールに　キレイな貝がらを\n届けてほしい！　と頼まれた。"
SYSTXT_CAREER_STORY_WED1_011,"<pc>は　地底湖で汲んだ水を\nヒューザよりも早く　セトリー Village Chief に届けて\nシェルナーとなり　その証として\nルーラストーンを受け取った。アーシクから\n村を出て　道なりの小川沿いを北に進み\nレーナム緑野にある　祈りの宿まで行って\n花嫁のキールに　キレイな貝がらを\n届けてほしい！　と頼まれた。"
SYSTXT_CAREER_STORY_WED1_012,"<pc>は　祈りの宿で\nアーシクの花嫁キールと会い　アーシクから\n預かっていた　キレイな貝がらを渡した。\nすると　そこに　黒い魔物が現れ\nキールを　さらっていってしまった。\n祈りの宿のリリーエ神官によれば\n魔物は　慰霊の浜に向かったらしい。"
