Key,SourceString
SYSTXT_CHARAMAKE_COLOR_001,"サンゴールド"
SYSTXT_CHARAMAKE_COLOR_002,"レモン"
SYSTXT_CHARAMAKE_COLOR_003,"カスタード"
SYSTXT_CHARAMAKE_COLOR_004,"イエロー"
SYSTXT_CHARAMAKE_COLOR_005,"ゴールド"
SYSTXT_CHARAMAKE_COLOR_006,"こがねいろ"
SYSTXT_CHARAMAKE_COLOR_007,"アンバー"
SYSTXT_CHARAMAKE_COLOR_008,"カナリヤ"
SYSTXT_CHARAMAKE_COLOR_009,"ミモザ"
SYSTXT_CHARAMAKE_COLOR_010,"まっちゃ"
SYSTXT_CHARAMAKE_COLOR_011,"オリーブ"
SYSTXT_CHARAMAKE_COLOR_012,"レタス"
SYSTXT_CHARAMAKE_COLOR_013,"マスカット"
SYSTXT_CHARAMAKE_COLOR_014,"ビリジアン"
SYSTXT_CHARAMAKE_COLOR_015,"ジャングル"
SYSTXT_CHARAMAKE_COLOR_016,"ふかみどり"
SYSTXT_CHARAMAKE_COLOR_017,"しらあい"
SYSTXT_CHARAMAKE_COLOR_018,"あおりんご"
SYSTXT_CHARAMAKE_COLOR_019,"ミント"
SYSTXT_CHARAMAKE_COLOR_020,"エメラルド"
SYSTXT_CHARAMAKE_COLOR_021,"フォレスト"
SYSTXT_CHARAMAKE_COLOR_022,"アクアマリン"
SYSTXT_CHARAMAKE_COLOR_023,"スカイブルー"
SYSTXT_CHARAMAKE_COLOR_024,"シーグリーン"
SYSTXT_CHARAMAKE_COLOR_025,"あさぎ"
SYSTXT_CHARAMAKE_COLOR_026,"アイスブルー"
SYSTXT_CHARAMAKE_COLOR_027,"グレーブルー"
SYSTXT_CHARAMAKE_COLOR_028,"ネイビー"
SYSTXT_CHARAMAKE_COLOR_029,"ダークブルー"
SYSTXT_CHARAMAKE_COLOR_030,"ミッドナイト"
SYSTXT_CHARAMAKE_COLOR_031,"ブルー"
SYSTXT_CHARAMAKE_COLOR_032,"ピュアブルー"
SYSTXT_CHARAMAKE_COLOR_033,"ミストグレー"
SYSTXT_CHARAMAKE_COLOR_034,"ラベンダー"
SYSTXT_CHARAMAKE_COLOR_035,"アメジスト"
SYSTXT_CHARAMAKE_COLOR_036,"バイオレット"
SYSTXT_CHARAMAKE_COLOR_037,"ポイズン"
SYSTXT_CHARAMAKE_COLOR_038,"パープル"
SYSTXT_CHARAMAKE_COLOR_039,"マゼンタ"
SYSTXT_CHARAMAKE_COLOR_040,"ふじいろ"
SYSTXT_CHARAMAKE_COLOR_041,"ベビーピンク"
SYSTXT_CHARAMAKE_COLOR_042,"ピンク"
SYSTXT_CHARAMAKE_COLOR_043,"うめねず"
SYSTXT_CHARAMAKE_COLOR_044,"あずき"
SYSTXT_CHARAMAKE_COLOR_045,"デビルワイン"
SYSTXT_CHARAMAKE_COLOR_046,"オーロラ"
SYSTXT_CHARAMAKE_COLOR_047,"うすざくら"
SYSTXT_CHARAMAKE_COLOR_048,"さくら"
SYSTXT_CHARAMAKE_COLOR_049,"ストロベリー"
SYSTXT_CHARAMAKE_COLOR_050,"ローズ"
SYSTXT_CHARAMAKE_COLOR_051,"ダークプラム"
SYSTXT_CHARAMAKE_COLOR_052,"さんご"
SYSTXT_CHARAMAKE_COLOR_053,"しゅいろ"
SYSTXT_CHARAMAKE_COLOR_054,"ベージュ"
SYSTXT_CHARAMAKE_COLOR_055,"レッド"
SYSTXT_CHARAMAKE_COLOR_056,"ルビー"
SYSTXT_CHARAMAKE_COLOR_057,"ガーネット"
SYSTXT_CHARAMAKE_COLOR_058,"ブラッド"
SYSTXT_CHARAMAKE_COLOR_059,"サンセット"
SYSTXT_CHARAMAKE_COLOR_060,"オレンジ"
SYSTXT_CHARAMAKE_COLOR_061,"だいだい"
SYSTXT_CHARAMAKE_COLOR_062,"キャラメル"
SYSTXT_CHARAMAKE_COLOR_063,"チョコレート"
SYSTXT_CHARAMAKE_COLOR_064,"クリーム"
SYSTXT_CHARAMAKE_COLOR_065,"クレイ"
SYSTXT_CHARAMAKE_COLOR_066,"カフェラテ"
SYSTXT_CHARAMAKE_COLOR_067,"コルク"
SYSTXT_CHARAMAKE_COLOR_068,"ブラウン"
SYSTXT_CHARAMAKE_COLOR_069,"パール"
SYSTXT_CHARAMAKE_COLOR_070,"ピュアスノー"
SYSTXT_CHARAMAKE_COLOR_071,"シルバー"
SYSTXT_CHARAMAKE_COLOR_072,"しろはなだ"
SYSTXT_CHARAMAKE_COLOR_073,"しらふじいろ"
SYSTXT_CHARAMAKE_COLOR_074,"バニラ"
SYSTXT_CHARAMAKE_COLOR_075,"ライトグレー"
SYSTXT_CHARAMAKE_COLOR_076,"アッシュ"
SYSTXT_CHARAMAKE_COLOR_077,"ローズグレー"
SYSTXT_CHARAMAKE_COLOR_078,"ダークグレー"
SYSTXT_CHARAMAKE_COLOR_079,"スチール"
SYSTXT_CHARAMAKE_COLOR_080,"オニキス"
SYSTXT_CHARAMAKE_COLOR_081,"コアブラック"
SYSTXT_CHARAMAKE_COLOR_082,"しっこく"
SYSTXT_CHARAMAKE_COLOR_000,"カラーなし"
