Key,SourceString
SYSTXT_CHARAMAKE_NAME_MALE_00010,"エックス"
SYSTXT_CHARAMAKE_NAME_MALE_00020,"テン"
SYSTXT_CHARAMAKE_NAME_MALE_00030,"アーヴィン"
SYSTXT_CHARAMAKE_NAME_MALE_00040,"アーミン"
SYSTXT_CHARAMAKE_NAME_MALE_00050,"アニラス"
SYSTXT_CHARAMAKE_NAME_MALE_00060,"アマデオ"
SYSTXT_CHARAMAKE_NAME_MALE_00070,"アロンソ"
SYSTXT_CHARAMAKE_NAME_MALE_00080,"アンディ"
SYSTXT_CHARAMAKE_NAME_MALE_00090,"イルッポ"
SYSTXT_CHARAMAKE_NAME_MALE_00100,"ウォトキン"
SYSTXT_CHARAMAKE_NAME_MALE_00110,"ウッチャー"
SYSTXT_CHARAMAKE_NAME_MALE_00120,"エグモント"
SYSTXT_CHARAMAKE_NAME_MALE_00130,"エドヴァン"
SYSTXT_CHARAMAKE_NAME_MALE_00140,"エニクス"
SYSTXT_CHARAMAKE_NAME_MALE_00150,"エリアス"
SYSTXT_CHARAMAKE_NAME_MALE_00160,"オージアス"
SYSTXT_CHARAMAKE_NAME_MALE_00170,"オトマール"
SYSTXT_CHARAMAKE_NAME_MALE_00180,"ガストン"
SYSTXT_CHARAMAKE_NAME_MALE_00190,"ガドフリー"
SYSTXT_CHARAMAKE_NAME_MALE_00200,"カルル"
SYSTXT_CHARAMAKE_NAME_MALE_00210,"ギオルゴ"
SYSTXT_CHARAMAKE_NAME_MALE_00220,"ギュンター"
SYSTXT_CHARAMAKE_NAME_MALE_00230,"ギルベルト"
SYSTXT_CHARAMAKE_NAME_MALE_00240,"グウィード"
SYSTXT_CHARAMAKE_NAME_MALE_00250,"クライド"
SYSTXT_CHARAMAKE_NAME_MALE_00260,"クラフト"
SYSTXT_CHARAMAKE_NAME_MALE_00270,"グリーン"
SYSTXT_CHARAMAKE_NAME_MALE_00280,"クレメンス"
SYSTXT_CHARAMAKE_NAME_MALE_00290,"クロロ"
SYSTXT_CHARAMAKE_NAME_MALE_00300,"ケン"
SYSTXT_CHARAMAKE_NAME_MALE_00310,"ゴロー"
SYSTXT_CHARAMAKE_NAME_MALE_00320,"コンラッド"
SYSTXT_CHARAMAKE_NAME_MALE_00330,"サイモン"
SYSTXT_CHARAMAKE_NAME_MALE_00340,"ザジ"
SYSTXT_CHARAMAKE_NAME_MALE_00350,"サディアス"
SYSTXT_CHARAMAKE_NAME_MALE_00360,"ザリーフ"
SYSTXT_CHARAMAKE_NAME_MALE_00370,"サルマン"
SYSTXT_CHARAMAKE_NAME_MALE_00380,"シヴァル"
SYSTXT_CHARAMAKE_NAME_MALE_00390,"ジミー"
SYSTXT_CHARAMAKE_NAME_MALE_00400,"ジャレッド"
SYSTXT_CHARAMAKE_NAME_MALE_00410,"シュン"
SYSTXT_CHARAMAKE_NAME_MALE_00420,"ジョナス"
SYSTXT_CHARAMAKE_NAME_MALE_00430,"スタンレー"
