Key,SourceString
SYSTXT_CHARAMAKE_HUMAN_00010,"あなた"
SYSTXT_CHARAMAKE_HUMAN_01010,"きょうだい"
SYSTXT_CHARAMAKE_HUMAN_02010,"これから　あなた自身のキャラと<cf>あなたと共に暮らす兄弟（姉妹）キャラの<cf>ふたりのキャラを　作ります。"
SYSTXT_CHARAMAKE_HUMAN_42010,"つづいて　あなたの兄弟のキャラを作ります。"
SYSTXT_CHARAMAKE_HUMAN_82010,"この　ふたりのキャラで　冒険の書を作ります。<cf>よろしいですか？"
SYSTXT_CHARAMAKE_HUMAN_83010,"どちらのキャラを　作りなおしますか？"
SYSTXT_CHARAMAKE_HUMAN_84010,"キャラが　保存されないまま<cf>冒険の書の　選択に　もどりますが<cf>よろしいですか？<lf><yesno 2><break>"
SYSTXT_CHARAMAKE_HUMAN_12010,"あなたのキャラの性別を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_52010,"あなたから見た　兄弟との関係は　何ですか？"
SYSTXT_CHARAMAKE_HUMAN_22010,"あなたのキャラの体型を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_62010,"あなたの兄弟の体型を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_30150,"変えたいところを選択し<cf>あなたのキャラを作ってください。"
SYSTXT_CHARAMAKE_HUMAN_30020,"はだの色"
SYSTXT_CHARAMAKE_HUMAN_30040,"かみがた"
SYSTXT_CHARAMAKE_HUMAN_30060,"かみの色"
SYSTXT_CHARAMAKE_HUMAN_30080,"かお"
SYSTXT_CHARAMAKE_HUMAN_30100,"めの色"
SYSTXT_CHARAMAKE_HUMAN_30120,"なまえ"
SYSTXT_CHARAMAKE_HUMAN_30140,"けってい"
SYSTXT_CHARAMAKE_HUMAN_31020,"あなたのキャラのはだの色を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_33020,"あなたのキャラのかみの色を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_35020,"あなたのキャラのめの色を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_30030,"カラー{0}"
SYSTXT_CHARAMAKE_HUMAN_30070_02,"ブロンド"
SYSTXT_CHARAMAKE_HUMAN_30070_01,"カラメル色"
SYSTXT_CHARAMAKE_HUMAN_30070_03,"青りんご色"
SYSTXT_CHARAMAKE_HUMAN_30070_04,"ひすい"
SYSTXT_CHARAMAKE_HUMAN_30070_05,"アクアマリン"
SYSTXT_CHARAMAKE_HUMAN_30070_06,"あおみどり"
SYSTXT_CHARAMAKE_HUMAN_30070_07,"ラベンダー"
SYSTXT_CHARAMAKE_HUMAN_30070_08,"ピーチ"
SYSTXT_CHARAMAKE_HUMAN_30070_09,"うすべに色"
SYSTXT_CHARAMAKE_HUMAN_30070_10,"くり色"
SYSTXT_CHARAMAKE_HUMAN_30070_11,"くろ"
SYSTXT_CHARAMAKE_HUMAN_30070_12,"バニラ色"
SYSTXT_CHARAMAKE_HUMAN_30110_02,"くり色"
SYSTXT_CHARAMAKE_HUMAN_30110_05,"あか"
SYSTXT_CHARAMAKE_HUMAN_30110_08,"ブロンド"
SYSTXT_CHARAMAKE_HUMAN_30110_07,"カラメル色"
SYSTXT_CHARAMAKE_HUMAN_30110_06,"アイスブルー"
SYSTXT_CHARAMAKE_HUMAN_30110_04,"あやめ"
SYSTXT_CHARAMAKE_HUMAN_30110_03,"ラベンダー"
SYSTXT_CHARAMAKE_HUMAN_30110_01,"くろ"
SYSTXT_CHARAMAKE_HUMAN_30110_09,"青りんご色"
SYSTXT_CHARAMAKE_HUMAN_30110_10,"ひすい"
SYSTXT_CHARAMAKE_HUMAN_30110_11,"うすべに色"
SYSTXT_CHARAMAKE_HUMAN_30110_12,"バニラ色"
SYSTXT_CHARAMAKE_HUMAN_30050,"タイプ{0}"
SYSTXT_CHARAMAKE_HUMAN_30090,"タイプ{0}"
SYSTXT_CHARAMAKE_HUMAN_32020,"あなたのキャラのかみがたを選んでください。"
SYSTXT_CHARAMAKE_HUMAN_34020,"あなたのキャラのかおを選んでください。"
SYSTXT_CHARAMAKE_HUMAN_50010,"おんな"
SYSTXT_CHARAMAKE_HUMAN_51010,"おとこ"
SYSTXT_CHARAMAKE_HUMAN_53010,"あね"
SYSTXT_CHARAMAKE_HUMAN_54010,"あに"
SYSTXT_CHARAMAKE_HUMAN_20010,"おとな"
SYSTXT_CHARAMAKE_HUMAN_21010,"こども"
SYSTXT_CHARAMAKE_HUMAN_53020,"いもうと"
SYSTXT_CHARAMAKE_HUMAN_54020,"おとうと"
SYSTXT_CHARAMAKE_HUMAN_76050,"カタカナ"
SYSTXT_CHARAMAKE_HUMAN_76040,"←"
SYSTXT_CHARAMAKE_HUMAN_77030,"ひらがな"
SYSTXT_CHARAMAKE_HUMAN_36070,"あなたのキャラのなまえを入力してください。"
SYSTXT_CHARAMAKE_HUMAN_76070,"あなたの兄弟のキャラの<cf>なまえを入力してください。"
SYSTXT_CHARAMAKE_HUMAN_71020,"あなたの兄弟のキャラの<cf>はだの色を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_72020,"あなたの兄弟のキャラの<cf>かみがたを選んでください。"
SYSTXT_CHARAMAKE_HUMAN_73020,"あなたの兄弟のキャラの<cf>かみの色を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_74020,"あなたの兄弟のキャラの<cf>かおを選んでください。"
SYSTXT_CHARAMAKE_HUMAN_75020,"あなたの兄弟のキャラの<cf>めの色を選んでください。"
SYSTXT_CHARAMAKE_HUMAN_70150,"変えたいところを選択し<cf>あなたの兄弟のキャラを作ってください。"
SYSTXT_CHARAMAKE_HUMAN_30160,"名前が　入力されていません！"
SYSTXT_CHARAMAKE_HUMAN_38000,"キャラ回転"
SYSTXT_CHARAMAKE_TRIBE_10010,"人間"
SYSTXT_CHARAMAKE_TRIBE_10011,"オーガ"
SYSTXT_CHARAMAKE_TRIBE_10012,"エルフ"
SYSTXT_CHARAMAKE_TRIBE_10013,"ウェディ"
SYSTXT_CHARAMAKE_TRIBE_10014,"ドワーフ"
SYSTXT_CHARAMAKE_TRIBE_10015,"プクリポ"
SYSTXT_CHARAMAKE_TRIBE_20010,"しょくぎょう"
SYSTXT_CHARAMAKE_TRIBE_20020,"戦士"
SYSTXT_CHARAMAKE_TRIBE_20030,"僧侶"
SYSTXT_CHARAMAKE_TRIBE_20040,"魔法使い"
SYSTXT_CHARAMAKE_TRIBE_20050,"武闘家"
SYSTXT_CHARAMAKE_TRIBE_20060,"盗賊"
SYSTXT_CHARAMAKE_TRIBE_20070,"旅芸人"
SYSTXT_CHARAMAKE_TRIBE_21100,"職業スキル"
SYSTXT_CHARAMAKE_TRIBE_21110,"必殺技"
SYSTXT_CHARAMAKE_TRIBE_16010,"あなたのキャラの姿は　これで　よろしいですか？"
SYSTXT_CHARAMAKE_TRIBE_20150,"あなたのキャラの職業を選んでください。"
SYSTXT_CHARAMAKE_TRIBE_21010,"チカラが強く　攻守にわたって<cf>仲間を守る頼れる存在。<cf>片手剣・両手剣・オノを装備可。"
SYSTXT_CHARAMAKE_TRIBE_21011,"かばう、ロストアタック"
SYSTXT_CHARAMAKE_TRIBE_21012,"会心必中"
SYSTXT_CHARAMAKE_TRIBE_21020,"回復呪文の　スペシャリスト。<cf>強い武器を装備しての攻撃も得意。<cf>ヤリ・スティック・棍を装備可。"
SYSTXT_CHARAMAKE_TRIBE_21021,"ホイミ、おはらい、天使の守り"
SYSTXT_CHARAMAKE_TRIBE_21022,"聖者の詩"
SYSTXT_CHARAMAKE_TRIBE_21030,"強力な魔法で　敵をせん滅する<cf>攻撃呪文の　スペシャリスト。<cf>両手杖・短剣・ムチを装備可。"
SYSTXT_CHARAMAKE_TRIBE_21031,"メラ、魔結界、魔力かくせい"
SYSTXT_CHARAMAKE_TRIBE_21032,"ミラクルゾーン"
SYSTXT_CHARAMAKE_TRIBE_21040,"チカラと　すばやさに優れた<cf>最強の　テンションの使い手。<cf>ツメ・棍・扇を装備可。"
SYSTXT_CHARAMAKE_TRIBE_21041,"ためる、不撓不屈、めいそう"
SYSTXT_CHARAMAKE_TRIBE_21042,"一喝"
SYSTXT_CHARAMAKE_TRIBE_21050,"チカラが強く　回復もこなす<cf>お宝探しのプロ。<cf>短剣・ムチ・ツメを装備可。"
SYSTXT_CHARAMAKE_TRIBE_21051,"ぬすむ、おたからさがし"
SYSTXT_CHARAMAKE_TRIBE_21052,"お宝ハンター"
SYSTXT_CHARAMAKE_TRIBE_21060,"さまざまな芸で盛り上げる<cf>ムードメーカー。<cf>扇・棍・短剣を装備可。"
SYSTXT_CHARAMAKE_TRIBE_21061,"ボケ、ハッスルダンス"
SYSTXT_CHARAMAKE_TRIBE_21062,"アクロバットスター"
SYSTXT_CHARAMAKE_TRIBE_21200,"{0}で　よろしいですか？"
SYSTXT_CHARAMAKE_TRIBE_30000,"{0}をやめて　他の種族を選びますか？"
