Key, SourceString
SYSTXT_CHARAMAKE_00010,"あなた"
SYSTXT_CHARAMAKE_00020,"きょうだい"
SYSTXT_CHARAMAKE_00030,"あね"
SYSTXT_CHARAMAKE_00040,"いもうと"
SYSTXT_CHARAMAKE_00050,"あに"
SYSTXT_CHARAMAKE_00060,"おとうと"
SYSTXT_CHARAMAKE_01010,"パターン再生"
SYSTXT_CHARAMAKE_01020,"こえの再生"
SYSTXT_CHARAMAKE_01030,"おまかせ"
SYSTXT_CHARAMAKE_10010,"これから　あなた自身のキャラと<cf>あなたと共に暮らす兄弟（姉妹）キャラの<cf>ふたりのキャラを　作ります。<cf><br_break>"
SYSTXT_CHARAMAKE_10020,"あなたのキャラの<cf>スタイルを　選んでください。<cf><bw_break>"
SYSTXT_CHARAMAKE_10030,"キャラクターが　保存されないまま<cf>冒険の書の　選択に　もどりますが<cf>よろしいですか？<cf><yesno><break>"
SYSTXT_CHARAMAKE_10040,"あなたのキャラの体型を選んでください。<cf><bw_break>"
SYSTXT_CHARAMAKE_10050,"変えたいところを選択し<cf>あなたのキャラを作ってください。<cf><bw_break>"
SYSTXT_CHARAMAKE_10060,"名前が　入力されていません！<cf><bw_break>"
SYSTXT_CHARAMAKE_10070,"あなたのキャラの姿は　これで　よろしいですか？<cf><yesno><break>"
SYSTXT_CHARAMAKE_10080,"つづいて　あなたの兄弟（姉妹）の<cf>キャラを作ります。<cf><br_break>"
SYSTXT_CHARAMAKE_10090,"この　ふたりのキャラで　冒険の書を作ります。<cf>よろしいですか？<cf><yesno><break>"
SYSTXT_CHARAMAKE_10100,"どちらのキャラを　作りなおしますか？<cf><bw_break>"
SYSTXT_CHARAMAKE_10110,"キャラクターが　保存されないまま<cf>冒険の書の　選択に　もどりますが<cf>よろしいですか？<cf><yesno><break>"
SYSTXT_CHARAMAKE_10120,"この名前は　使用できません。<cf><bw_break>"
SYSTXT_CHARAMAKE_20010,"{Tribe_Selected_Name}として　生まれ変わりますか？"
SYSTXT_CHARAMAKE_20020,"{Job_Selected_Name}でよろしいですか？"
SYSTXT_CHARAMAKE_30010,"あなたのキャラのはだの色を選んでください。<cf><bw_break>"
SYSTXT_CHARAMAKE_30020,"あなたのキャラのかみがたを選んでください。<cf><bw_break>"
SYSTXT_CHARAMAKE_30030,"あなたのキャラのかみの色を選んでください。<cf><bw_break>"
