Key,SourceString
SYSTXT_SYSTEM_COMMON_00010,"Lv"
SYSTXT_SYSTEM_COMMON_00030,"Max HP"
SYSTXT_SYSTEM_COMMON_00040,"HP"
SYSTXT_SYSTEM_COMMON_00050,"Max MP"
SYSTXT_SYSTEM_COMMON_00060,"MP"
SYSTXT_SYSTEM_COMMON_00070,"Attack"
SYSTXT_SYSTEM_COMMON_00080,"Attack (Right)"
SYSTXT_SYSTEM_COMMON_00090,"Attack (Left)"
SYSTXT_SYSTEM_COMMON_00100,"Defense"
SYSTXT_SYSTEM_COMMON_00130,"Magical Might"
SYSTXT_SYSTEM_COMMON_00140,"Magical Mending"
SYSTXT_SYSTEM_COMMON_00150,"Strength"
SYSTXT_SYSTEM_COMMON_00160,"Resilience"
SYSTXT_SYSTEM_COMMON_00170,"Agility"
SYSTXT_SYSTEM_COMMON_00180,"Deftness"
SYSTXT_SYSTEM_COMMON_00190,"Charm"
SYSTXT_SYSTEM_COMMON_00200,"MP Absorption"
SYSTXT_SYSTEM_COMMON_00210,"Block Rate"
SYSTXT_SYSTEM_COMMON_00220,"Experience"
SYSTXT_SYSTEM_COMMON_00230,"Next Level"
SYSTXT_SYSTEM_COMMON_00240,"Effect on Attributes"
SYSTXT_SYSTEM_COMMON_00250,"Special Effects"
SYSTXT_SYSTEM_COMMON_00260,"MP Cost"
SYSTXT_SYSTEM_COMMON_00270,"Tension Cost"
SYSTXT_SYSTEM_COMMON_00280,"Critical Reel Rate"
SYSTXT_SYSTEM_COMMON_00290,"Line HP"
SYSTXT_SYSTEM_COMMON_00300,"Fishing EXP"
SYSTXT_SYSTEM_COMMON_00310,"G Cost"
SYSTXT_SYSTEM_COMMON_00320,"Fishing Power"
SYSTXT_SYSTEM_COMMON_00330,"Block Rate"
SYSTXT_SYSTEM_COMMON_00340,"MP Absorption (Right)"
SYSTXT_SYSTEM_COMMON_00350,"MP Absorption (Left)"
SYSTXT_SYSTEM_COMMON_01010,"1"
SYSTXT_SYSTEM_COMMON_01020,"2"
SYSTXT_SYSTEM_COMMON_01030,"3"
SYSTXT_SYSTEM_COMMON_01040,"4"
SYSTXT_SYSTEM_COMMON_01050,"5"
SYSTXT_SYSTEM_COMMON_01060,"6"
SYSTXT_SYSTEM_COMMON_01070,"7"
SYSTXT_SYSTEM_COMMON_01080,"8"
SYSTXT_SYSTEM_COMMON_01090,"9"
SYSTXT_SYSTEM_COMMON_01100,"All"
SYSTXT_SYSTEM_COMMON_02010,"Right Hand"
SYSTXT_SYSTEM_COMMON_02020,"Left Hand"
SYSTXT_SYSTEM_COMMON_02030,"Head"
SYSTXT_SYSTEM_COMMON_02040,"Body"
SYSTXT_SYSTEM_COMMON_02050,"Legs"
SYSTXT_SYSTEM_COMMON_02060,"Accessory 1"
SYSTXT_SYSTEM_COMMON_02070,"Accessory 2"
SYSTXT_SYSTEM_COMMON_02080,"Nothing"
SYSTXT_SYSTEM_COMMON_02090,"Can't Equip"
SYSTXT_SYSTEM_COMMON_02100,"Fishing Rod"
SYSTXT_SYSTEM_COMMON_02110,"Lure"
SYSTXT_SYSTEM_COMMON_02120,"Badge"
SYSTXT_SYSTEM_COMMON_03010,"All"
SYSTXT_SYSTEM_COMMON_03020,"Materials"
SYSTXT_SYSTEM_COMMON_03030,"Recipes"
SYSTXT_SYSTEM_COMMON_03040,"Consumable Items"
SYSTXT_SYSTEM_COMMON_03050,"Equipment"
SYSTXT_SYSTEM_COMMON_03060,"Food"
SYSTXT_SYSTEM_COMMON_03070,"Scout Books"
SYSTXT_SYSTEM_COMMON_03080,"Emote Books"
SYSTXT_SYSTEM_COMMON_03090,"Important Items"
SYSTXT_SYSTEM_COMMON_03100,"Weapons"
SYSTXT_SYSTEM_COMMON_03110,"Armor"
SYSTXT_SYSTEM_COMMON_03120,"Accessories"
SYSTXT_SYSTEM_COMMON_03130,"Helmets"
SYSTXT_SYSTEM_COMMON_03140,"Hats"
SYSTXT_SYSTEM_COMMON_03150,"Body Armor"
SYSTXT_SYSTEM_COMMON_03160,"Clothes"
SYSTXT_SYSTEM_COMMON_03170,"Robes"
SYSTXT_SYSTEM_COMMON_03180,"Leg Armor"
SYSTXT_SYSTEM_COMMON_03190,"Pants"
SYSTXT_SYSTEM_COMMON_03200,"Face Accessories"
SYSTXT_SYSTEM_COMMON_03210,"Neck Accessories"
SYSTXT_SYSTEM_COMMON_03220,"Finger Accessories"
SYSTXT_SYSTEM_COMMON_03230,"Chest Accessories"
SYSTXT_SYSTEM_COMMON_03240,"Waist Accessories"
SYSTXT_SYSTEM_COMMON_03250,"Card Accessories"
SYSTXT_SYSTEM_COMMON_03260,"Other Accessories"
SYSTXT_SYSTEM_COMMON_04010,"Spells"
