Key,SourceString
SYSTXT_EQUIP_COORDINATE_SYS_00010,"マイコーデ"
SYSTXT_EQUIP_COORDINATE_SYS_00020,"マイコーデメニュー"
SYSTXT_EQUIP_COORDINATE_SYS_00030,"コーデ入れ替え"
SYSTXT_EQUIP_COORDINATE_SYS_01010,"防具"
SYSTXT_EQUIP_COORDINATE_SYS_01020,"武器と盾"
SYSTXT_EQUIP_COORDINATE_SYS_02010,"マイコーデを編集する"
SYSTXT_EQUIP_COORDINATE_SYS_02020,"今の見た目をとうろく"
SYSTXT_EQUIP_COORDINATE_SYS_03010,"マイコーデ名を変える"
SYSTXT_EQUIP_COORDINATE_SYS_03020,"コーデを入れ替える"
SYSTXT_EQUIP_COORDINATE_SYS_10010,"防具表示設定切り替え"
SYSTXT_EQUIP_COORDINATE_SYS_10020,"アクセサリー入れ替え"
SYSTXT_EQUIP_COORDINATE_SYS_10030,"カラーリングのみ"
SYSTXT_EQUIP_COORDINATE_SYS_20010,"いまの見た目を<cf>マイコーデに　新規登録しますか？<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20020,"いまの見た目を<cf>マイコーデ「{Present_Coordinate_Name}」に<cf>上書き登録しますか？<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20030,"この見た目を　マイコーデに　登録します。<cf>マイコーデの名前を　決めてください。"
SYSTXT_EQUIP_COORDINATE_SYS_20040,"この見た目の　マイコーデの名前を変更します。<cf>マイコーデの名前を　決めてください。"
SYSTXT_EQUIP_COORDINATE_SYS_20050,"マイコーデの登録を　やめますか？<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20060,"マイコーデの名前を　入力してください！"
SYSTXT_EQUIP_COORDINATE_SYS_20090,"マイコーデの名前を<cf>「{Input_Coordinate_Name}」で　登録しますか？<cf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20100,"マイコーデの名前を<lf>「{Input_Coordinate_Name}」で　登録した！"
SYSTXT_EQUIP_COORDINATE_SYS_20110,"マイコーデ「{Present_Coordinate_Name}」の名前を<cf>「{Input_Coordinate_Name}」に　変えた！"
SYSTXT_EQUIP_COORDINATE_SYS_20120,"マイコーデの名前を　変えるのをやめた。"
SYSTXT_EQUIP_COORDINATE_SYS_20130,"変更内容が　登録されていませんが<lf>もどってもよろしいですか？<lf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_20140,"種族服は　マイコーデに　<cf>登録することが　できません。<cf>装備を外して　登録してください。"
SYSTXT_EQUIP_COORDINATE_SYS_20150,"変更すると　失われる装備があります。<lf>変更内容を　登録してよろしいでしょうか？<lf><yesno><break>"
SYSTXT_EQUIP_COORDINATE_SYS_90010,"（マイコーデ１）"
SYSTXT_EQUIP_COORDINATE_SYS_90020,"（マイコーデ２）"
SYSTXT_EQUIP_COORDINATE_SYS_90030,"（マイコーデ３）"
SYSTXT_EQUIP_COORDINATE_SYS_90040,"（マイコーデ４）"
SYSTXT_EQUIP_COORDINATE_SYS_90050,"（マイコーデ５）"
SYSTXT_EQUIP_COORDINATE_SYS_90060,"（マイコーデ６）"
SYSTXT_EQUIP_COORDINATE_SYS_90070,"（マイコーデ７）"
SYSTXT_EQUIP_COORDINATE_SYS_90080,"（マイコーデ８）"
SYSTXT_EQUIP_COORDINATE_SYS_90090,"（マイコーデ９）"
SYSTXT_EQUIP_COORDINATE_SYS_90100,"（マイコーデ１０）"
SYSTXT_EQUIP_COORDINATE_SYS_90110,"（マイコーデ１１）"
SYSTXT_EQUIP_COORDINATE_SYS_90120,"（マイコーデ１２）"
SYSTXT_EQUIP_COORDINATE_SYS_90130,"（マイコーデ１３）"
SYSTXT_EQUIP_COORDINATE_SYS_90140,"（マイコーデ１４）"
SYSTXT_EQUIP_COORDINATE_SYS_90150,"（マイコーデ１５）"
SYSTXT_EQUIP_COORDINATE_SYS_90160,"（マイコーデ１６）"
SYSTXT_EQUIP_COORDINATE_SYS_90170,"（マイコーデ１７）"
SYSTXT_EQUIP_COORDINATE_SYS_90180,"（マイコーデ１８）"
SYSTXT_EQUIP_COORDINATE_SYS_90190,"（マイコーデ１９）"
SYSTXT_EQUIP_COORDINATE_SYS_90200,"（マイコーデ２０）"
SYSTXT_EQUIP_COORDINATE_SYS_03030,"マイコーデ着脱"
