Key, SourceString
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01010,"スライム"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01020,"モーモン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01030,"ドラキー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01040,"ファーラット"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01050,"おおきづち"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01060,"オニオーン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01070,"ゴースト"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01080,"ねこまどう"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01090,"みならいあくま"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01100,"バブルスライム"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01110,"おばけキャンドル"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01120,"メタッピー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01130,"おにこぞう"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_01140,"つちわらし"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02010,"ぬすっとウサギ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02020,"おばけヒトデ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02030,"どくろあらい"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02040,"おおくちばし"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02050,"アルミラージ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02060,"ピッキー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02070,"どんぐりベビー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02080,"メイジドラキー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02090,"びっくりサタン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02100,"キメラ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02110,"わらいぶくろ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02120,"マドハンド"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02130,"たけやりへい"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02140,"グレムリン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_02150,"あばれこまいぬ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03010,"キングスライム"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03020,"ばくだん岩"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03030,"スライムナイト"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03040,"タップデビル"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03050,"ピンクモーモン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03060,"だいおうキッズ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03070,"アローインプ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03080,"サイおとこ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03090,"さんぞくウルフ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03100,"プテラノドン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03110,"ピクシー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03120,"プリズニャン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03130,"あくま神官"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03140,"ベロベロ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03150,"イエティ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_03160,"くさった死体"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04010,"ビッグフェイス"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04020,"じんめんじゅ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04030,"ドラキーマ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04040,"リザードマン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04050,"オーク"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04060,"あらくれチャッピー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04070,"タコメット"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04080,"がいこつ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04090,"サマーウルフ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04100,"インキュバス"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04110,"ホースデビル"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04120,"ドロヌーバ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04130,"デザートゴースト"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04140,"ダッシュラン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_04150,"ボーンプリズナー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05010,"メタルハンター"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05020,"ひとくいサーベル"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05030,"ライノソルジャー"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05040,"ブリザード"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05050,"ヘルコンダクター"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05060,"ベホマスライム"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05070,"スターキメラ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05080,"ゲリュオン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05090,"ダークナイト"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05100,"かげのきし"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05110,"かっちゅうアリ"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05120,"グール"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05130,"オークキング"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05140,"ヘルビースト"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05150,"キラーマシン"
EVTXT_SYS_QUESTA_IRAISYO_MONSTER_NAME_05160,"シルバーデビル"
