Key, SourceString
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_1,"こりん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_2,"ねぽろ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_3,"まいたこ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_4,"かざきり"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_5,"さざなみ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_6,"ぼりぱ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_7,"ちゃくちぇ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_8,"ちぇちぇん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_9,"ぱーりー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_10,"いーりす"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_11,"がくとしらぎ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_12,"たんけんかえるまん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_13,"どうぐやえいなる"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_14,"どうぐやまろっく"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_15,"かじやばとら"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_16,"かじやぶれんど"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_17,"ぶきやふらのわ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_18,"ぶきやばーとん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_19,"しょうにんまるこめす"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_20,"しょうにんここっちゃ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_21,"しょうにんやっちぇ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_22,"ぶきやぎるば"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_23,"だいふごうぶるーの"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_24,"のうみんぼなっぺ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_25,"のうみんごんざ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_26,"のうみんしごろう"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_27,"のうみんさだきち"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_28,"きこりぽぽんす"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_29,"きこりじんべ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_30,"きこりぺぺた"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_31,"たそがれまりく"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_32,"たそがれくれど"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_33,"たそがれらみー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_34,"まよえるせしりお"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_35,"まよえるかるろす"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_36,"まよえるえうりこ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_37,"なげきのぱりす"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_38,"なげきのろらん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_39,"なげきのもりす"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_40,"かなしきいれーん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_41,"かなしきへらるど"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_42,"かなしきだみあん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_43,"ろんりーでび"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_44,"ろんりーほせ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_45,"ろんりーれお"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_46,"しぇりか"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_47,"あいりーん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_48,"いれーな"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_49,"ちゃちゃ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_50,"あじさい"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_51,"ききら"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_52,"はざくら"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_53,"ままりり"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_54,"やどやまぎー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_55,"やどやひなぎく"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_56,"びようしぱぱーな"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_57,"どうぐやしぇり"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_58,"そざいやめどり"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_59,"そざいやせりな"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_60,"かぐやぽぽ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_61,"ゆめみるちょこら"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_62,"ゆめみるはのん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_63,"ゆめみるぴあにー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_64,"こいするえるの"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_65,"こいするべてぃ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_66,"こいするめりっさ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_67,"わがままぷーら"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_68,"わがままのんの"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_69,"けだるいりりー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_70,"けだるいめりー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_71,"けだるいえりー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_72,"まだむべる"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_73,"まだむだにえ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_74,"まだむべろあ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_75,"まだむさりー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_76,"どろてあふじん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_77,"えねっとふじん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_78,"ざーますふじん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_79,"あもんどふじん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_80,"えるんすてふじん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_81,"べあとりすふじん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_82,"ぽぽな"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_83,"みみ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_84,"えいみー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_85,"しゅがー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_86,"ぴぴーな"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_87,"るる"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_88,"くくる"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_89,"ねぴー"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_90,"きーの"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_91,"たっく"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_92,"ぺるた"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_93,"ととり"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_94,"ぴすた"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_95,"ぽりん"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_96,"りっき"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_97,"はっぴ"
EVTXT_SYS_QUESTA_IRAISYO_NPC_RUBY_98,"しめじい"
