Key,SourceString
SYSTXT_FACILITY_BARMONSTER_00010,"つれていく"
SYSTXT_FACILITY_BARMONSTER_00020,"あずける"
SYSTXT_FACILITY_BARMONSTER_00030,"カラーリング"
SYSTXT_FACILITY_BARMONSTER_00040,"名前をかえる"
SYSTXT_FACILITY_BARMONSTER_00050,"わかれる"
SYSTXT_FACILITY_BARMONSTER_00060,"部屋いれかえ"
SYSTXT_FACILITY_BARMONSTER_00070,"説明を聞く"
SYSTXT_FACILITY_BARMONSTER_00080,"連れていく<lf>仲間モンスターを<lf>選びます"
SYSTXT_FACILITY_BARMONSTER_00090,"連れている<lf>仲間モンスターを<lf>預けます"
SYSTXT_FACILITY_BARMONSTER_00100,"仲間モンスターの<lf>カラーリングを<lf>変更します"
SYSTXT_FACILITY_BARMONSTER_00110,"仲間モンスターの<lf>名前を変更します"
SYSTXT_FACILITY_BARMONSTER_00120,"仲間モンスターを<lf>野に放ち<lf>お別れします"
SYSTXT_FACILITY_BARMONSTER_00130,"仲間モンスターの<lf>部屋をいれかえて<lf>並び順をかえます"
SYSTXT_FACILITY_BARMONSTER_00140,"仲間モンスターの<lf>システムについて<lf>説明します"
SYSTXT_FACILITY_BARMONSTER_00150,"預けている数"
SYSTXT_FACILITY_BARMONSTER_01010,"仲間モンスター"
SYSTXT_FACILITY_BARMONSTER_01020,"せいかく："
SYSTXT_FACILITY_BARMONSTER_01030,"せいかく"
SYSTXT_FACILITY_BARMONSTER_02010,"カラーリング"
SYSTXT_FACILITY_BARMONSTER_02020,"カラーの変更"
SYSTXT_FACILITY_BARMONSTER_02030,"カラーの作成"
SYSTXT_FACILITY_BARMONSTER_02040,"仲間モンスターの<lf>カラーを変更します。"
SYSTXT_FACILITY_BARMONSTER_02050,"仲間モンスターの<lf>カラーを作成します。"
SYSTXT_FACILITY_BARMONSTER_02060,"カラー"
SYSTXT_FACILITY_BARMONSTER_02070,"必要素材"
SYSTXT_FACILITY_BARMONSTER_02080,"必要素材（作成済み）"
SYSTXT_FACILITY_BARMONSTER_02090,"必要/所持"
SYSTXT_FACILITY_BARMONSTER_02100,"カラー説明を見る"
SYSTXT_FACILITY_BARMONSTER_02110,"必要な素材を見る"
