Key, SourceString
NAME_ID_MONSTER_COLOR_SURAIMU,"スライム色"
NAME_ID_MONSTER_COLOR_SURAIMUBESU,"スライムベス色"
NAME_ID_MONSTER_COLOR_METARUSURAIMU,"メタルスライム色"
NAME_ID_MONSTER_COLOR_PURIZUNYAN,"プリズニャン色"
NAME_ID_MONSTER_COLOR_SHIMASHIMAKYATTO,"しましまキャット色"
NAME_ID_MONSTER_COLOR_BERONYAGO,"ベロニャーゴ色"
NAME_ID_MONSTER_COLOR_MABURUN,"マーブルン色"
NAME_ID_MONSTER_COLOR_KIMERA,"キメラ色"
NAME_ID_MONSTER_COLOR_MEIJIKIMERA,"メイジキメラ色"
NAME_ID_MONSTER_COLOR_SUTAKIMERA,"スターキメラ色"
NAME_ID_MONSTER_COLOR_MUNKIMERA,"ムーンキメラ色"
NAME_ID_MONSTER_COLOR_RIZADOMAN,"リザードマン色"
NAME_ID_MONSTER_COLOR_RYUUKIHEI,"りゅうき兵色"
NAME_ID_MONSTER_COLOR_SHUPURINGA,"シュプリンガー色"
NAME_ID_MONSTER_COLOR_AKATSUKISHOUGUN,"アカツキショウグン色"
NAME_ID_MONSTER_COLOR_HOIMISURAIMU,"ホイミスライム色"
NAME_ID_MONSTER_COLOR_SHIBIREKURAGE,"しびれくらげ色"
NAME_ID_MONSTER_COLOR_BEHOMASURAIMU,"ベホマスライム色"
NAME_ID_MONSTER_COLOR_BEHOIMUSURAIMU,"ベホイムスライム色"
NAME_ID_MONSTER_COLOR_BEHOIMISURAIMU,"ベホイミスライム色"
NAME_ID_MONSTER_COLOR_METARUHOIMIN,"メタルホイミン色"
NAME_ID_MONSTER_COLOR_BURAUNI,"ブラウニー色"
NAME_ID_MONSTER_COLOR_OOKIDUCHI,"おおきづち色"
NAME_ID_MONSTER_COLOR_BURAKKUCHAKKU,"ブラックチャック色"
NAME_ID_MONSTER_COLOR_TOGEKONBOU,"とげこんぼう色"
NAME_ID_MONSTER_COLOR_MOMON,"モーモン色"
NAME_ID_MONSTER_COLOR_SUNOMOMON,"スノーモン色"
NAME_ID_MONSTER_COLOR_PINKUMOMON,"ピンクモーモン色"
NAME_ID_MONSTER_COLOR_MAPORENA,"マポレーナ色"
NAME_ID_MONSTER_COLOR_TSUKUMOMON,"ツクモモン色"
NAME_ID_MONSTER_COLOR_BATORUREKKUSU,"バトルレックス色"
NAME_ID_MONSTER_COLOR_AKKUSUDORAGON,"アックスドラゴン色"
NAME_ID_MONSTER_COLOR_PARADHINOSU,"パラディノス色"
NAME_ID_MONSTER_COLOR_TOMAHOGA,"トマホーガー色"
NAME_ID_MONSTER_COLOR_SURAIMUNAITO,"スライムナイト色"
NAME_ID_MONSTER_COLOR_METARURAIDA,"メタルライダー色"
NAME_ID_MONSTER_COLOR_HATONAITO,"ハートナイト色"
NAME_ID_MONSTER_COLOR_NEKOMADOU,"ねこまどう色"
NAME_ID_MONSTER_COLOR_JYAGAMEIJI,"ジャガーメイジ色"
NAME_ID_MONSTER_COLOR_BENGARUKUN,"ベンガルクーン色"
NAME_ID_MONSTER_COLOR_DAKUPERUSHA,"ダークペルシャ色"
NAME_ID_MONSTER_COLOR_MIKEMADOU,"ミケまどう色"
NAME_ID_MONSTER_COLOR_ITAZURAMOGURA,"いたずらもぐら色"
NAME_ID_MONSTER_COLOR_KIRASUKOPPU,"キラースコップ色"
NAME_ID_MONSTER_COLOR_BURANMATOKKU,"ブランマトック色"
NAME_ID_MONSTER_COLOR_KIRAPIKKERU,"キラーピッケル色"
NAME_ID_MONSTER_COLOR_KIRAPANSA,"キラーパンサー色"
NAME_ID_MONSTER_COLOR_PINKIPANSA,"ピンキーパンサー色"
NAME_ID_MONSTER_COLOR_CHOME,"チョメ色"
NAME_ID_MONSTER_COLOR_BEBISATAN,"ベビーサタン色"
NAME_ID_MONSTER_COLOR_MINIDEMON,"ミニデーモン色"
NAME_ID_MONSTER_COLOR_TSUKAIMA,"つかいま色"
NAME_ID_MONSTER_COLOR_BEBINGOSATAN,"ベビンゴサタン色"
NAME_ID_MONSTER_COLOR_DORAGONKIZZU,"ドラゴンキッズ色"
NAME_ID_MONSTER_COLOR_MERARIZADO,"メラリザード色"
NAME_ID_MONSTER_COLOR_BEBINYUTO,"ベビーニュート色"
NAME_ID_MONSTER_COLOR_RITORURAIBAN,"リトルライバーン色"
NAME_ID_MONSTER_COLOR_DORAKI,"ドラキー色"
NAME_ID_MONSTER_COLOR_TAHODORAKI,"タホドラキー色"
NAME_ID_MONSTER_COLOR_DORAKIMA,"ドラキーマ色"
NAME_ID_MONSTER_COLOR_MEIJIDORAKI,"メイジドラキー色"
NAME_ID_MONSTER_COLOR_TSUNDORAKI,"ツンドラキー色"
NAME_ID_MONSTER_COLOR_TANSUMIMIKKU,"たんすミミック色"
NAME_ID_MONSTER_COLOR_PANDORACHESUTO,"パンドラチェスト色"
NAME_ID_MONSTER_COLOR_PANPUKYABINETTO,"パンプキャビネット色"
NAME_ID_MONSTER_COLOR_ROIYARUMIMIKKU,"ロイヤルミミック色"
NAME_ID_MONSTER_COLOR_ENTASHISUMAN,"エンタシスマン色"
NAME_ID_MONSTER_COLOR_MISUTERIPIRA,"ミステリピラー色"
NAME_ID_MONSTER_COLOR_TSUISUTOCHI,"ツイストーチ色"
NAME_ID_MONSTER_COLOR_ORIENTASHISU,"オリエンタシス色"
NAME_ID_MONSTER_COLOR_SAMAYOUYOROI,"さまようよろい色"
NAME_ID_MONSTER_COLOR_JIGOKUNOYOROI,"じごくのよろい色"
NAME_ID_MONSTER_COLOR_KIRAAMA,"キラーアーマー色"
NAME_ID_MONSTER_COLOR_SHUBARUTSUSHURUTO,"シュバルツシュルト色"
NAME_ID_MONSTER_COLOR_TAKEYARIHEI,"たけやりへい色"
NAME_ID_MONSTER_COLOR_TOUROUHEI,"とうろうへい色"
NAME_ID_MONSTER_COLOR_EBIRUCHIKURIN,"エビルチクリン色"
NAME_ID_MONSTER_COLOR_KARAKURISHOUGUN,"からくりだいみょう色"
NAME_ID_MONSTER_COLOR_KARAKURIDAIMYOU,"からくりしょうぐん色"
NAME_ID_MONSTER_COLOR_METAPPI,"メタッピー色"
NAME_ID_MONSTER_COLOR_GACHAKOKKO,"ガチャコッコ色"
NAME_ID_MONSTER_COLOR_AIANKUKKU,"アイアンクック色"
NAME_ID_MONSTER_COLOR_FAIABORU,"ファイアボール色"
NAME_ID_MONSTER_COLOR_PAPETTOMAN,"パペットマン色"
NAME_ID_MONSTER_COLOR_DORONINGYOU,"どろにんぎょう色"
NAME_ID_MONSTER_COLOR_MADDOREINBO,"マッドレインボー色"
NAME_ID_MONSTER_COLOR_ODORUHOUSEKI,"おどるほうせき色"
NAME_ID_MONSTER_COLOR_WARAIBUKURO,"わらいぶくろ色"
NAME_ID_MONSTER_COLOR_SUULITOBAGGU,"スウィートバッグ色"
NAME_ID_MONSTER_COLOR_REINBOJYUERU,"レインボージュエル色"
NAME_ID_MONSTER_COLOR_GOREMU,"ゴーレム色"
NAME_ID_MONSTER_COLOR_SUTONMAN,"ストーンマン色"
NAME_ID_MONSTER_COLOR_GORUDOMAN,"ゴールドマン色"
NAME_ID_MONSTER_COLOR_AISUGOREMU,"アイスゴーレム色"
NAME_ID_MONSTER_COLOR_REINBOGOREMU,"レインボーゴーレム色"
NAME_ID_MONSTER_COLOR_ANKOKUNOMAZOUHEI,"暗黒の魔造兵色"
NAME_ID_MONSTER_COLOR_KIRAMASHIN,"キラーマシン色"
NAME_ID_MONSTER_COLOR_METARUHANTA,"メタルハンター色"
NAME_ID_MONSTER_COLOR_TAIPUG,"タイプＧ色"
NAME_ID_MONSTER_COLOR_BASSAIMASIN,"伐採マシン色"
NAME_ID_MONSTER_COLOR_FONDYU,"フォンデュ色"
NAME_ID_MONSTER_COLOR_KUROKABIKOZOU,"くろカビこぞう色"
NAME_ID_MONSTER_COLOR_KEMIKARUZERI,"ケミカルゼリー色"
NAME_ID_MONSTER_COLOR_MOTTULARERA,"モッツァレーラ色"
NAME_ID_MONSTER_COLOR_NIDORUMAN,"ニードルマン色"
NAME_ID_MONSTER_COLOR_SUPAIKUHEDDO,"スパイクヘッド色"
NAME_ID_MONSTER_COLOR_TOGEJYOBO,"とげジョボー色"
NAME_ID_MONSTER_COLOR_DATHIDORU,"ダーティードール色"
NAME_ID_MONSTER_COLOR_NIDORUUSAKO,"ニードルうさこ色"
NAME_ID_MONSTER_COLOR_HITOKUIDORU,"ひとくいドール色"
NAME_ID_MONSTER_COLOR_DEBIRUAMA,"デビルアーマー色"
NAME_ID_MONSTER_COLOR_SATANMEIRU,"サタンメイル色"
NAME_ID_MONSTER_COLOR_TEKKOUMAJIN,"てっこうまじん色"
NAME_ID_MONSTER_COLOR_MAJIKKUAMA,"マジックアーマー色"
NAME_ID_MONSTER_COLOR_ENZERUAMA,"エンゼルアーマー色"
NAME_ID_MONSTER_COLOR_MAJINHEICHOU,"魔人兵長色"
NAME_ID_MONSTER_COLOR_MAJINHEISHI,"魔人兵士色"
NAME_ID_MONSTER_COLOR_MAJIKARUHATTO,"マジカルハット色"
NAME_ID_MONSTER_COLOR_BIGGUHATTO,"ビッグハット色"
NAME_ID_MONSTER_COLOR_TONBURERO,"トンブレロ色"
NAME_ID_MONSTER_COLOR_ARUKEMISUTON,"アルケミストン色"
NAME_ID_MONSTER_COLOR_YAMISHIBARI,"やみしばり色"
NAME_ID_MONSTER_COLOR_ASASHINBURADDO,"アサシンブラッド色"
NAME_ID_MONSTER_COLOR_SANDASHAUTO,"サンダーシャウト色"
NAME_ID_MONSTER_COLOR_MEIFUNOBANNIN,"めいふのばんにん色"
NAME_ID_MONSTER_COLOR_GOSUTOBERI,"ゴーストベリー色"
NAME_ID_MONSTER_COLOR_KUROKIONRYOU,"黒き怨霊色"
EXPLANATION_ID_MONSTER_COLOR_SURAIMU,"スライム種の見た目を<lf>スライム色に<lf>変身させる"
