Key,SourceString
SYSTXT_FACILITY_CHURCH_00010,"おいのりをする"
SYSTXT_FACILITY_CHURCH_00020,"ルーラストーン"
SYSTXT_FACILITY_CHURCH_00030,"おつげをきく"
SYSTXT_FACILITY_CHURCH_00040,"いきかえらせる"
SYSTXT_FACILITY_CHURCH_00050,"どくのちりょう"
SYSTXT_FACILITY_CHURCH_00060,"のろいをとく"
SYSTXT_FACILITY_CHURCH_00070,"種族をかえる"
SYSTXT_FACILITY_CHURCH_00080,"ふっかつのじゅもん"
SYSTXT_FACILITY_CHURCH_01010,"これまでの冒険を<lf>冒険の書に<lf>記録します"
SYSTXT_FACILITY_CHURCH_01020,"この場所を<lf>ルーラストーンに<lf>記憶させます"
SYSTXT_FACILITY_CHURCH_01030,"レベルアップに<lf>必要な経験値を<lf>確認します"
SYSTXT_FACILITY_CHURCH_01040,"仲間ひとりを<lf>生き返らせます<lf>"
SYSTXT_FACILITY_CHURCH_01050,"仲間ひとりの<lf>毒を治療します<lf>"
SYSTXT_FACILITY_CHURCH_01060,"仲間ひとりの<lf>呪いを解きます<lf>"
SYSTXT_FACILITY_CHURCH_01070,"もうひとつの姿を<lf>呼び覚まして<lf>種族を変更します"
SYSTXT_FACILITY_CHURCH_01080,"ふっかつの<lf>じゅもんを<lf>聞きます"
SYSTXT_FACILITY_CHURCH_02010,"冒険の書を確認しています。<lf>しばらくお待ちください……。<lf><break>"
SYSTXT_FACILITY_CHURCH_02020,"冒険の書に　記録しています。<lf>本体の電源を<lf>切らないでください。<lf><break>"
SYSTXT_FACILITY_CHURCH_02030,"お疲れさまでした。<lf><emoji FaceButton_Right>ボタンで　タイトルに　戻ります。<lf><bw_break>"
SYSTXT_FACILITY_CHURCH_02040,"冒険の書に　記録しています。<lf>Nintendo Switch<tms>の電源を<lf>切らないでください。<lf><break>"
SYSTXT_FACILITY_CHURCH_02050,"冒険の書に　記録しています。<lf>PlayStation<rs>4の電源を<lf>切らないでください。<lf><break>"
SYSTXT_FACILITY_CHURCH_02060,"冒険の書に　記録しています。<lf>PlayStation<rs>5の電源を<lf>切らないでください。<lf><break>"
SYSTXT_FACILITY_CHURCH_02070,"冒険の書に　記録しています。<lf>アプリケーションを<lf>終了しないでください。<lf><break>"
SYSTXT_FACILITY_CHURCH_02080,"なんばんに　祈りを　捧げますか？<lf><break>"
SYSTXT_FACILITY_CHURCH_03010,"{Character_Selected_Name}は　よみがえった！<lf><br_break>"
SYSTXT_FACILITY_CHURCH_03020,"{Character_Selected_Name}のからだから　毒がきえた！<lf><br_break>"
SYSTXT_FACILITY_CHURCH_03030,"{Character_Selected_Name}の呪いが　とけた！<lf><br_break>"
SYSTXT_FACILITY_CHURCH_04010,"しばりプレイが　解除された！<lf><br_break>"
SYSTXT_FACILITY_CHURCH_10010,"冒険の再開"
SYSTXT_FACILITY_CHURCH_10020,"おいのりした場所から"
SYSTXT_FACILITY_CHURCH_10030,"最後に訪れた場所から"
SYSTXT_FACILITY_CHURCH_10040,"オートセーブから"
SYSTXT_FACILITY_CHURCH_11010,"今のまま生き返ります<lf>ただし　ゴールドは<lf>半分になります"
SYSTXT_FACILITY_CHURCH_11020,"オートセーブの<lf>時点に巻き戻して<lf>冒険を再開します"
SYSTXT_FACILITY_CHURCH_12010,"復活する場所"
SYSTXT_FACILITY_CHURCH_12020,"おいのりした場所："
SYSTXT_FACILITY_CHURCH_12030,"最後に訪れた場所："
SYSTXT_FACILITY_CHURCH_12040,"オートセーブ："
SYSTXT_FACILITY_CHURCH_12050,"記録日時"
SYSTXT_FACILITY_CHURCH_13010,"どこから　冒険を再開しますか？<lf><break>"
SYSTXT_FACILITY_CHURCH_13020,"{Destroyed_LoseGold}ゴールド失い　最後においのりした<lf>{Destroyed_Church}へ　戻ります。<lf>よろしいですか？<lf><yesno 2><break>"
SYSTXT_FACILITY_CHURCH_13030,"最後においのりした<lf>{Destroyed_Church}へ　戻ります。<lf>よろしいですか？<lf><yesno 2><break>"
SYSTXT_FACILITY_CHURCH_13040,"{Destroyed_LoseGold}ゴールド失った。<lf><end>"
SYSTXT_FACILITY_CHURCH_13050,"{pc}は<lf>{Destroyed_Church}に　戻った。<lf><end>"
SYSTXT_FACILITY_CHURCH_13060,"{pc}たちは<lf>{Destroyed_Church}に　戻った。<lf><end>"
SYSTXT_FACILITY_CHURCH_13070,"{Destroyed_LoseGold}ゴールド失い　最後に訪れた<lf>{Destroyed_LastStayed}へ　戻ります。<lf>よろしいですか？<lf><yesno 2><break>"
SYSTXT_FACILITY_CHURCH_13080,"最後に訪れた<lf>{Destroyed_LastStayed}へ　戻ります。<lf>よろしいですか？<lf><yesno 2><break>"
SYSTXT_FACILITY_CHURCH_13090,"{pc}は<lf>{Destroyed_LastStayed}に　戻った。<lf><end>"
SYSTXT_FACILITY_CHURCH_13100,"{pc}たちは<lf>{Destroyed_LastStayed}に　戻った。<lf><end>"
SYSTXT_FACILITY_CHURCH_13110,"オートセーブが行われた時まで　時間を戻して<lf>冒険を　再開します。よろしいですか？<lf><color_yellow><lf>※経験値やゴールドも　その時の状態に戻ります。　<lf><color_white><lf><yesno 2><break>"
SYSTXT_FACILITY_CHURCH_13120,"{pc}は<lf>{Destroyed_AutoSaved}に　戻った。<lf><end>"
SYSTXT_FACILITY_CHURCH_13130,"{pc}たちは<lf>{Destroyed_AutoSaved}に　戻った。<lf><end>"
