Key, SourceString
SYSTXT_FACILITY_COLORING_NPC_00010,"「いらっしゃいませ！<cf>　ここは　カラーリング屋です！<cf>　本日は　どうなさいますか？<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_00020,"「ありがとうございました。<cf>　またのご来店を　お待ちしております。"
SYSTXT_FACILITY_COLORING_NPC_10010,"「すみませんが　その装備品は<cf>　カラーリングが　できません。<cf>　他の装備品を　お選びください。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10020,"「そこには　何も装備していないようですね。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10030,"「この装備品は　見た目に表示されていませんが<cf>　それでもカラーリングしますか？　<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10040,"「あら？　それだと<cf>　今と変わらないようですが　よろしいですか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10050,"「セットしたカラーを　元に戻しますか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10060,"「あら？　それだと　今と変わらないようです。<cf>　他の色を　お選びください。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10070,"「カラーリングするアイテムを<cf>　お確かめください。<cf>　この内容で　カラーリングいたしますか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10080,"「カラーリングするアイテムを<cf>　お確かめください。<cf>　この内容で　カラーリングいたしますか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10090,"「それでは　{金額}ゴールドが<cf>　必要ですが　よろしいですか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_10100,"「おやめになるのですね。<lf><br><lf>「他に　ご用はありますか？<lf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_10110,"「あら？　お金が足りないようです。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20010,"「{装備品種別名}は　これ以上登録できません。<cf>　既に登録されているアイテムを　消して<cf>　登録することになりますが　よろしいですか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20020,"「{登録中アイテム}を消して<cf>　{新規登録アイテム}を<cf>　保存して　よろしいですか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20030,"「{新規登録アイテム}の<cf>　カラーリングを　やめますか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20040,"「かしこまりました。<cf>　それでは　カラーリングしますね。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20050,"「……はい！<cf>　きれいに　カラーリングできました！<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20060,"「他にも　カラーリングしたい装備品は<cf>　ありますか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20070,"「この装備は　マイコーデに使われていますが<cf>　本当に　登録を消しても　よろしいですか？<cf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20080,"「この装備は　マイコーデに使われていますが<lf>　カラーリング　いたしますか？<lf><yesno><close>"
SYSTXT_FACILITY_COLORING_NPC_20090,"「カラーリングされている装備を<cf>　持っていないようです。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20100,"「あら？　装備品を持っていないようです。<cf><bw_break>"
SYSTXT_FACILITY_COLORING_NPC_20110,"「選択した装備品の<cf>カラーリングをやめますか?<cf><yesno><close>"
