Key,SourceString
SYSTXT_FACILITY_COLORING_SYS_00010,"カラーリング"
SYSTXT_FACILITY_COLORING_SYS_01010,"装備しているものをカラーリングする"
SYSTXT_FACILITY_COLORING_SYS_01020,"持ち物をえらんでカラーリングする"
SYSTXT_FACILITY_COLORING_SYS_01030,"カラーリングをやりなおす"
SYSTXT_FACILITY_COLORING_SYS_02010,"身につけている装備品を<cf>カラーリングして保存します。"
SYSTXT_FACILITY_COLORING_SYS_02020,"持ち物から選んで<cf>装備品をカラーリングし保存します。"
SYSTXT_FACILITY_COLORING_SYS_02030,"既にカラーリング済みの装備品を<lf>カラーリングし直します。"
SYSTXT_FACILITY_COLORING_SYS_02040,"他に　切り替えられる<cf>キャラクターが　いません！"
SYSTXT_FACILITY_COLORING_SYS_02050,"今は　キャラクターを<cf>切り替えることは　できません。"
SYSTXT_FACILITY_COLORING_SYS_02060,"カラーリングされている装備を<cf>持っていないようです。"
SYSTXT_FACILITY_COLORING_SYS_10010,"カラーリングする"
SYSTXT_FACILITY_COLORING_SYS_10020,"お会計"
SYSTXT_FACILITY_COLORING_SYS_10030,"カラーリングした数"
SYSTXT_FACILITY_COLORING_SYS_10040,"カラーリングされたそうびひん"
SYSTXT_FACILITY_COLORING_SYS_10050,"カラー１"
SYSTXT_FACILITY_COLORING_SYS_10060,"カラー２"
SYSTXT_FACILITY_COLORING_SYS_10070,"元の色"
SYSTXT_FACILITY_COLORING_SYS_10080,"カラーを変更前に戻す"
SYSTXT_FACILITY_COLORING_SYS_10090,"カラーリングする"
SYSTXT_FACILITY_COLORING_SYS_10100,"もどす"
SYSTXT_FACILITY_COLORING_SYS_10110,"けってい"
SYSTXT_FACILITY_COLORING_SYS_10120,"キャラクターきりかえ"
SYSTXT_FACILITY_COLORING_SYS_10130,"見た目装備"
