Key,SourceString
SYSTXT_FACILITY_DOLBOARD_SYS_00010,"ドルボードカスタム"
SYSTXT_FACILITY_DOLBOARD_SYS_00020,"カラーリング"
SYSTXT_FACILITY_DOLBOARD_SYS_00030,"フォルムチェンジ"
SYSTXT_FACILITY_DOLBOARD_SYS_01010,"ドルボードのカラーを変更。<lf>※料金が必要となります。"
SYSTXT_FACILITY_DOLBOARD_SYS_01020,"ドルボードのフォルムを変更。<cf>※マシンにプリズムを<cf>　取り付ける必要があります。"
SYSTXT_FACILITY_DOLBOARD_SYS_10010,"カラー１"
SYSTXT_FACILITY_DOLBOARD_SYS_10020,"カラー２"
SYSTXT_FACILITY_DOLBOARD_SYS_10030,"元の色"
SYSTXT_FACILITY_DOLBOARD_SYS_10040,"カラーを変更前に戻す"
SYSTXT_FACILITY_DOLBOARD_SYS_10050,"カラーリングする"
SYSTXT_FACILITY_DOLBOARD_SYS_10060,"もどす"
SYSTXT_FACILITY_DOLBOARD_SYS_20010,"プリズムなし"
SYSTXT_FACILITY_DOLBOARD_SYS_30010,"{L_PRISM}が　取り付けられ<cf>ドルボードのフォルムが　ひとつ増えた！<cf><me 71><end>"
SYSTXT_FACILITY_DOLBOARD_SYS_30020,"ドルボードは<cf>{L_PRISM}　のフォルムとなった！"
SYSTXT_FACILITY_DOLBOARD_SYS_30030,"ドルボードのフォルムを<cf>元のフォルムに　戻した！"
