Key,SourceString
SYSTXT_FACILITY_JOBCHANGE_NPC_01010,"「ここは　転職をつかさどる<cf>　ダーマの神殿出張所。<cf>　職業を変えたい者が　来る所だ。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01020,"「転職を　ご希望かね？<cf><yesno><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01030,"「転職しないのだな。それも　よいだろう。<cf>　さあ　行くがよい。<cf><turn_end>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01040,"「おや？　おまえは<cf>　いまわしい呪いに　おかされているな。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01050,"「転職は教会で　呪いのけがれを<cf>　はらってからが　よかろう。<cf><turn_end>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01110,"「どの職業に　なりたいのかね？<cf><ask><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01120,"「ならば　どの職業に　なりたいのかね？<cf><ask><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01130,"「……む？　お前は　すでに<cf>　{Job_Selected}の職に　ついているぞ。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01150,"「……ふむ。<cf>　{Job_Selected}に　転職するのだな？<cf><yesno><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01160,"「では　{PC}よ。<cf>　{Job_Selected}の気持ちになって　祈るのだ。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01170,"「おお　ダーマの神よ！<cf>　{PC}に　新たな人生を歩ませたまえ！<cf><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_01180,"「よし。今から　お前は{Job_Selected}として<cf>　生きていくことになった。　装備の見直しを<cf>　おこたらぬようにな。　さあ　行くがよい。<cf><turn_end>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02010,"「ここは　転職をつかさどる<cf>　ダーマの神殿出張所。<cf>　職業を変えたい者が　来る所です。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02020,"「転職を　お望みですか？<cf><yesno><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02030,"「転職しないのですね。それも　よいでしょう。<cf>　さあ　お行きなさい。<cf><turn_end>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02040,"「まあ。あなたは　今　いまわしき呪いに<cf>　おかされてらっしゃいますね。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02050,"「転職は　教会にて呪いのけがれを<cf>　はらってからにするのが　よいでしょう。<cf><turn_end>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02110,"「どの職業になることを　望みますか？<cf><ask><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02120,"「では　どの職業になることを　望みますか？<cf><ask><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02130,"「あら？　あなたは　すでに<cf>　{Job_Selected}の職に　ついていますよ。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02150,"「わかりました。<cf>　{Job_Selected}に　転職するのですね？<cf><yesno><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02160,"「では　{PC}よ。<cf>　{Job_Selected}の気持ちになって　祈りなさい。<cf><br_break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02170,"「ダーマの神よ！<cf>　{PC}に　新たな人生を歩ませください！<cf><break>"
SYSTXT_FACILITY_JOBCHANGE_NPC_02180,"「これで　今から　あなたは{Job_Selected}として<cf>　生きていくことになりました。　装備の見直しを<cf>　忘れぬように。　さあ　お行きなさい。<cf><turn_end>"
