Key,SourceString
SYSTXT_FACILITY_JOBCHANGE_00010,"職業"
SYSTXT_FACILITY_JOBCHANGE_01010,"装備可能武器"
SYSTXT_FACILITY_JOBCHANGE_01020,"獲得経験値"
SYSTXT_FACILITY_JOBCHANGE_01030,"次のレベルまで"
SYSTXT_FACILITY_JOBCHANGE_02010,"きほんパラメータ"
SYSTXT_FACILITY_JOBCHANGE_10010,"戦士"
SYSTXT_FACILITY_JOBCHANGE_10020,"僧侶"
SYSTXT_FACILITY_JOBCHANGE_10030,"魔法使い"
SYSTXT_FACILITY_JOBCHANGE_10040,"武闘家"
SYSTXT_FACILITY_JOBCHANGE_10050,"盗賊"
SYSTXT_FACILITY_JOBCHANGE_10060,"旅芸人"
SYSTXT_FACILITY_JOBCHANGE_10070,"バトルマスター"
SYSTXT_FACILITY_JOBCHANGE_10080,"パラディン"
SYSTXT_FACILITY_JOBCHANGE_10090,"魔法戦士"
SYSTXT_FACILITY_JOBCHANGE_10100,"レンジャー"
SYSTXT_FACILITY_JOBCHANGE_10110,"賢者"
SYSTXT_FACILITY_JOBCHANGE_10120,"スーパースター"
SYSTXT_FACILITY_JOBCHANGE_10130,"まもの使い"
SYSTXT_FACILITY_JOBCHANGE_10140,"どうぐ使い"
SYSTXT_FACILITY_JOBCHANGE_10150,"踊り子"
SYSTXT_FACILITY_JOBCHANGE_10160,"占い師"
SYSTXT_FACILITY_JOBCHANGE_10170,"天地雷鳴士"
SYSTXT_FACILITY_JOBCHANGE_10180,"遊び人"
SYSTXT_FACILITY_JOBCHANGE_20010,"チカラが強く　攻守にわたって<lf>仲間を守る　頼れる存在。"
SYSTXT_FACILITY_JOBCHANGE_20020,"回復呪文の　スペシャリスト。<lf>強い武器を装備しての攻撃も得意。"
SYSTXT_FACILITY_JOBCHANGE_20030,"強力な魔法で　敵をせん滅する<lf>攻撃呪文の　スペシャリスト。"
SYSTXT_FACILITY_JOBCHANGE_20040,"チカラと　すばやさに優れた<lf>最強の　テンションの使い手。"
SYSTXT_FACILITY_JOBCHANGE_20050,"チカラが強く　回復もこなす<lf>お宝探しのプロ。"
SYSTXT_FACILITY_JOBCHANGE_20060,"さまざまな芸で盛り上げる<lf>ムードメーカー。"
SYSTXT_FACILITY_JOBCHANGE_20070,"守りを捨てて攻めるアタッカー。<lf>両手に武器を持つ二刀流もできる。"
SYSTXT_FACILITY_JOBCHANGE_20080,"仲間を守るための　様々な特技を<lf>使いこなす　博愛の騎士。"
SYSTXT_FACILITY_JOBCHANGE_20090,"味方を強化する呪文と　フォースを<lf>使いこなす　魔力を持った戦士。"
SYSTXT_FACILITY_JOBCHANGE_20100,"魔物とさえ　心を交わす<lf>大自然に生きる　戦士。"
SYSTXT_FACILITY_JOBCHANGE_20110,"修行を積み　悟りをひらけば<lf>神の能力をも　使う聖者。"
SYSTXT_FACILITY_JOBCHANGE_20120,"あふれる魅力で　僕も彼女も<lf>絶頂フィーバー！"
SYSTXT_FACILITY_JOBCHANGE_20130,"魔物を仲間にして戦うという<lf>神秘の技を身につけた異能者。"
SYSTXT_FACILITY_JOBCHANGE_20140,"どうぐの効果を引き出して戦い<lf>特定の魔物を仲間とする。"
SYSTXT_FACILITY_JOBCHANGE_20150,"うたや踊りで味方を援護し<lf>両手に武器を持つ二刀流もできる。"
SYSTXT_FACILITY_JOBCHANGE_20160,"モンスタータロットを駆使して戦う<lf>ミステリアスな　運命の導き手。"
SYSTXT_FACILITY_JOBCHANGE_20170,"自然や天候をあやつり<lf>げんまを召喚して　共に戦う。"
SYSTXT_FACILITY_JOBCHANGE_20180,"全力であそぶ！<lf>それがすべて。"
