Key, SourceString
SYSTXT_FACILITY_SALON_NPC_00010,"「いらっしゃいませ！<lf>　美容院　サロン・フェリシアへ　ようこそ♪<lf>　今日は　どんな感じにするのかしら？<lf><select><lf>見た目を変える<lf>やめる<lf><select_end><break>"
SYSTXT_FACILITY_SALON_NPC_00030,"「美容院　サロン・フェリシアは<lf>　いつでも　あなたを待ってるわ。<lf>　また来てね♪<lf><turn_end>"
SYSTXT_FACILITY_SALON_NPC_01010,"「見た目を変えるのね。<lf>　{Gold}ゴールドかかるけれど<lf>　いいかしら？<lf><yesno><break>"
SYSTXT_FACILITY_SALON_NPC_01020,"「あら？　お金が　足りないみたいね。<lf><bw_break>"
SYSTXT_FACILITY_SALON_NPC_01025,"「スタイルは　変更するのかしら？<lf><yesno_nc><break>"
SYSTXT_FACILITY_SALON_NPC_01030,"「体型は　どうするのかしら？<lf><select_nc><lf>おとな<lf>こども<lf><select_end><break>"
SYSTXT_FACILITY_SALON_NPC_02010,"「それじゃあ　新しい自分を　イメージして<lf>　なりたい姿を　選んでね。<lf><break>"
SYSTXT_FACILITY_SALON_NPC_02030,"「あら？　やめちゃうのかしら？<lf><yesno><break>"
SYSTXT_FACILITY_SALON_NPC_02035,"「わかったわ。<lf>　何も　変更しないのね。<lf><bw_break>"
SYSTXT_FACILITY_SALON_NPC_02040,"「あら？　これじゃあ<lf>　もとの姿と　おんなじじゃない！<lf>　もう一度　なりたい姿を　選んでくれるかしら？<lf><bw_break>"
SYSTXT_FACILITY_SALON_NPC_03010,"「とってもステキね。<lf>　このイメージに　チェンジするけど<lf>　いいかしら？<lf><yesno><break>"
SYSTXT_FACILITY_SALON_NPC_03030,"「オッケー　まかせてっ！<lf>　ステキに　イメチェンしてあげる♪<lf><bw_break>"
SYSTXT_FACILITY_SALON_NPC_03040,"「ほら！　バッチリ　イメチェンできたわ。<lf>　とっても似合っているわ♪<lf><bw_break>"
SYSTXT_FACILITY_SALON_NPC_01015,"「そう　残念ね。<lf><bw_break>"
SYSTXT_FACILITY_SALON_NPC_00035,"「そう　残念ね。<lf>　美容院　サロン・フェリシアは<lf>　いつでも　あなたを待ってるわ。また来てね♪<lf><turn_end>"
