Key,SourceString
SYSTXT_FIELD_MAP_00010,"お話の行き先"
SYSTXT_FIELD_MAP_00020,"キャラの場所"
SYSTXT_FIELD_MAP_00030,"施設の場所"
SYSTXT_FIELD_MAP_00040,"近くの地図"
SYSTXT_FIELD_MAP_00050,"地図一覧"
SYSTXT_FIELD_MAP_00060,"大陸の一覧"
SYSTXT_FIELD_MAP_00070,"エリアの一覧"
SYSTXT_FIELD_MAP_00080,"地域の一覧"
SYSTXT_FIELD_MAP_00090,"主な場所"
SYSTXT_FIELD_MAP_01010,"お話の行き先非表示"
SYSTXT_FIELD_MAP_01020,"アイコン非表示"
SYSTXT_FIELD_MAP_01030,"アイコン表示"
SYSTXT_FIELD_MAP_01040,"メニュー表示"
SYSTXT_FIELD_MAP_01050,"マップ拡大"
SYSTXT_FIELD_MAP_01060,"マップ縮小"
SYSTXT_FIELD_MAP_01070,"近くの地図をみる"
SYSTXT_FIELD_MAP_01080,"階層切り替え"
SYSTXT_FIELD_MAP_02010,"アストルティアの世界"
SYSTXT_FIELD_MAP_10010,"泊まるとＨＰとＭＰが<lf>満タンになる"
SYSTXT_FIELD_MAP_10020,"武器が買える店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_10030,"防具が買える店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_10040,"色々な道具が買える店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_10050,"素材が買える店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_10060,"レシピが買える店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_10070,"様々なアイテムの<lf>売り買いができる施設"
SYSTXT_FIELD_MAP_10080,"色々な物が買える店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_11010,"冒険の書へ記録したり<lf>治療や　仲間の蘇生<lf>全滅時の復活もできる"
SYSTXT_FIELD_MAP_11020,"他の職業に転職したり<lf>モンスター討伐隊に<lf>自分やフレンドを登録"
SYSTXT_FIELD_MAP_11030,"ゴールドを<lf>預かってくれる<lf>冒険者の強い味方"
SYSTXT_FIELD_MAP_11040,"フレンドコードで<lf>友達を登録できる"
SYSTXT_FIELD_MAP_11050,"なかまモンスターを<lf>預けたり引き取ったり<lf>できる場所"
SYSTXT_FIELD_MAP_11060,"あっという間に<lf>大陸間を移動する<lf>列車に乗れる"
SYSTXT_FIELD_MAP_11070,"食べると様々な効果が<lf>発揮される料理を<lf>買うことができるお店"
SYSTXT_FIELD_MAP_11080,"美容のことなら<lf>なんでもおまかせ<lf>町のトレンド発信地"
SYSTXT_FIELD_MAP_11090,"アクセサリーの専門店<lf>不要なアイテムを<lf>売ることもできる"
SYSTXT_FIELD_MAP_11100,"ドルボードの<lf>カラーとフォルムを<lf>カスタムできるお店"
SYSTXT_FIELD_MAP_11110,"ゴールドを<lf>カジノコインに<lf>交換してくれる施設"
SYSTXT_FIELD_MAP_11120,"カジノコインを<lf>様々な景品と<lf>交換してくれる施設"
SYSTXT_FIELD_MAP_11130,"地下へとつながる<lf>井戸の入口"
SYSTXT_FIELD_MAP_11140,"武器や防具を<lf>染色してくれる店"
SYSTXT_FIELD_MAP_11150,"転職をつかさどる<lf>ダーマの神殿出張所"
SYSTXT_FIELD_MAP_20010,"ランガーオエリア"
SYSTXT_FIELD_MAP_20020,"グレンエリア"
SYSTXT_FIELD_MAP_20030,"ガートラントエリア"
SYSTXT_FIELD_MAP_20040,"レーンエリア"
SYSTXT_FIELD_MAP_20050,"ジュレットエリア"
SYSTXT_FIELD_MAP_20060,"ヴェリナードエリア"
SYSTXT_FIELD_MAP_20070,"ツスクルエリア"
SYSTXT_FIELD_MAP_20080,"アズランエリア"
SYSTXT_FIELD_MAP_20090,"カミハルムイエリア"
SYSTXT_FIELD_MAP_20100,"アグラニエリア"
SYSTXT_FIELD_MAP_20110,"ガタラエリア"
SYSTXT_FIELD_MAP_20120,"ドルワームエリア"
SYSTXT_FIELD_MAP_20130,"プクレットエリア"
SYSTXT_FIELD_MAP_20140,"オルフェアエリア"
SYSTXT_FIELD_MAP_20150,"メギストリスエリア"
SYSTXT_FIELD_MAP_20160,"レンドアエリア"
SYSTXT_FIELD_MAP_20170,"ラッカランエリア"
SYSTXT_FIELD_MAP_20180,"エテーネエリア"
SYSTXT_FIELD_MAP_20190,"過去世界エリア"
SYSTXT_FIELD_MAP_20200,"その他のエリア"
SYSTXT_FIELD_MAP_90010,"このマップには　まだ<lf>行ったことが無いので　表示できません！"
SYSTXT_FIELD_MAP_90020,"表示できる　お話の行き先が<lf>ありません！"
