Key,SourceString
FISHING_LOCATION_RIVER,"川"
FISHING_LOCATION_SEA,"海"
FISHING_LOCATION_LAKE,"湖"
FISHING_LOCATION_POND,"池"
FISHING_LOCATION_DOWNSTREAM,"下流"
FISHING_LOCATION_UPSTREAM,"上流"
FISHING_LOCATION_INLANDSEA,"内海"
FISHING_LOCATION_TENRYUUIKE,"天流池"
FISHING_LOCATION_CHIRYUUIKE,"地流池"
FISHING_LOCATION_SOYOKAZENOHAMA,"そよ風の浜"
FISHING_LOCATION_MIRENAKAIGAN,"ミレナ海岸"
FISHING_LOCATION_SEICHOUNOREISEN,"清澄の冷泉"
FISHING_LOCATION_CHITEIKO,"地底湖"
FISHING_LOCATION_SENSEINOTAKI,"宣誓の滝"
FISHING_LOCATION_MIKAGAMI,"みかがみの泉"
FISHING_LOCATION_WETLAND,"湿地帯"
FISHING_LOCATION_WESTRIVER,"西の川"
FISHING_LOCATION_EASTRIVER,"東の川"
FISHING_LOCATION_MIZUBORI,"水堀"
FISHING_LOCATION_OASIS,"オアシス"
FISHING_LOCATION_WESTBEACH,"西の浜"
FISHING_LOCATION_EASTBEACH,"東の浜"
FISHING_LOCATION_TIDEPOOL,"潮だまり"
FISHING_LOCATION_PUDDLE,"水たまり"
FISHING_LOCATION_SPRING,"泉"
FISHING_LOCATION_WATERFALL,"滝"
FISHING_LOCATION_RIVERDOWN,"川下流"
FISHING_LOCATION_RIVERUP,"川上流"
FISHING_LOCATION_COBALT,"コバルト池"
FISHING_LOCATION_WATERWAY,"水路"
FISHING_LOCATION_BASIN,"滝壺"
FISHING_LOCATION_SOUTHSEA,"南の海"
FISHING_LOCATION_EASTSEA,"東の海"
