Key,SourceString
SYSTXT_FISHING_00010,"釣りをする"
SYSTXT_FISHING_00020,"さかなぶくろ"
SYSTXT_FISHING_00030,"釣りレベル"
SYSTXT_FISHING_00040,"釣りざおとルアーの変更"
SYSTXT_FISHING_00050,"ここにいるさかな"
SYSTXT_FISHING_00060,"レア度"
SYSTXT_FISHING_01010,"釣りバトル"
SYSTXT_FISHING_01020,"この釣りバトル中<lf>あと{Fish_PC_Action_Number}回使える"
SYSTXT_FISHING_01030,"<speed=0>さかなぶくろが　いっぱいですが<lf>本当に　釣りますか？<lf><yesno><speed=default><break>"
SYSTXT_FISHING_01040,"<speed=0>ここには　さかながいないようだ。<lf><speed=default><end>"
SYSTXT_FISHING_01050,"さかなが　かかった！"
SYSTXT_FISHING_01060,"さかなが　かかった！　これは　大物だ！"
SYSTXT_FISHING_01070,"何かが　かかった！"
SYSTXT_FISHING_01080,"さかなに　逃げられてしまった。<lf><bw_break>"
SYSTXT_FISHING_01090,"宝箱を　釣り上げられなかった。<lf><bw_break>"
SYSTXT_FISHING_01100,"{Fish_Name}を　釣り上げた！<lf>サイズ：{Fish_Size}ｃｍ<lf><bw_break>"
SYSTXT_FISHING_01110,"{Fish_Name}を　釣り上げた！<lf>サイズ：{Fish_Size}ｃｍ<lf><color_yellow>最小サイズ更新！<color_white><lf><bw_break>"
SYSTXT_FISHING_01120,"{Fish_Name}を　釣り上げた！<lf>サイズ：{Fish_Size}ｃｍ<lf><color_yellow>最大サイズ更新！<color_white><lf><bw_break>"
SYSTXT_FISHING_01130,"{Fish_Name}を　釣り上げた！<lf><color_yellow>サイズ：{Fish_Size}ｃｍ　ビッグサイズ！<color_white><lf><bw_break>"
SYSTXT_FISHING_01140,"{Fish_Name}を　釣り上げた！<lf><color_yellow>サイズ：{Fish_Size}ｃｍ　キングサイズ！<color_white><lf><bw_break>"
