Key,SourceString
SYSTXT_KeyboardSetting_KeyString_00000,"A"
SYSTXT_KeyboardSetting_KeyString_00001,"B"
SYSTXT_KeyboardSetting_KeyString_00002,"C"
SYSTXT_KeyboardSetting_KeyString_00003,"D"
SYSTXT_KeyboardSetting_KeyString_00004,"E"
SYSTXT_KeyboardSetting_KeyString_00005,"F"
SYSTXT_KeyboardSetting_KeyString_00006,"G"
SYSTXT_KeyboardSetting_KeyString_00007,"H"
SYSTXT_KeyboardSetting_KeyString_00008,"I"
SYSTXT_KeyboardSetting_KeyString_00009,"J"
SYSTXT_KeyboardSetting_KeyString_00010,"K"
SYSTXT_KeyboardSetting_KeyString_00011,"L"
SYSTXT_KeyboardSetting_KeyString_00012,"M"
SYSTXT_KeyboardSetting_KeyString_00013,"N"
SYSTXT_KeyboardSetting_KeyString_00014,"O"
SYSTXT_KeyboardSetting_KeyString_00015,"P"
SYSTXT_KeyboardSetting_KeyString_00016,"Q"
SYSTXT_KeyboardSetting_KeyString_00017,"R"
SYSTXT_KeyboardSetting_KeyString_00018,"S"
SYSTXT_KeyboardSetting_KeyString_00019,"T"
SYSTXT_KeyboardSetting_KeyString_00020,"U"
SYSTXT_KeyboardSetting_KeyString_00021,"V"
SYSTXT_KeyboardSetting_KeyString_00022,"W"
SYSTXT_KeyboardSetting_KeyString_00023,"X"
SYSTXT_KeyboardSetting_KeyString_00024,"Y"
SYSTXT_KeyboardSetting_KeyString_00025,"Z"
SYSTXT_KeyboardSetting_KeyString_00100,"F1"
SYSTXT_KeyboardSetting_KeyString_00101,"F2"
SYSTXT_KeyboardSetting_KeyString_00102,"F3"
SYSTXT_KeyboardSetting_KeyString_00103,"F4"
SYSTXT_KeyboardSetting_KeyString_00104,"F5"
SYSTXT_KeyboardSetting_KeyString_00105,"F6"
SYSTXT_KeyboardSetting_KeyString_00106,"F7"
SYSTXT_KeyboardSetting_KeyString_00107,"F8"
SYSTXT_KeyboardSetting_KeyString_00108,"F9"
SYSTXT_KeyboardSetting_KeyString_00109,"F10"
SYSTXT_KeyboardSetting_KeyString_00200,"Enter"
SYSTXT_KeyboardSetting_KeyString_00201,"BackSpace"
SYSTXT_KeyboardSetting_KeyString_00202,"Space"
SYSTXT_KeyboardSetting_KeyString_00203,"Tab"
SYSTXT_KeyboardSetting_KeyString_00204,"Shift(L)"
SYSTXT_KeyboardSetting_KeyString_00205,"Shift(R)"
SYSTXT_KeyboardSetting_KeyString_00206,"ScrollLock"
SYSTXT_KeyboardSetting_KeyString_00207,"Insert"
SYSTXT_KeyboardSetting_KeyString_00208,"Delete"
SYSTXT_KeyboardSetting_KeyString_00209,"Home"
SYSTXT_KeyboardSetting_KeyString_00210,"End"
SYSTXT_KeyboardSetting_KeyString_00211,"Alt(L)"
SYSTXT_KeyboardSetting_KeyString_00212,"Alt(R)"
SYSTXT_KeyboardSetting_KeyString_00213,"Pause"
SYSTXT_KeyboardSetting_KeyString_00214,"Esc"
SYSTXT_KeyboardSetting_KeyString_00300,"Num 0"
SYSTXT_KeyboardSetting_KeyString_00301,"Num 1"
SYSTXT_KeyboardSetting_KeyString_00302,"Num 2"
SYSTXT_KeyboardSetting_KeyString_00303,"Num 3"
SYSTXT_KeyboardSetting_KeyString_00304,"Num 4"
SYSTXT_KeyboardSetting_KeyString_00305,"Num 5"
SYSTXT_KeyboardSetting_KeyString_00306,"Num 6"
SYSTXT_KeyboardSetting_KeyString_00307,"Num 7"
SYSTXT_KeyboardSetting_KeyString_00308,"Num 8"
SYSTXT_KeyboardSetting_KeyString_00309,"Num 9"
SYSTXT_KeyboardSetting_KeyString_00400,"Num /"
SYSTXT_KeyboardSetting_KeyString_00401,"Num *"
SYSTXT_KeyboardSetting_KeyString_00402,"Num -"
SYSTXT_KeyboardSetting_KeyString_00403,"Num +"
SYSTXT_KeyboardSetting_KeyString_00404,"Num ."
SYSTXT_KeyboardSetting_KeyString_00500,"↑"
SYSTXT_KeyboardSetting_KeyString_00501,"↓"
SYSTXT_KeyboardSetting_KeyString_00502,"←"
SYSTXT_KeyboardSetting_KeyString_00503,"→"
SYSTXT_KeyboardSetting_KeyString_00504,"\"
SYSTXT_KeyboardSetting_KeyString_00505,"-"
SYSTXT_KeyboardSetting_KeyString_00506,"["
SYSTXT_KeyboardSetting_KeyString_00507,"]"
SYSTXT_KeyboardSetting_KeyString_00508,";"
SYSTXT_KeyboardSetting_KeyString_00509,"/"
SYSTXT_KeyboardSetting_KeyString_00510,"."
SYSTXT_KeyboardSetting_KeyString_00511,","
SYSTXT_KeyboardSetting_KeyString_00600,"0"
SYSTXT_KeyboardSetting_KeyString_00601,"1"
SYSTXT_KeyboardSetting_KeyString_00602,"2"
SYSTXT_KeyboardSetting_KeyString_00603,"3"
SYSTXT_KeyboardSetting_KeyString_00604,"4"
SYSTXT_KeyboardSetting_KeyString_00605,"5"
SYSTXT_KeyboardSetting_KeyString_00606,"6"
SYSTXT_KeyboardSetting_KeyString_00607,"7"
SYSTXT_KeyboardSetting_KeyString_00608,"8"
SYSTXT_KeyboardSetting_KeyString_00609,"9"
