Key, SourceString
SYSTXT_ITABAEALBUM_SYS_00010,"『遊びクラブ★イタ映えアルバム』<lf>という本だ。<lf><br><lf>これまで　遊びクラブが<lf>活動してきた写真が　かざられているようだ。<lf><end>"
SYSTXT_ITABAEALBUM_SYS_00020,"『遊びクラブ★イタ映えアルバム』<lf>という本だ。<lf><br_break>"
SYSTXT_ITABAEALBUM_SYS_00030,"どの写真を　見ますか？<lf><select {Index}><lf>{SelectMenus}<lf>やめる<lf><select_end><lf><break>"
SYSTXT_ITABAEALBUM_SYS_10010,"ウワサのイタ映え絶景"
SYSTXT_ITABAEALBUM_SYS_10020,"ツスクルの畑でたがやして"
SYSTXT_ITABAEALBUM_SYS_10030,"ハニーパーティ"
SYSTXT_ITABAEALBUM_SYS_10040,"遊び人ファイアーワークス"
SYSTXT_ITABAEALBUM_SYS_10050,"パーティ集合写真"
SYSTXT_ITABAEALBUM_SYS_20010,"＃これがウワサのイタ映え　＃レインボートレイン<lf>＃鉄道ごっこ　＃撮影は{pc}っち<lf>＃見てるか　ミヤビっち　＃あそクラ最高！<lf><bw_break>"
SYSTXT_ITABAEALBUM_SYS_20020,"＃畑たがやすの楽しー！　＃ミヤビっちの実家<lf>＃イタ映え女王　＃たくみなクワさばき<lf>＃エナジパウダーまじアガる　＃あそクラ最高！<lf><bw_break>"
SYSTXT_ITABAEALBUM_SYS_20030,"＃ハニーパーティー！　＃ハチミツざんまい<lf>＃ごくらく温泉　＃パンケーキうまし<lf>＃ゴランゾ食いすぎ　＃あそクラ最高！<lf><bw_break>"
SYSTXT_ITABAEALBUM_SYS_20040,"＃遊び人の花火！　＃オレたちのソウル<lf>＃ピンキー　＃ゴランゾ　＃フォーエバー<lf>＃デスワーク倒したぞ　＃あそクラ最高！<lf><bw_break>"
SYSTXT_ITABAEALBUM_SYS_20050,"＃遊びクラブ復活記念　＃ペアレンツ<lf>＃ピンキー　＃ゴランゾ　＃ミヤビっちもいるよ<lf>＃パイセンこれからもシクヨロ　＃あそクラ最高！<lf><bw_break>"
