Key,SourceString
SYSTXT_MOVE_SHIP_NPC_00010,"「本船　グランドタイタス号は<cf>　ココラタの浜辺を目指して　出発いたします。<cf><yesno><break>"
SYSTXT_MOVE_SHIP_NPC_00020,"「本船　グランドタイタス号は<cf>　レンドア島を目指して　出発いたします。<cf><yesno><break>"
SYSTXT_MOVE_SHIP_NPC_00030,"「まもなく　グランドタイタス号は<lf>　レンドア島へ向けて　出発いたします。<lf>　グランドタイタス号に　乗船なさいますか？<lf><yesno><break>"
SYSTXT_MOVE_SHIP_NPC_00040,"「タイタス号乗船パスを　お持ちの　お客さまは<lf>　２００ゴールドで　ご乗船になれます。<lf>　グランドタイタス号へ　ご乗船なさいますか？<lf><yesno><break>"
SYSTXT_MOVE_SHIP_NPC_00050,"「本船の行き先は　ココラタの浜辺と<cf>　グランゼドーラ王国です。<cf>　どちらに　向かわれますか？<cf><select><cf>偽りのココラタの浜辺<cf>真のグランゼドーラ王国<cf><select_end><break>"
SYSTXT_MOVE_SHIP_NPC_00060,"「では　また　お越しください。"
SYSTXT_MOVE_SHIP_NPC_00070,"「レンドア島までの乗船料は　不要です。<lf>　お戻りになりたい時は<lf>　いつでも　私に　お申し付けください。"
SYSTXT_MOVE_SHIP_NPC_00080,"「申し訳ありませんが　お金が足りないようです。<lf>　またの　ご乗船を　お待ちしております。"
SYSTXT_MOVE_SHIP_NPC_00090,"「それでは　乗船料の<lf>　２００ゴールドを　いただきます。"
SYSTXT_MOVE_SHIP_NPC_00100,"「それでは　乗船料の<lf>　２００ゴールドを　いただきます。<lf>　さあ　グランドタイタス号へ　どうぞ。"
SYSTXT_MOVE_SHIP_NPC_00110,"「かしこまりました。<lf>　では　こちらの舟で　グランドタイタス号まで<lf>　お送りさせていただきます。どうぞ……。"
SYSTXT_MOVE_SHIP_NPC_10010,"「船内での　ご用が　お済みでしたら<cf>　お部屋まで　ご案内させていただきます。<cf><br><cf>「お客さまが　休んでいらっしゃる間に<cf>　本船は　レンドア島に到着するでしょう。<cf>　お部屋への案内を　ご希望なさいますか？<cf><yesno><break>"
SYSTXT_MOVE_SHIP_NPC_10020,"「それでは　引き続き<lf>　グランドタイタス号での　船旅を<lf>　お楽しみください。"
SYSTXT_MOVE_SHIP_NPC_10030,"「では　ご案内させていただきます。<lf>　こちらへ　どうぞ……。"
