Key,SourceString
SYSTXT_MOVE_TRAIN_NPC_00010,"「大陸間鉄道公社へようこそ！<cf>　どちらの駅まで　行きますか？<cf><break>"
SYSTXT_MOVE_TRAIN_NPC_00020,"「では　どちらの駅まで　行きますか？<cf><break>"
SYSTXT_MOVE_TRAIN_NPC_00030,"「おやめに　なるのですね。<cf>　またのご利用を　お待ちしています。<cf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_01010,"「{Station_Name_Selected}ですね。<cf>　{Gold_Need}ゴールド　いただきます。<cf>　よろしいですか？<cf><yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_01020,"「おや？　お客さん<lf>　お金が足りないようです。"
SYSTXT_MOVE_TRAIN_NPC_01030,"「おや？　お客さん<lf>　また　お金が足りないようです。"
SYSTXT_MOVE_TRAIN_NPC_01040,"「……仕方がありませんね。<cf>　今回だけですよ？"
SYSTXT_MOVE_TRAIN_NPC_01050,"「……まったく　仕方がありませんね。<cf>　今回だけですよ？"
SYSTXT_MOVE_TRAIN_NPC_01060,"「{Station_Name_Selected}ですね。<cf>　以前ご利用した時の　運賃と合わせて<cf>　{Gold_Need_Unpaid}ゴールド　いただきます。<cf><yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_02010,"「では　お気をつけて。<cf>　よい旅路を！<cf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_03010,"「なんと……　？？？？行きでございますか？<cf><br><cf>「くわしいことは存じませんが　その行き先へ<cf>　ご案内できるのは　エテーネの民の方のみと<cf>　聞いております。<cf><br><cf>「お客様自身が人間でないと　ご案内できません。<cf>　他の行き先を　お選びください。<cf><break>"
SYSTXT_MOVE_TRAIN_NPC_03020,"「？？？？行きでよろしいですか？<cf><yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_03030,"「かしこまりました。<cf>　それでは　こちらへ。<cf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_04010,"「{Station_Name_Selected}に　とうちゃく～。<cf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_05010,"「おかえりなさいませ　{PC}様。<cf>　もとの時代に　お戻りになりますか？<cf><yesno><break>"
SYSTXT_MOVE_TRAIN_NPC_05020,"「かしこまりました。<cf>　それでは　良い旅を。<cf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_05030,"「かしこまりました。<cf>　お帰りになりたい時は<cf>　いつでも　声を　おかけください。<cf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_06010,"「おや？　{PC}様は　我が国での<lf>　列車利用の許可が　下りていないようです。<lf>　残念ながら　当駅では　ご乗車になれません。<lf><turn_end>"
SYSTXT_MOVE_TRAIN_NPC_06020,"「大陸間鉄道公社へようこそ！<lf><br><lf>　おや？　大陸間鉄道パスを<lf>　お持ちでないようですね。<lf>　残念ながら　お客様は　ご乗車になれません。"
