Key,SourceString
SYSTXT_MOVE_TRAIN_SYS_00010,"行き先選択"
SYSTXT_MOVE_TRAIN_SYS_10010,"グレン城下町駅"
SYSTXT_MOVE_TRAIN_SYS_10020,"ガートラント城駅"
SYSTXT_MOVE_TRAIN_SYS_10030,"ジュレット駅"
SYSTXT_MOVE_TRAIN_SYS_10040,"ヴェリナード城駅"
SYSTXT_MOVE_TRAIN_SYS_10050,"アズラン駅"
SYSTXT_MOVE_TRAIN_SYS_10060,"王都カミハルムイ駅"
SYSTXT_MOVE_TRAIN_SYS_10070,"岳都ガタラ駅"
SYSTXT_MOVE_TRAIN_SYS_10080,"ドルワーム王国駅"
SYSTXT_MOVE_TRAIN_SYS_10090,"オルフェア駅"
SYSTXT_MOVE_TRAIN_SYS_10100,"メギストリスの都駅"
SYSTXT_MOVE_TRAIN_SYS_10110,"港町レンドア駅"
SYSTXT_MOVE_TRAIN_SYS_10120,"娯楽島ラッカラン駅"
SYSTXT_MOVE_TRAIN_SYS_10130,"？？？？"
