Key,SourceString
PT_TALK_TXT_12_10_2_1,"「なんか　のん気なとこだな。\nウデをふるえる場所が　あるのか？"
PT_TALK_TXT_12_10_4_1,"「いい感じですねッ！\nこういう町には\nきっと　掘り出し物のガラクタが！"
PT_TALK_TXT_12_10_3_1,"「ここが　オルフェアの町かぁ！\nなんだか　すっごく楽しそうな町だね！"
PT_TALK_TXT_12_20_2_1,"「{pc}！\nこのまま　ほっとく気はねえんだろ？\nサーカス団のやつらに　聞きにいこうぜ。"
PT_TALK_TXT_12_20_4_1,"「オチが無いなんて<cf>　なんて　ポンコツな奇術！<cf>　団長さんに　シンパシーですよッ！　"
PT_TALK_TXT_12_20_3_1,"「子供たちが消えちゃったけど　奇術だよね？\n大丈夫だよね？"
PT_TALK_TXT_12_21_2_1,"「ワケがあろうが　なかろうが\nガキ共を誘拐するのは　気に食わねえな。"
PT_TALK_TXT_12_21_4_1,"「あの　パクレとかいうプクリポ……\nなかなか　いいですねッ！\n新たな　同志の予感がしますよッ！"
PT_TALK_TXT_12_21_3_1,"「大変なことになったけど\nみんなは　団長さんを　信じてるみたい。\n何かワケがあるのかな……？"
PT_TALK_TXT_12_30_Talkedto_2_1,"「他に手がかりもねえし\n銀の丘って所に　行ってみようぜ。"
PT_TALK_TXT_12_30_Talkedto_4_1,"「どこの馬の骨とも　わからないヤツだなんて\nそんなことを言われると……\nテレてしまいますよッ！"
PT_TALK_TXT_12_30_Talkedto_3_1,"「なんで　町長でもある　団長さんが\n子供たちを　さらったんだろう……？\n銀の丘に　行ってみようよ！"
PT_TALK_TXT_12_40_2_1,"「もったい付けやがって\nなんのつもりだ？　あの団長？"
PT_TALK_TXT_12_40_4_1,"「あの扉　意味不明な　たたずまいが\nちょっと　そそられますね……。"
PT_TALK_TXT_12_40_3_1,"「あの団長さん……\nやっぱり　何か　ワケがありそう。"
PT_TALK_TXT_12_50_2_1,"「あの魔物から　子供たちを守るために\nさらって　隠したってわけか？\nなかなか　アツい町長じゃねえか。"
PT_TALK_TXT_12_50_4_1,"「なーんか　面倒くさいことに\nなってきやしたねぇ……。"
PT_TALK_TXT_12_50_3_1,"「団長さん　やっぱりいい人みたい！\n{pc}さま！\n団長さんを　助けてあげようよ！　"
PT_TALK_TXT_12_57_2_1,"「あの悪魔が　元凶だったってわけか。\nあとはガキ共を　帰してやらねえとな。\nとっとと行くぞ　{pc}！"
PT_TALK_TXT_12_57_4_1,"「あのザイガスって悪魔\n１５年も待って　倒されちまうんだから\nなかなかのポンコツっぷりでしたねぇ。"
PT_TALK_TXT_12_57_3_1,"「団長さん　やっぱりいい人だったね！\nきっと子供たちも　無事だよ！\nはやく迎えにいこうよ！"
PT_TALK_TXT_12_60_2_1,"「ちっ　あの団長だか町長だかが\n最初っから　ワケを話せば\n良かったんじゃねえか？"
PT_TALK_TXT_12_60_4_1,"「あの扉……　子供たちを守っていたなら\nポンコツとは言えないですね。\nガッカリですよッ！"
PT_TALK_TXT_12_60_3_1,"「子供たち　みんな無事で良かったね。\nこわい悪魔も倒せたし\nめでたしめでたし……かな？"
PT_TALK_TXT_12_100_2_1,"「ふんっ！\n団長のヤツ　最後まで回りくどいぜ。"
PT_TALK_TXT_12_100_4_1,"「また　キーエンブレム！\nやめてくだせえッ！\nわしは　ちーっとも興味ねぇです！"
PT_TALK_TXT_12_100_3_1,"「サーカス　面白かったね！\nキーエンブレムも　もらえたし\n本当に良かったね！"
PT_TALK_TXT_12_101_2_2_1,"「ガキ共は　元気みたいだな。"
PT_TALK_TXT_12_101_1_2_1,"「へぇ　ガキが　いっぱいで\nにぎやかなトコだな。"
PT_TALK_TXT_12_101_2_4_1,"「銀の丘の　あの扉……\n持って帰れませんかねぇ。"
PT_TALK_TXT_12_101_1_4_1,"「にぎやかなとこですねッ！\nこういう町には\nきっと　掘り出し物のガラクタが！"
PT_TALK_TXT_12_101_2_3_1,"「この町は　いつ来ても変わらず\nすっごく　楽しそうだね！"
PT_TALK_TXT_12_101_1_3_1,"「この町って　ちょっと<cf>　ケキちゃんに　雰囲気が似てるね。<cf>　すっごく　かわいいと思う！"
PT_TALK_TXT_12_101_1_1,"「話には聞いていたけど\nこの町の子供たちが　無事で良かったわ。"
PT_TALK_TXT_12_101_5_1,"「ここが　お母さんの\n生まれ育った所なんですね。"
